"rooms","floor","owner","price","floors","square","city","address","new"
1,8,"Мара Замуткина",941697,9,10.0,"Вилюйск","ул. Лазенки 4-я 729",1
1,20,"Платон Поливанов",1106874,24,18.47,"Северо-Курильск","Аллея Железногорская 2-я 1147",1
3,9,"Олег Зотеев",13375758,15,59.61,"Канаш","Аллея Автозаводская 1164",0
1,14,"Герман Хлопонин",1705147,17,12.36,"Северо-Курильск","Аллея Подольская 1356",0
1,8,"Виссарион Азольский",1306161,16,14.25,"Скопин","ул. Бутлерова 872",1
5,1,"Наима Стогова",5623197,23,48.79,"Муравленко","Аллея Хлыновская 42",0
1,4,"Ева Германова",257801,5,10.28,"Вилюйск","Аллея Беговой 940",0
1,2,"Ядвига Богданова",1170101,12,10.95,"Канаш","Аллея Армянская 1219",0
5,2,"Харитон Пишенко",4365129,6,52.1,"Димитровград","ул. Романов 193",1
2,2,"Чеслава Платухина",301263,5,22.0,"Вилюйск","Аллея Мячковская 1043",0
1,3,"Демьян Тендряков",288921,6,11.34,"Юрюзань","Аллея Крылатская 3-я 834",0
4,1,"Пантелеймон Заболоцкий",7922656,10,59.65,"Скопин","Аллея Полтавская 423",0
1,11,"Анжелика Пигасьева",1186007,15,15.89,"Канаш","ул. Веерная 435",1
4,15,"Эрика Гнилорыбова",4163860,20,45.69,"Юрюзань","ул. Энергетическая 1176",0
1,6,"Герасим Гурьев",1598262,15,18.33,"Димитровград","ул. Павла Корчагина 210",1
5,19,"Мелентий Дмитриев",8583189,21,59.78,"Собинка","ул. Оболенская 416",1
6,3,"Герасим Трифонов",6352514,14,61.81,"Канаш","Аллея Ясная 1171",1
1,1,"Анжелика Карагодина",656529,16,11.29,"Вилюйск","Аллея Макеевская 748",1
3,3,"Дилярам Торлопова",1509273,11,32.67,"Юрюзань","Аллея Наташи Качуевской 688",0
5,1,"Руслан Смоленский",6344635,5,56.78,"Муравленко","ул. Новоселки 3-я 1215",0
1,4,"Вениамин Андронов",1732154,16,14.63,"Вилюйск","Аллея Мясницкая 969",0
2,10,"Шарлотта Замуткина",5658114,12,31.66,"Вилюйск","Аллея Лечебная 836",0
2,1,"Андрей Кетро",1149000,1,16.89,"Скопин","ул. Бурцевская 287",0
4,5,"Макария Есипова",13507155,20,76.43,"Собинка","Аллея Можайский Вал 855",0
3,9,"Лета Лиханова",11114211,21,55.95,"Собинка","ул. Железногорская 5-я 945",0
1,1,"Тит Тихонов",1320267,2,18.84,"Собинка","ул. Тагильская 882",0
1,2,"Лариса Маркианова",870237,3,14.51,"Скопин","ул. Северодонецкая 2-я 1390",1
1,1,"Алина Максимишина",1326692,9,13.21,"Скопин","ул. Ипатьевская 244",1
5,6,"Нурия Софонова",11085435,12,63.83,"Канаш","ул. Николопесковский Б. 1050",1
3,6,"Родослав Добродеев",773670,9,29.95,"Скопин","Аллея Новодачная 233",1
1,13,"Аза Токарева",555962,19,14.28,"Вилюйск","ул. Суворовская 225",1
5,5,"Макар Еланцев",7147466,10,51.76,"Муравленко","Аллея Пресненский Вал 1181",0
9,13,"Аристарх Христофоров",8172623,20,116.0,"Скопин","ул. Железногорская 4-я 101",1
6,7,"Аникита Феофилактов",26175440,9,115.06,"Вилюйск","Аллея Хлобыстова 280",0
3,3,"Нора Анастасова",9938887,11,53.82,"Северо-Курильск","Аллея Якиманская 901",0
1,1,"Айсель Кучерская",497730,2,15.49,"Северо-Курильск","ул. Земляной Вал 155",0
2,2,"Игорь Казанцев",3119704,13,20.46,"Вилюйск","ул. Кадомцева 803",0
3,1,"Родослав Щукин",5860815,4,33.67,"Дмитриев-Льговский","Аллея Новоселки 2-я 1139",1
1,6,"Ириней Бакунин",2874823,19,18.05,"Вилюйск","ул. Кирпичные Выемки 545",0
5,7,"Эстер Трифонова",19828155,9,99.28,"Северо-Курильск","ул. Шкулева 1043",0
3,2,"Венера Артамонова",4945895,9,32.19,"Собинка","Аллея Палашевский Б. 295",1
5,1,"Павел Невзоров",5743665,8,49.86,"Вилюйск","Аллея Шаболовка 684",0
7,2,"Даниил Булганин",6627925,8,92.48,"Дмитриев-Льговский","Аллея Щелковская 404",1
3,10,"Лаврентий Бровцев",7350966,17,51.48,"Северо-Курильск","ул. Новые Черемушки 24-25 1090",0
1,6,"Евграф Хазанов",875250,22,16.55,"Димитровград","Аллея Дорожная 603",1
1,1,"Юрий Софроньев",944159,2,12.71,"Канаш","Аллея Вилюйская 1288",1
5,1,"Жоржина Белорукова",15189996,12,93.91,"Вилюйск","Аллея Азовская 894",1
1,4,"Фотий Климентов",936107,6,18.08,"Дмитриев-Льговский","ул. Карьерная 478",1
3,2,"Фотий Медведев",7477288,3,41.83,"Димитровград","ул. Боярская 931",0
1,12,"Макария Вакулина",349052,18,10.45,"Вилюйск","ул. Шатурская 278",0
4,5,"Авксентий Мартемьянов",12534395,18,76.68,"Скопин","Аллея Весковская 823",0
6,1,"Пётр Мартытов",14416034,1,77.46,"Собинка","Аллея Некрасовская 877",0
2,6,"Богдана Ермилина",2175327,25,28.81,"Скопин","Аллея Ипатовка Новая 300",1
1,10,"Эльвира Додолева",2293540,15,14.93,"Скопин","Аллея Авиамоторная 937",0
2,16,"Поликарп Лошкомоев",4190594,23,31.94,"Димитровград","ул. Таманская 696",0
1,1,"Иоанна Жуковская",615758,4,12.87,"Скопин","Аллея Каширское 312",0
1,9,"Максим Красник",661480,10,14.06,"Северо-Курильск","ул. Фармацевтическая 748",1
4,1,"Антон Глушик",17320052,1,75.64,"Скопин","ул. Пролетарского Входа 1216",0
4,1,"Дарина Иванова",7901669,3,53.14,"Канаш","Аллея Сколковское 1324",0
1,13,"Агунда Ершова",706136,22,15.66,"Вилюйск","ул. Садовая-Кудринская 328",0
1,6,"Гавриил Степной",1308417,24,15.86,"Канаш","Аллея Староорловская 513",0
2,3,"Вета Беспутина",3053533,7,21.49,"Дмитриев-Льговский","Аллея Кленовая 1166",0
5,8,"Виолетта Африкантова",3311033,10,53.15,"Вилюйск","Аллея Бобров 309",1
2,22,"Аполлинария Меркурьева",3803227,23,28.6,"Канаш","ул. Одинцовская 518",0
4,20,"Филат Галактионов",1100507,25,40.17,"Вилюйск","ул. Колпачная 390",1
5,11,"Владислава Далина",2715526,23,50.89,"Дмитриев-Льговский","ул. Серпуховская Б. 1138",0
8,7,"Александра Данилкина",22698852,9,136.8,"Скопин","ул. Глазовская 135",0
1,17,"Нестор Микитов",2261871,23,16.55,"Вилюйск","ул. Тетеринская 1188",0
4,1,"Филат Ежов",5535699,4,69.61,"Скопин","ул. Шепелюгинская 1085",0
3,19,"Артемий Лесков",4537095,20,43.18,"Северо-Курильск","Аллея Рогожский Пос. 506",0
2,16,"Алевтина Фадеева",1496652,21,26.74,"Юрюзань","Аллея Курьяновская 1018",1
2,1,"Теона Андропова",3049259,4,25.21,"Вилюйск","Аллея Узкое 301",0
3,14,"Иосиф Симонов",2604195,23,35.05,"Вилюйск","ул. Зеленоград 707",0
1,1,"Созон Филимонихин",285059,3,10.0,"Северо-Курильск","Аллея Новоселки 3-я 1051",1
6,1,"Циара Мельникова",8706676,1,97.1,"Димитровград","ул. Коровинская 897",0
1,19,"Донат Зуев",1488595,22,16.28,"Вилюйск","Аллея Веневская 935",0
3,4,"Макария Чарушникова",12734513,19,56.13,"Муравленко","ул. Клинская 646",0
2,5,"Ираклий Чаплин",1025195,6,26.62,"Вилюйск","Аллея Фалеевская 1350",0
1,13,"Жаклин Бутина",1572400,14,12.65,"Вилюйск","Аллея Пантелеевская 1288",0
2,3,"Нана Тихонова",1850615,22,19.48,"Дмитриев-Льговский","Аллея Цветочная 97",0
2,2,"Любовь Веневитинова",3618356,8,25.81,"Скопин","ул. Шеногина 307",1
1,1,"Парфений Кузечкин",386361,3,11.38,"Вилюйск","ул. Академика Александрова 910",0
1,7,"Трофим Лобанов",2158469,9,16.9,"Канаш","ул. Захарьино 1131",0
2,5,"Лука Комаров",1505888,15,22.06,"Муравленко","Аллея Перуновская 582",0
1,1,"Логгин Востряков",957920,14,10.0,"Канаш","Аллея Ширяевская М. 1204",0
1,8,"Эсмира Дружникова",310400,15,11.13,"Северо-Курильск","Аллея Яуза Платформа 1258",0
2,6,"Иван Ненароков",5400087,20,28.18,"Скопин","Аллея Маршала Чуйкова 481",0
1,24,"Дженна Лугинова",899867,25,10.0,"Собинка","Аллея Академика Опарина 1384",0
7,2,"Протасий Славников",21262435,5,119.62,"Димитровград","ул. Грекова 1289",0
8,6,"Зиновий Чернов",8859593,16,77.34,"Северо-Курильск","Аллея Академика Варги 561",0
1,5,"Алсу Богомолова",3512367,23,18.56,"Скопин","Аллея Левитана 943",1
1,3,"Амира Исаева",1063662,19,11.14,"Собинка","Аллея Гражданская 4-я 797",1
2,3,"Пафнутий Эренбург",593787,10,19.22,"Вилюйск","ул. Мещанская 200",1
4,1,"Артемий Маханенко",7444214,3,46.75,"Юрюзань","ул. Мининская 1058",1
1,3,"Донат Сакин",1535235,12,13.48,"Вилюйск","ул. Чистопрудная 42",0
1,4,"Милана Моторина",1798349,6,16.82,"Северо-Курильск","ул. Цюрупы 1239",1
6,3,"Ириней Василенко",6016386,9,84.77,"Вилюйск","ул. Илимская 456",0
1,17,"Альба Арцыбушева",3602642,22,19.08,"Канаш","Аллея Слепнева 838",0
2,3,"Оливия Амфитеатрова",2162527,19,19.74,"Дмитриев-Льговский","Аллея Новорязанское 904",0
2,5,"Айгерим Курчаткина",5105218,9,38.15,"Скопин","Аллея Павлоградская 3-я 725",1
4,1,"Вениамин Веркин",9251905,18,47.54,"Северо-Курильск","Аллея Савеловского Вокзала 738",0
3,4,"Аиша Варшавская",2667591,14,40.19,"Вилюйск","ул. Новые Черемушки 24-25 1075",1
2,20,"Симона Белезянская",4066960,25,33.92,"Димитровград","ул. Карпатская 2-я 663",0
4,8,"Эльнара Витушева",9423065,23,56.44,"Канаш","ул. Дубровская 1-я 677",1
1,1,"Этери Негина",713570,7,10.39,"Канаш","ул. Краснодарская 577",0
3,10,"Джамиля Андропова",4832132,21,29.68,"Муравленко","ул. Волков 317",1
1,6,"Фрида Каневская",850836,7,10.0,"Муравленко","ул. Павла Андреева 976",1
2,20,"Асель Михайлина",1065734,22,24.23,"Муравленко","ул. Владимирская 3-я 165",0
1,10,"Онуфрий Сопронов",2042250,14,17.95,"Юрюзань","Аллея Белокаменная 237",0
7,14,"Рузанна Нарицина",21265536,15,104.59,"Собинка","ул. Шарля Де Голля 73",0
1,2,"Флориана Михайлова",665882,4,11.67,"Северо-Курильск","ул. Харьковская 948",0
3,4,"Руслана Хадеева",7467313,6,53.41,"Собинка","Аллея Литвина-Седого 937",0
1,1,"Мира Алейникова",450842,10,10.08,"Собинка","Аллея Деповская 1115",1
6,7,"Георгий Дормедонтов",2319332,15,57.91,"Северо-Курильск","Аллея Николоворобинский Б. 1245",0
3,8,"Сусанна Далина",3316125,10,32.23,"Канаш","Аллея Саморы Машела 811",0
3,7,"Эмилия Немирова",2803616,10,37.15,"Дмитриев-Льговский","ул. Мира 801",0
4,1,"Федот Афросимов",14985580,1,74.75,"Дмитриев-Льговский","Аллея Воздвиженка 1381",1
4,3,"Егор Заволокин",11396379,10,65.67,"Димитровград","ул. Хромова 253",1
1,1,"Фелисити Достоевская",3009945,1,18.59,"Скопин","ул. Садовая-Кудринская 746",1
3,3,"Илья Прокофьев",4153111,4,45.69,"Дмитриев-Льговский","ул. Охотничья 1382",0
3,4,"Ерофей Кисин",6625256,5,51.88,"Северо-Курильск","Аллея Парковая 7-я 745",1
3,1,"Руслан Даниэль",4231512,2,40.43,"Канаш","ул. Медведковская 1174",1
1,1,"Патриция Фортунатова",1787810,3,13.01,"Собинка","Аллея Кастанаевская 88",1
3,5,"Феликс Дёмушкин",7088566,6,40.99,"Вилюйск","Аллея Химкинская 46",0
2,10,"Мирослав Буряченко",6184533,24,38.29,"Вилюйск","Аллея Новодевичая 26",0
1,10,"Кир Каледин",275384,11,12.01,"Скопин","Аллея Оленья М. 185",0
6,15,"Тиффани Добродеева",22717683,16,103.76,"Канаш","ул. Пилота Нестерова 1331",1
1,1,"Беатрис Патрикеева",1518203,12,14.37,"Вилюйск","Аллея Мурановская 532",0
3,1,"Андрей Ардалионов",3749269,8,44.83,"Северо-Курильск","Аллея Банная 228",0
1,15,"Хилари Воротникова",1278528,21,13.41,"Димитровград","Аллея Последная 1207",1
1,3,"Белинда Палицина",986522,11,13.24,"Канаш","Аллея Генерала Белобородова 649",0
7,6,"Люция Залыгина",14326777,20,76.18,"Вилюйск","Аллея Кольская 429",0
1,7,"Яна Клюева",792724,15,10.0,"Скопин","ул. Герасима Курина 714",0
3,1,"Рената Вакулова",2052797,2,35.82,"Юрюзань","Аллея Магаданская 1030",1
1,3,"Роза Зеленина",2154688,15,13.96,"Муравленко","ул. Николая Химушина 519",0
3,11,"Гульназ Якушева",9201295,18,44.15,"Скопин","ул. Еготьевская 1049",1
5,2,"Гульнара Изосимова",10095967,3,59.28,"Дмитриев-Льговский","Аллея Комсомольской Площади 285",0
3,2,"Федосей Амарантов",2099240,6,37.26,"Димитровград","ул. Наставническая 642",0
1,3,"Агапия Распутина",259430,5,12.05,"Димитровград","ул. Измайловского Зверинца 1-я 41",0
3,2,"Анна Берсенева",5111658,15,31.14,"Вилюйск","Аллея Учебная 881",0
1,12,"Вадим Золотько",1214995,15,15.14,"Муравленко","ул. Можайский Вал 825",1
5,4,"Аникита Поликарпов",2249015,6,47.07,"Димитровград","Аллея Мякининская 2-я 806",0
1,5,"Симона Олтухова",695447,24,14.9,"Скопин","ул. Могильцевский М. 545",0
5,9,"Далида Уткина",14637114,18,90.45,"Собинка","Аллея Радиальная 8-я 52",0
1,21,"Авдей Жуликов",3439785,25,18.61,"Канаш","ул. Радиальная 9-я 314",1
3,2,"Платон Домников",6545178,3,53.56,"Муравленко","Аллея Краснодонская 432",0
1,11,"Аделаида Хаустова",1812596,20,16.73,"Муравленко","Аллея Маевок 436",0
1,2,"Лукий Канович",944494,5,16.22,"Канаш","Аллея Дворникова 108",1
7,11,"Ралина Антипьева",11042791,23,94.63,"Канаш","Аллея Николаева 231",0
1,1,"Пахомий Белобоцкий",1443324,2,17.66,"Северо-Курильск","Аллея Космонавтов 540",0
5,11,"Христофор Долиняк",12377982,19,77.43,"Собинка","Аллея Макеевская 964",0
5,6,"Раиля Колпакова",5628386,8,76.06,"Муравленко","Аллея Василисы Кожиной 1031",0
2,4,"Шакира Брюсова",2025421,8,23.98,"Северо-Курильск","Аллея Минусинская 1324",0
1,7,"Лола Денисова",2752559,12,16.58,"Канаш","ул. Богородский Вал 310",0
5,1,"Исидор Юппи",14776178,1,84.61,"Вилюйск","ул. Маломосковская 643",0
2,20,"Ираклий Монастырский",5933307,23,35.32,"Вилюйск","ул. Академика Туполева 506",0
2,16,"Рита Журавская",5528111,21,38.78,"Канаш","Аллея Чистая 490",0
3,7,"Корнилий Слюньков",6974947,15,43.09,"Муравленко","Аллея Липовая 452",0
3,13,"Люсьена Писарева",6496741,24,48.45,"Северо-Курильск","ул. Факельный М. 392",0
1,1,"Мавиле Маркова",1607185,1,13.86,"Вилюйск","Аллея Лукино 1-я 28",0
1,13,"Никанор Юдов",2015333,22,14.31,"Димитровград","Аллея Еропкинская 967",0
4,8,"Христофор Вовчок",13918104,9,73.05,"Юрюзань","ул. Академика Тамма 111",0
2,18,"Габриэлла Родивонова",300040,21,21.14,"Канаш","Аллея Космонавтов 1002",0
1,2,"Искра Авакумова",612537,9,15.98,"Скопин","ул. Кульнева 920",0
1,11,"Филимон Айзман",316864,24,10.95,"Димитровград","ул. Парковая 1-я 96",0
2,5,"Роман Живетьев",4157394,9,37.06,"Северо-Курильск","ул. Факельный М. 1205",0
1,11,"Тара Невзорова",1849863,20,19.08,"Димитровград","ул. Ширшова 155",0
5,8,"Селена Ядова",7920263,10,70.68,"Канаш","Аллея Летниковская 297",0
1,1,"Дина Заборова",376128,6,11.55,"Канаш","Аллея Гарибальди 789",0
2,18,"Ерофей Крюков",5083299,25,35.22,"Димитровград","Аллея Уткина 84",0
1,1,"Заира Королева",1665894,16,20.38,"Вилюйск","ул. Островная 1356",0
3,8,"Федот Довлатов",4860925,16,56.81,"Вилюйск","Аллея Симоновский Вал 1093",1
2,5,"Евграф Бестужев",4110527,16,34.83,"Муравленко","Аллея Талдомская 680",0
1,3,"Ефрем Назаров",1519549,5,16.09,"Муравленко","Аллея Никитников 771",0
3,21,"Исидор Чипчиков",8067574,22,52.51,"Собинка","ул. Некрасовская 545",0
1,2,"Кирилл Заостровцев",1665412,12,19.85,"Канаш","Аллея Новоконюшенная 904",1
3,13,"Варвара Варламова",5664450,17,38.37,"Дмитриев-Льговский","ул. Волгоградская 1192",0
7,5,"Юлиан Харитонов",8678637,16,107.31,"Дмитриев-Льговский","Аллея Боженинский М. 921",0
6,3,"Этель Мамантова",5284593,23,78.94,"Северо-Курильск","ул. Бутовская Б. 786",0
3,2,"Евгений Чехов",3012637,13,43.63,"Скопин","Аллея Козихинский М. 918",1
