"rooms","address","floors","square","city","new","owner","floor","price"
6,"Аллея Кабельная 3-я 272",14,65.08,"Бикин",0,"Варфоломей Мурманчук",11,5952897
6,"ул. Подсосенская 1252",22,57.52,"Киренск",1,"Фирс Каледин",7,6030800
1,"ул. Синявинская 1009",24,10.24,"Плёс",0,"Митрофан Славников",1,315554
1,"Аллея Вучетича 47",18,15.8,"Шумиха",0,"Созон Исаин",8,1810454
1,"ул. Могильцевский М. 530",10,13.43,"Кумертау",1,"Сиара Буторина",8,293438
4,"Аллея Марьиной Рощи 3-я 796",5,47.33,"Таштагол",1,"Донат Инин",4,6875414
1,"ул. Староданиловский Средная 605",3,15.71,"Плёс",1,"Ася Петрова",1,1054446
2,"Аллея Филевская 1199",15,28.69,"Киренск",0,"Ая Деева",2,4248543
3,"ул. Новодевичья 1282",23,36.73,"Киренск",0,"Мишель Данихнова",18,2886091
8,"Аллея Златоустовская 596",22,119.33,"Киренск",0,"Алексия Дегтева",5,9884746
1,"ул. Академика Капицы 1305",5,10.0,"Чебоксары",0,"Наима Панаева",1,291300
1,"ул. Хитровская 1131",24,16.86,"Шумиха",0,"Наргиза Зыкина",6,2078802
3,"ул. Пыжевская 691",15,39.44,"Ярцево",1,"Каре Петрушевская",8,2317501
1,"Аллея Спасская Б. 630",20,13.48,"Кумертау",0,"Кора Лоскутова",4,1793923
4,"Аллея Промышленная 1127",9,63.76,"Дорогобуж",1,"Григорий Анюков",6,7891817
4,"ул. Чехова 83",8,61.46,"Кумертау",0,"Фирс Фенев",4,10470220
6,"ул. Берзарина 458",16,115.26,"Киренск",0,"Марта Елисеева",8,16742388
3,"Аллея Штатная 743",19,33.32,"Шумиха",1,"Даниил Егорьев",15,3380060
3,"ул. Останкинская 1-я 153",19,33.88,"Ярцево",0,"Валентина Федосова",15,4596190
1,"ул. Пасечная 1082",18,12.52,"Кумертау",1,"Антонин Шолохов",16,1424332
1,"Аллея Армянская 1337",25,12.45,"Ярцево",1,"Селена Вепрева",8,630953
6,"Аллея Старокаширское 1187",13,109.44,"Кумертау",1,"Филат Щербин",2,19559782
5,"ул. Всеволода Вишневского 1112",13,89.68,"Бикин",0,"Глеб Дьячков",10,17207896
5,"ул. Генерала Белова 1032",6,86.09,"Бикин",0,"Луиза Одинцова",5,18857843
1,"Аллея Ладожская 1222",15,12.09,"Плёс",0,"Ираида Гущина",2,1391203
2,"ул. Павлоградская 2-я 1061",4,29.11,"Ярцево",0,"Земфира Чипчикова",1,2383110
1,"ул. Лубянская 327",19,15.85,"Таштагол",0,"Иннокентий Софронов",3,1916921
1,"ул. Архангельская 452",20,13.05,"Шумиха",0,"Егор Сажин",5,406216
4,"Аллея Медынская 740",9,73.08,"Киренск",0,"Констанция Шахмагонова",4,13611868
1,"ул. Садовническая 729",1,10.0,"Кумертау",1,"Тора Викторова",1,329479
1,"ул. Филевская М. 830",3,12.77,"Шумиха",1,"Энже Пашкова",2,1425901
2,"ул. Сперанского 860",2,25.54,"Плёс",1,"Нана Саватьева",1,1523438
2,"Аллея Сосинская 480",2,22.82,"Кумертау",0,"Алексей Меркурьев",1,756849
2,"ул. Воловья 1224",7,32.77,"Кумертау",0,"Кондрат Трудолюбов",5,6440665
10,"Аллея Университетская 1246",25,161.96,"Киренск",0,"Гордей Яковлев",16,34934352
6,"ул. Симферопольская 293",13,74.6,"Плёс",0,"Роксолана Болотова",12,5804056
1,"Аллея Комсомольская 417",16,11.13,"Бикин",1,"Сара Мелитонова",14,1126908
1,"Аллея Сочинская 957",21,12.43,"Плёс",1,"Пётр Ежов",11,711681
1,"ул. Лялина 941",15,10.0,"Плёс",0,"Августина Опимахова",10,343984
5,"ул. Кабельная 2-я 920",14,79.27,"Ярцево",1,"Раиса Данихнова",12,16306971
1,"ул. Екатерининская М. 629",1,19.29,"Таштагол",0,"Евдоким Филиппов",1,2615017
2,"ул. Маршала Прошлякова 838",25,34.05,"Киренск",0,"Милица Мишкина",2,6149922
7,"ул. Лесная 6",18,97.99,"Плёс",0,"Иулиан Терешков",6,15506391
2,"Аллея Генерала Рычагова 748",8,39.02,"Дорогобуж",0,"Фёдор Шестаков",3,6277409
3,"Аллея Ращупкина 833",8,40.81,"Плёс",0,"Ада Удачина",4,3916862
1,"ул. Саратовская 1135",1,10.0,"Ярцево",0,"Дина Осеева",1,271244
1,"Аллея Ганнушкина 1131",9,14.76,"Плёс",0,"Анфиса Анфимова",7,1161406
9,"ул. Лобачика 1384",1,143.83,"Ярцево",0,"Филипп Анюков",1,13846836
2,"ул. Прогонная 1-я 189",16,33.48,"Кумертау",1,"Алиса Ипатьева",13,3106143
3,"Аллея Марьиной Рощи 2-я 493",10,46.04,"Чебоксары",1,"Ралина Федосеева",2,6191483
1,"Аллея Лебедянская 321",11,19.37,"Киренск",0,"Прокопий Ахадов",3,3413493
1,"Аллея Просторная 784",25,13.72,"Кумертау",0,"Фока Маленький",15,512794
7,"Аллея Конная 357",25,104.76,"Дорогобуж",1,"Светлана Дормидонтова",5,16120117
1,"ул. Васильевский Спуск 928",8,18.82,"Кумертау",0,"Нана Веневитинова",6,1284008
5,"Аллея Открытое 301",23,62.66,"Таштагол",1,"Пантелеймон Дружников",9,10417175
2,"ул. Прогонная 1-я 1047",7,35.05,"Кумертау",0,"Евангелина Цыганова",2,2466466
1,"Аллея Прямой 1142",17,18.44,"Бикин",0,"Лидия Князева",5,1810451
2,"Аллея Крылатские Холмы 433",25,36.51,"Шумиха",0,"Нея Шмелева",15,3751157
3,"ул. Синичкина 2-я 719",15,56.72,"Бикин",0,"Дамира Денисьева",8,6452809
4,"Аллея Чапаевская 1313",23,44.09,"Шумиха",1,"Сила Зотьев",14,1866562
2,"ул. Судакова 1329",23,21.93,"Чебоксары",0,"Лета Кононова",1,2882240
1,"ул. Бакунинская 326",3,15.11,"Бикин",1,"Артём Ермилин",2,1164751
1,"ул. Левшинский М. 1010",2,17.86,"Бикин",0,"Пантелеймон Денисов",1,1777736
5,"Аллея Бебеля 2-я 61",2,80.48,"Кумертау",0,"Геласий Арцыбушев",1,15994514
1,"Аллея Врачебная 696",17,18.94,"Бикин",0,"Севастьян Шутко",3,2036689
5,"Аллея Кузнецкий Мост 783",9,78.1,"Бикин",0,"Степан Меркуров",7,11124811
5,"ул. Новорублевская 2-я 416",23,48.96,"Киренск",0,"Тимофей Бушин",13,5877912
3,"ул. Новочеремушкинская 30",25,35.64,"Ярцево",0,"Фёкла Ипатова",23,3861203
11,"ул. Новоселки 2-я 94",1,143.1,"Ярцево",0,"Джессика Шаламова",1,23286651
1,"ул. Краснокурсантская 765",4,15.7,"Бикин",0,"Глеб Мазин",1,2515432
1,"ул. Лосинская 832",13,15.45,"Ярцево",1,"Зиновий Аверченко",10,1504763
1,"Аллея Северная 2-я 1027",19,11.8,"Чебоксары",0,"Евгения Зыкова",9,344826
7,"ул. Златоустовская 491",21,98.08,"Таштагол",1,"Эльнара Чудинова",18,17547665
1,"ул. Зацепская 435",2,10.25,"Дорогобуж",0,"Фазиля Чикова",1,267933
5,"ул. Брюллова 230",16,90.15,"Бикин",1,"Авдотья Орехова",5,20768610
3,"Аллея Никитников 1045",6,37.96,"Бикин",0,"Нинель Пафомова",4,3692606
1,"ул. Хоромная 339",17,14.25,"Кумертау",0,"Лара Тесакова",13,973988
3,"ул. Маршала Кожедуба 417",21,50.64,"Ярцево",1,"Флорентина Казанцева",5,8393723
1,"ул. Живописная 57",19,14.63,"Чебоксары",0,"Аксинья Нечаева",16,1659366
1,"ул. Университетская 1130",23,10.0,"Чебоксары",0,"Климент Ахмедов",13,400095
1,"Аллея Санникова 1082",11,18.64,"Кумертау",0,"Якун Федулеев",3,1196178
1,"ул. Старопименовская 779",6,15.52,"Бикин",0,"Аида Акулова",4,2192960
4,"Аллея Казарменная 861",16,61.85,"Киренск",1,"Владлен Ивлев",7,4527390
3,"Аллея Олимпийская 184",12,32.7,"Бикин",1,"Айсун Владимова",7,3567085
1,"Аллея Викторенко 637",16,17.04,"Киренск",0,"Фрол Зарубин",1,1993383
4,"Аллея Поленова 338",14,75.34,"Кумертау",0,"Асель Подколзина",6,16146506
1,"ул. Новоалексеевская 117",7,17.5,"Бикин",1,"Митрофан Софронов",5,1084976
2,"ул. Нагорная 652",6,20.79,"Плёс",1,"Егор Филипьев",4,2289763
3,"ул. Яузская 618",4,45.68,"Ярцево",1,"Данакт Парфенчиков",2,7527053
4,"Аллея Бутово 839",23,40.27,"Шумиха",0,"Еремей Хлестаков",19,5020761
9,"Аллея Долгова 605",3,116.98,"Таштагол",1,"Артём Егорьев",2,8957479
4,"ул. Кисловский Нижн. 1125",19,77.15,"Плёс",1,"Лукьян Янковский",3,13218560
3,"Аллея Мещерякова 1035",5,35.1,"Ярцево",1,"Юния Цыпкина",1,2995746
2,"Аллея Переведеновская 631",20,24.81,"Ярцево",0,"Арина Симеонова",4,1761175
1,"ул. Астраханская 588",17,13.16,"Бикин",1,"Олег Арцыбашев",7,336002
1,"Аллея Донецкая 459",17,15.98,"Чебоксары",1,"Иветта Маргелова",14,1857959
4,"Аллея Тимура Фрунзе 121",6,76.69,"Таштагол",0,"Анжелика Монастырская",3,10421113
6,"Аллея Щербаковская 1198",2,93.68,"Чебоксары",1,"Лора Маркелова",1,14540833
1,"ул. Грайвороновская 1215",19,13.45,"Ярцево",0,"Станислав Липкин",14,474033
3,"ул. Внуково Аэропорт 1292",9,47.91,"Плёс",1,"Ралина Филипьева",8,10338303
5,"ул. Верещагина 477",14,51.04,"Кумертау",0,"Ростислав Буровский",4,3288754
2,"ул. Красносельская Нижн. 1189",13,29.83,"Чебоксары",1,"Стелла Охотина",7,4198531
5,"ул. Воронцовские Пруды 927",21,85.24,"Шумиха",0,"Назар Знаменский",7,8642810
1,"ул. Журавлев Верхн. 453",15,16.18,"Бикин",0,"Трифон Авдиев",2,959055
1,"Аллея Боенская 708",19,11.42,"Шумиха",0,"Джиневра Ивонина",3,824239
6,"Аллея Дудинка 816",8,66.34,"Плёс",0,"Лана Шишкина",5,10613151
3,"Аллея Генерала Алексеева 1247",2,50.66,"Дорогобуж",1,"Владислава Битова",1,10351862
4,"Аллея Промышленная 1182",23,72.79,"Киренск",0,"Русалина Кленикова",4,12535056
2,"ул. Хохловская 395",10,21.9,"Бикин",0,"Олег Флегонтов",3,3558960
1,"ул. Академика Варги 941",17,16.52,"Бикин",0,"Ефим Перфишин",3,2048060
3,"Аллея Хорошевское 1184",8,53.85,"Киренск",1,"Эмилия Наумова",7,11167292
3,"ул. Графская 1279",7,55.22,"Кумертау",0,"Ермолай Мамантов",6,11230885
1,"ул. Красковская 562",2,14.48,"Бикин",0,"Мара Рубина",1,1927150
1,"ул. Балтийская 578",7,10.42,"Бикин",1,"Юна Туровская",3,344175
1,"ул. Академика Арцимовича 191",1,15.31,"Ярцево",0,"Климент Поликарпов",1,1022246
3,"Аллея Новолучанская 1197",18,40.83,"Кумертау",1,"Святослав Абросимов",4,4654885
1,"Аллея Революции 1105",21,14.57,"Кумертау",0,"Мара Пашковская",9,736481
1,"Аллея Наташи Ковшовой 189",14,16.42,"Киренск",1,"Адиля Симбирская",12,1285294
8,"ул. Палиашвили 207",9,106.71,"Шумиха",0,"Милица Багирова",6,21032205
1,"ул. Зверинецкая 934",20,11.47,"Плёс",1,"Галактион Липовецкий",13,1039773
5,"Аллея Филевская 3-я 993",14,91.38,"Ярцево",0,"Ермолай Рачков",5,19557341
1,"Аллея Летниковская 334",24,17.12,"Чебоксары",1,"Назар Даль",7,925284
5,"ул. Челябинская 453",3,94.1,"Плёс",1,"Надежда Графинина",1,22229006
1,"ул. Пионерская М. 509",20,11.33,"Бикин",1,"Иван Леонидов",4,285153
4,"ул. Беговой 347",4,69.59,"Киренск",0,"Лада Игумнова",3,9099129
1,"ул. Бехтерева 312",12,10.0,"Кумертау",1,"Карима Соломатина",4,803960
1,"Аллея Потылиха 770",21,19.52,"Кумертау",0,"Венедикт Лукошин",6,1905450
1,"ул. Чистова 539",17,10.33,"Плёс",0,"Этель Никитина",1,705146
1,"ул. Подвойского 675",24,12.07,"Киренск",0,"Олег Скороходов",2,546365
1,"ул. Борьбы 1307",14,10.0,"Плёс",1,"Валентин Епифаньев",10,355601
1,"ул. Николопесковский М. 38",16,11.36,"Ярцево",0,"Онуфрий Сид",6,1161491
1,"Аллея Теплостанская 977",13,18.4,"Ярцево",0,"Тихон Лимонов",8,1326740
3,"Аллея Златоустинский Б. 138",25,52.88,"Бикин",0,"Бела Волочкова",22,4014174
8,"ул. Козихинский М. 1086",2,119.22,"Бикин",0,"Хюррем Колпакова",1,19294664
1,"ул. Железногорская 30",17,10.89,"Кумертау",0,"Виталия Чарская",2,1036153
1,"Аллея Фролов 998",5,12.66,"Шумиха",0,"Протасий Медведев",4,757274
1,"ул. Твардовского 285",23,12.2,"Кумертау",0,"Тара Зотеева",5,389414
1,"ул. Чоботовская 4-я 286",13,15.54,"Бикин",0,"Далида Пестова",4,2525888
1,"ул. Квесисская 2-я 1096",20,18.7,"Плёс",0,"Владислав Белозеров",3,1734014
3,"Аллея Международное 1081",15,44.55,"Плёс",1,"Павел Гладков",1,5299925
3,"ул. Старый Гай 233",1,29.22,"Плёс",0,"Порфирий Пантелеев",1,1235608
3,"Аллея Терлецкая 1210",12,41.13,"Ярцево",0,"Мехри Власова",4,3468978
1,"ул. Генерала Ермолова 1118",8,15.55,"Кумертау",0,"Эдуард Королюк",7,1445937
1,"ул. Старокрымская 1363",6,10.0,"Ярцево",1,"Борис Проханов",2,512101
5,"ул. Алымов 910",22,53.69,"Плёс",1,"Злата Мифтахутдинова",10,3124594
7,"ул. Денежная 976",13,131.69,"Дорогобуж",0,"Влас Авдиев",3,20340939
6,"ул. Житная 788",10,101.44,"Плёс",0,"Авксентий Алпатов",9,18661840
2,"ул. Плетешковская 1268",23,30.21,"Ярцево",0,"Сажида Савельева",7,3817823
2,"ул. Коктебельская 76",23,28.9,"Киренск",0,"Лиза Андропова",7,5033923
1,"Аллея Тюльпанная 1082",5,11.34,"Кумертау",0,"Альбина Жеребцова",4,718264
1,"Аллея Чоботовская 11-я 378",8,17.66,"Чебоксары",1,"Владимир Терехов",7,3089121
1,"Аллея Головачева 782",19,16.71,"Чебоксары",0,"Куприян Эмин",14,849164
1,"ул. Лосиноостровская 1101",7,16.87,"Шумиха",0,"Хрисанф Галкин",3,1490206
1,"ул. Композиторская 1317",1,15.72,"Кумертау",0,"Владимир Анфимов",1,1974151
5,"ул. Колхозная 839",23,65.81,"Ярцево",0,"Демид Тюльпанов",22,6005157
1,"ул. Феодосийская 1053",19,14.95,"Ярцево",0,"Айару Босова",16,2322837
1,"ул. Докукина 1318",5,10.0,"Бикин",0,"Иннокентий Болотов",4,323301
1,"ул. Девятая Рота 1372",1,16.75,"Киренск",1,"Мирослав Чумаков",1,2705716
5,"Аллея Герасима Курина 1025",25,84.84,"Шумиха",0,"Евдокия Берестова",2,12953436
1,"ул. Лопухинская 1125",19,13.2,"Киренск",0,"Валерия Германова",6,655598
1,"ул. Дубровская 2-я 766",20,10.65,"Ярцево",0,"Бажена Артамонова",17,493769
5,"ул. Часовая 1196",4,55.67,"Бикин",0,"Милена Верзилова",1,3590444
1,"Аллея Новые Сады 2-я 192",18,17.07,"Киренск",1,"Онуфрий Байбородин",6,1685962
3,"Аллея Лопухинская 1031",6,47.66,"Кумертау",1,"Антон Серебренников",5,9053469
6,"Аллея Талалихина 923",1,107.63,"Кумертау",0,"Лукий Сычин",1,22983831
1,"ул. Панфиловская 1160",5,17.52,"Таштагол",1,"Дана Константинова",4,728531
2,"Аллея Басманная Стар. 829",4,18.67,"Бикин",0,"Теона Меркульева",1,432871
1,"Аллея Маленковская 736",2,11.05,"Таштагол",1,"Наталья Померанцева",1,258487
3,"ул. Шепелюгинская 946",15,45.69,"Кумертау",0,"Этель Архипова",7,4359551
2,"ул. Пенягинская 2-я 487",21,31.48,"Плёс",1,"Фёкла Белинская",12,4818567
1,"ул. Бухвостова 2-я 1071",9,19.31,"Бикин",1,"Саяна Бобкова",6,1983957
4,"ул. Энтузиастов 1-я 86",15,52.51,"Бикин",1,"Александр Битов",5,7729384
1,"ул. Коломенская 605",12,20.32,"Киренск",0,"Онуфрий Супрунов",3,3016743
1,"Аллея Авиаторов 193",24,16.42,"Таштагол",1,"Риана Вепрева",7,2865813
2,"Аллея Днепропетровская 906",13,36.69,"Киренск",0,"Лина Красильникова",9,5854415
1,"ул. Внуковская 3-я 551",7,10.06,"Бикин",0,"Иуда Медведев",6,709629
3,"ул. Детская 668",19,52.57,"Киренск",1,"Раифа Александрова",7,11484397
8,"ул. Дмитровское 1397",18,119.2,"Таштагол",0,"Александр Чванов",7,17716989
3,"Аллея Новолужнецкая 683",23,37.55,"Кумертау",0,"Никодим Окунев",3,5961223
1,"ул. Богучарская 785",16,11.01,"Ярцево",0,"Ефим Фотиев",15,337236
1,"ул. Юлиуса Фучика 690",14,14.71,"Таштагол",0,"Панкратий Колобов",8,2204192
4,"Аллея Ле Зуана 1234",19,68.65,"Кумертау",0,"Денис Воддеников",13,8859466
1,"ул. Полтавская 582",24,19.95,"Плёс",0,"Владлен Чаплин",4,3423366
1,"Аллея Павлика Морозова 972",10,20.77,"Чебоксары",0,"Паула Ганичева",8,1116518
1,"Аллея Шелепихинское 1203",21,17.19,"Кумертау",1,"Харитон Федотов",5,826124
1,"Аллея Лазенки 2-я 738",3,13.66,"Киренск",0,"Серафима Серебренникова",1,1939687
1,"ул. Ширяевская М. 236",24,20.05,"Шумиха",0,"Генриетта Боброва",8,3727664
2,"Аллея Новокузьминская 1-я 681",5,35.4,"Плёс",0,"Роксана Галктионова",2,5169576
5,"Аллея Связистов 1332",15,95.22,"Кумертау",0,"Софрон Касимов",10,8347856
1,"ул. Старонародная 1264",7,10.68,"Чебоксары",1,"Изабелла Санаева",6,343038
6,"Аллея Арбатская 910",13,77.06,"Плёс",0,"Хрисанф Мелитонов",9,6294379
6,"Аллея Ипатьевская 669",25,70.82,"Ярцево",0,"Митрофан Айтматов",21,8141547
5,"Аллея Новоспасская 1303",23,80.25,"Кумертау",0,"Всеволод Гайдар",12,6293560
2,"Аллея Настасьинская 1122",3,31.71,"Кумертау",1,"Генриетта Ажаева",2,5373866
1,"Аллея Затонная 841",3,10.64,"Киренск",1,"Ника Петрова",2,928961
1,"Аллея Будайская 1124",12,20.85,"Киренск",0,"Ирада Левонова",1,1578206
9,"ул. Белозерская 228",17,143.31,"Бикин",0,"Асия Астафьева",13,24920773
1,"Аллея Спасоглинищевский Б. 398",10,15.73,"Ярцево",1,"Пётр Дубаев",9,1352743
2,"ул. Тюменская 635",24,22.38,"Чебоксары",1,"Онуфрий Родченков",10,2195869
1,"ул. Ключевая 1191",9,10.0,"Кумертау",0,"Джессика Паушкина",4,493089
6,"ул. Леснорядская 290",8,68.61,"Чебоксары",0,"Емельян Антипов",4,6141697
1,"Аллея Инженерная 631",22,18.16,"Киренск",1,"Владимир Глуховский",4,1350772
2,"Аллея Советская 654",11,27.23,"Киренск",0,"Глафира Симбирская",10,2738621
6,"ул. Новоспасский Верхн. 605",17,85.03,"Шумиха",1,"Арсений Киселёв",13,13542969
1,"ул. Крамского 480",9,14.8,"Кумертау",1,"Эдуард Померанцев",3,422401
1,"Аллея Бурцевская 466",17,15.75,"Чебоксары",1,"Аяна Бурмистрова",8,1351137
5,"Аллея Трофимова 320",24,47.29,"Таштагол",1,"Лилиана Саблина",19,8059992
5,"ул. Локомотивная 1391",4,60.23,"Кумертау",1,"Сабрина Бутова",2,4874531
1,"Аллея Барышиха 1013",3,19.55,"Шумиха",0,"Лукий Корнильев",2,3417744
1,"Аллея Внуковское 1234",9,10.0,"Киренск",1,"Луиза Лермонтова",3,722551
