"rooms","new","owner","address","floor","square","floors","price","city"
1,1,"Сиара Кузечкина","Аллея Северная 4-я 1358",3,17.3,5,1813900,"Холмск"
8,0,"Агафья Беломлинская","ул. Кулаков 1066",20,96.22,25,13904104,"Кохма"
2,1,"Логгин Андронов","ул. Егорьевская 74",13,36.41,18,7292851,"Кохма"
5,0,"Жасмин Трифонова","ул. Останкинская 1-я 706",9,76.51,25,13687594,"Чайковский"
3,1,"Агафон Пермяков","Аллея Казарменная 523",3,44.01,4,3089375,"Перевоз"
3,0,"Севастьян Паушкин","ул. Гастелло 1232",1,30.22,12,721789,"Чайковский"
3,0,"Павел Новиков","Аллея Ижорская 543",2,56.28,4,12788108,"Кохма"
2,0,"Кондрат Бобылёв","ул. Бусиновская Горка 1094",19,25.69,24,2846952,"Оха"
3,0,"Симона Сысоева","ул. Солнечногорская 847",8,42.78,12,3137277,"Холмск"
1,1,"Августина Созонтова","ул. Академика Пилюгина 926",3,17.04,4,2067328,"Холмск"
1,1,"Кирилл Маркианов","ул. Грузинская Б. 338",6,13.02,7,556626,"Кохма"
1,1,"Фрол Гурьев","ул. Чермянская 877",5,11.11,19,309422,"Чайковский"
5,0,"Вавила Бутов","ул. Череповецкая 794",11,73.27,14,11285868,"Кохма"
7,0,"Дорофей Дижур","ул. Златоустовская 420",4,109.55,6,18788948,"Чайковский"
2,1,"Дмитрий Соков","ул. Лазенки 3-я 1138",8,33.2,18,2255730,"Перевоз"
1,0,"Снежана Останина","ул. Авангардная 362",10,10.0,12,687494,"Оха"
1,1,"Никанор Петелин","ул. Озерная 296",19,18.6,20,1780677,"Перевоз"
5,1,"Валентин Мосеев","Аллея Дорогомиловская Застава 152",6,93.76,10,14958231,"Чайковский"
4,1,"Ивета Анхимова","Аллея Пугачевская 1-я 611",9,43.73,16,4665756,"Чайковский"
2,1,"Филат Мануйлов","Аллея Молокова 1150",4,37.55,14,4202110,"Перевоз"
7,1,"Серафим Свинаренко","Аллея Окская 875",1,126.96,15,18283324,"Кохма"
1,0,"Флора Лялина","Аллея Бауманская 2-я 537",2,15.67,3,2457007,"Холмск"
4,1,"Кондрат Феофанов","Аллея Куликовская 1115",6,58.4,9,4135410,"Чайковский"
1,1,"Порфирий Плавильщиков","Аллея Буракова 1338",7,10.0,8,435160,"Кохма"
1,0,"Фарида Горелова","Аллея Авиаконструктора Миля 845",5,11.63,8,394432,"Кохма"
4,0,"Наима Корнилова","ул. Новые Черемушки 32а 1157",1,75.7,16,7662796,"Оха"
1,0,"Этери Чижова","Аллея Внуковская 3-я 405",24,18.67,25,1421114,"Чайковский"
3,1,"Поликарп Венедиктов","Аллея Шмитовская 1150",1,36.51,9,1864447,"Холмск"
3,0,"Онисим Бианки","ул. Новинки 893",3,56.19,7,6216160,"Кохма"
2,0,"Рита Панкратова","Аллея Набережная 122",18,37.86,20,2788572,"Кохма"
1,0,"Домника Копылова","Аллея Героев Панфиловцев 1006",19,10.0,21,707063,"Кохма"
1,0,"Эльвина Денежкина","ул. Чечулина 658",2,14.07,5,304750,"Холмск"
7,0,"Элина Ранцова","Аллея Стасовой 527",11,118.06,24,18211467,"Кохма"
5,1,"Альвиан Дружников","Аллея Проломная Застава 813",1,89.72,1,10619201,"Перевоз"
3,0,"Порфирий Трудолюбов","ул. Сусальный Верхн. 415",9,47.37,11,4981229,"Оха"
4,0,"Жаклин Тимофеева","ул. Краснобогатырская 1113",1,55.42,3,5458128,"Чайковский"
6,0,"Марфа Солодникова","Аллея Болотная 758",2,98.54,10,20867258,"Оха"
2,1,"Савва Буторин","Аллея Внуковская 5-я 1239",3,20.79,18,2332725,"Кохма"
1,1,"Харитон Сбруев","ул. Бахрушина 434",2,14.25,18,412482,"Холмск"
1,1,"Энже Сурова","ул. Карамышевская 917",1,18.66,1,1876941,"Чайковский"
1,0,"Анфим Шаламов","Аллея Радиаторская 2-я 843",10,11.72,11,255971,"Кохма"
1,0,"Таяна Несмеянова","Аллея Братьев Фонченко 659",21,18.03,24,920287,"Кохма"
1,1,"Евдоким Морозов","ул. Железногорская 2-я 991",3,15.27,22,1916224,"Оха"
5,1,"Дильнара Труфанова","Аллея Детская 178",3,50.89,4,7410296,"Чайковский"
1,0,"Афина Изотова","ул. Каргопольская 81",9,18.25,10,1126438,"Кохма"
5,0,"Севастьян Добродеев","Аллея Милицейская 198",16,88.99,21,10514456,"Холмск"
5,0,"Люция Шахмагонова","Аллея Радиальная 9-я 610",21,62.12,23,6198157,"Чайковский"
1,0,"Мирослав Сухилин","Аллея Волоцкой 10",1,14.99,2,1904143,"Чайковский"
1,0,"Яков Парфёнов","Аллея Колесовой Елены 957",1,14.95,3,1762692,"Холмск"
1,1,"Илья Соловьёв","ул. Гримау 1383",9,16.4,12,840833,"Холмск"
4,1,"Даниил Домбровский","ул. Фортунатовская 745",1,79.53,1,11012367,"Кохма"
1,0,"Гоар Филкова","ул. Ладожская 1135",3,12.21,4,287674,"Чайковский"
1,1,"Прокопий Рубин","ул. Дмитриевского 505",1,11.4,4,1286157,"Холмск"
1,0,"Иоанна Овросимова","ул. Харитоньевский М. 894",9,16.02,19,989698,"Холмск"
1,1,"Оксана Кедрина","ул. Седова 1319",8,18.15,13,1655010,"Чайковский"
3,0,"Феоктист Каминов","ул. Северодонецкая 2-я 527",5,54.8,12,7894275,"Кохма"
7,1,"Ирина Лаврина","Аллея Дурова 235",2,116.47,22,11112451,"Кохма"
3,1,"Тамара Зиганшина","Аллея Яковлева Аиаконструктора 766",4,36.44,20,4739374,"Перевоз"
2,1,"Иулиан Гиваргизов","ул. Загорского 357",6,31.79,24,2891302,"Перевоз"
1,0,"Мариям Златовратская","ул. Захарковская 1-я 545",7,16.92,20,1534717,"Чайковский"
4,0,"Тит Рахматуллин","ул. Ивана Сусанина 187",1,69.46,2,9905139,"Чайковский"
5,0,"Агапия Горлова","Аллея Елагинская 74",1,74.81,2,6885900,"Кохма"
6,1,"Михаил Клеопов","ул. Кастанаевская 626",2,89.43,4,9416580,"Чайковский"
3,0,"Пантелеймон Авсеев","Аллея Новоостаповская 578",6,50.39,11,8519245,"Чайковский"
1,1,"Сусанна Агеева","ул. Ясеневая 1203",8,14.98,11,338180,"Холмск"
5,0,"Карина Бычкова","Аллея Крестьянская 116",24,82.57,25,10802188,"Чайковский"
2,0,"Тит Римский","Аллея Велозаводская 1123",1,27.76,6,4494107,"Чайковский"
3,1,"Богдан Фандеев","Аллея Северная 5-я 466",1,51.78,2,5482209,"Чайковский"
3,0,"Антон Овчинников","ул. Воротниковская 912",11,59.02,17,13570601,"Чайковский"
1,1,"Мишель Климентьева","ул. Октябрьская ж.д. Московское 637 км 1354",3,15.44,4,482766,"Перевоз"
1,1,"Эраст Бажов","ул. Пионерская М. 1092",9,13.12,25,659196,"Кохма"
3,0,"Иакинф Алпатов","Аллея Лялин 71",1,45.28,7,9046707,"Кохма"
1,1,"Мирослав Бутин","Аллея Керамическая 23",13,18.92,25,1453264,"Чайковский"
4,0,"Ванда Поливанова","Аллея Веткина 11",7,52.88,17,6390533,"Чайковский"
1,1,"Севастьян Остапов","ул. Бебеля 3-я 291",4,15.68,9,629783,"Холмск"
3,0,"Фрол Банников","ул. Поперечная 741",2,58.02,16,7022837,"Чайковский"
4,1,"Ребекка Симеонова","ул. Николая Коперника 596",2,57.08,20,10212974,"Перевоз"
1,1,"Григорий Удачин","Аллея Хибинская 1321",10,10.91,22,302670,"Перевоз"
1,0,"Дмитрий Евгеньев","Аллея Фортунатовская 1189",1,17.32,1,2330389,"Чайковский"
6,0,"Кира Трефилова","Аллея Знаменские Садки 622",3,61.16,19,3798864,"Перевоз"
1,1,"Ария Федотова","ул. Нежинская 145",8,20.76,24,2167319,"Чайковский"
1,1,"Куприян Дегтев","Аллея Кооперативная 406",22,18.75,24,3131587,"Чайковский"
2,1,"Леонид Киктенко","ул. Садовая-Самотечная 971",1,21.28,24,3179976,"Чайковский"
1,0,"Злата Плавильщикова","Аллея Руставели 579",3,14.17,13,943967,"Кохма"
5,1,"Руфина Германова","Аллея Озерковская 434",3,53.47,18,2075440,"Холмск"
1,1,"Всеволод Ким","ул. Хвалынская 639",5,18.17,17,2559717,"Кохма"
1,0,"Ираида Самылина","Аллея Кедрова 1379",13,11.85,17,1070812,"Чайковский"
2,1,"Зарема Буровская","ул. Кирпичная 1177",14,22.83,15,2549669,"Холмск"
5,1,"Лидия Акимова","Аллея Страстной 186",10,88.29,22,12576304,"Кохма"
4,0,"Влас Андрусов","Аллея Каменщики М. 135",2,41.96,22,1729817,"Холмск"
1,1,"Христофор Дашков","Аллея Псковская 1396",7,16.01,18,733928,"Кохма"
1,0,"Евграф Янковский","Аллея Ремизова 196",3,18.19,4,2382938,"Чайковский"
2,0,"Иулиан Пригожин","Аллея Тупиковая 851",21,31.38,25,6281764,"Кохма"
3,0,"Юлиан Внифатьев","Аллея Посланников 1219",2,30.49,10,1398591,"Чайковский"
5,1,"Демид Заболотских","ул. Звезд Эстрады 467",22,83.36,25,11315863,"Кохма"
4,0,"Никита Ерошкин","ул. Аэродромная 1002",5,62.89,10,12426791,"Перевоз"
1,1,"Трифон Алимпиев","Аллея Ленинская Слобода 21",1,11.09,3,776854,"Чайковский"
3,0,"Флоренс Дежнева","Аллея Прогонная 1-я 980",1,54.21,8,12218167,"Кохма"
1,0,"Никита Феофилов","Аллея Тестовская 920",3,20.11,18,1246406,"Оха"
3,0,"Ростислав Манылин","ул. Мценская 712",19,39.57,24,5074897,"Перевоз"
10,1,"Пафнутий Колин","ул. Троилинская 1346",1,101.65,2,10145019,"Кохма"
3,0,"Равшана Тарусова","Аллея Никольская 939",5,50.88,11,6931876,"Кохма"
1,1,"Архипп Кобрин","ул. Кадомцева 744",5,16.8,6,2711863,"Чайковский"
3,1,"Амира Ерошкина","Аллея Ремесленная 1118",5,29.76,9,1175767,"Чайковский"
1,1,"Алевтина Каминова","Аллея Школьная 873",8,11.19,17,1239772,"Чайковский"
1,1,"Русалина Амарантова","ул. Штатная 367",4,12.15,7,640711,"Оха"
1,0,"Вениамин Федулин","ул. Васильцовский Стан 351",12,10.45,19,997591,"Перевоз"
1,0,"Тамила Колобова","ул. Жигулевская 300",4,15.66,15,1206215,"Холмск"
1,1,"Азиза Беседина","Аллея Кантемировская 1050",3,18.04,18,1324764,"Чайковский"
1,1,"Карима Зыкина","ул. Вокзальная 905",5,16.36,16,1571063,"Чайковский"
1,0,"Иоанна Володихина","Аллея Гаражная 650",10,15.53,16,1524395,"Кохма"
1,1,"Ростислав Крупник","Аллея Черкизовская 3-я 956",2,14.58,11,709038,"Кохма"
1,0,"Евграф Троцкий","ул. Горловская 2-я 1166",17,15.42,20,1433053,"Холмск"
5,0,"Евстафий Зиганшин","ул. Донецкая 632",5,75.15,7,16503808,"Перевоз"
1,1,"Фрол Зудин","Аллея Вильнюсская 783",1,17.0,3,711235,"Холмск"
1,1,"Харитон Курков","ул. Пулковская 396",1,13.67,4,1751755,"Кохма"
1,0,"Ирма Войнова","Аллея Лаврушинская 963",1,13.79,8,1459673,"Кохма"
1,0,"Мара Уварова","Аллея Погодинская 10",2,14.2,18,1642392,"Кохма"
4,0,"Константин Вельтман","ул. Якушкина 502",2,39.15,9,5163349,"Чайковский"
2,1,"Мария Богоявленская","ул. Медведковская 972",11,20.13,13,681781,"Кохма"
2,1,"Варвара Берестова","ул. Ножовая 153",8,20.84,14,2173217,"Холмск"
1,0,"Трифон Юдов","Аллея Благовещенская 776",9,10.38,16,981214,"Чайковский"
1,0,"Чулпан Катаева","Аллея Татарский М. 243",5,13.12,9,1848528,"Перевоз"
1,1,"Ария Есина","Аллея Погодинская 1299",9,13.7,11,519255,"Кохма"
1,1,"Илья Ефимов","Аллея Стрельбищенская 982",3,10.0,17,312549,"Кохма"
3,0,"Никон Мартемьянов","Аллея Щукинская 338",1,43.42,1,4085468,"Кохма"
2,1,"Фёкла Мышкина","Аллея Олений Вал 517",5,30.65,7,4426836,"Чайковский"
1,1,"Влада Мерецкова","ул. Березовой Рощи 360",2,11.1,7,494665,"Чайковский"
1,0,"Магдалена Епифанова","ул. Кабельная 1-я 984",4,16.39,6,2288175,"Перевоз"
4,1,"Евдоким Цветков","ул. Новоконюшенная 1075",11,74.55,18,12931090,"Холмск"
1,1,"Анфиса Багринцева","ул. Павла Корчагина 161",7,17.97,19,1272255,"Чайковский"
4,1,"Циара Соловьева","ул. Пасечная 662",8,63.27,18,5200056,"Оха"
1,1,"Цецилия Трефилова","ул. Фрунзенская 2-я 945",14,10.0,15,273041,"Чайковский"
2,1,"Корнилий Петелин","Аллея Набережная М. 804",2,22.71,8,2871699,"Холмск"
1,0,"Серафим Арцыбашев","ул. Чичерина 894",8,19.17,10,2655854,"Чайковский"
1,1,"Феруза Олейникова","Аллея Прядильная 2-я 695",11,16.97,22,2722198,"Кохма"
1,1,"Дорофей Павлов","Аллея Оленья М. 168",14,14.01,25,1948949,"Кохма"
1,1,"Конон Картофельников","Аллея Пудовкина 92",15,18.68,23,1292586,"Чайковский"
1,1,"Изабелла Акбулатова","Аллея Тульская М. 1219",1,15.33,10,2166004,"Чайковский"
1,1,"Богдан Савкин","Аллея Водников 1025",4,19.21,8,3205094,"Кохма"
2,1,"Юлия Кулакова","Аллея Пестеля 935",1,23.97,10,2355108,"Чайковский"
1,0,"Мирон Сегень","ул. Трудовая 671",1,18.7,17,3064465,"Кохма"
1,0,"Афанасий Ливри","Аллея Шереметьевская 568",5,13.83,14,350144,"Холмск"
6,1,"Александр Слаповский","ул. Каспийская 889",6,77.98,10,13253100,"Кохма"
1,0,"Добрыня Селин","ул. Алтайская 255",1,14.29,2,1321732,"Перевоз"
3,0,"Добрыня Чулаки","Аллея Союзная 617",1,56.19,17,8635017,"Чайковский"
1,1,"Иннокентий Перфишин","Аллея Академика Сахарова 117",6,18.74,13,1808344,"Холмск"
1,0,"Мина Белезянский","ул. Косой 548",1,17.0,1,1215821,"Кохма"
1,0,"Фирс Жарковский","ул. Студенецкая 1346",23,21.18,25,3872248,"Кохма"
1,0,"Лука Долиняк","Аллея Владимирская 3-я 1312",13,17.71,20,1922697,"Холмск"
5,0,"Тимофей Шварц","ул. Северная 8-я 972",8,62.12,10,4133572,"Чайковский"
4,1,"Логгин Зотеев","Аллея Введенского 1064",9,56.54,21,6344354,"Холмск"
1,1,"Леся Акатова","ул. Ляминская 602",1,15.31,5,1026927,"Оха"
1,0,"Аполлинария Розанова","Аллея Депо 429",7,12.99,8,1088526,"Чайковский"
1,1,"Влас Хохлов","ул. Красносолнечная 472",11,15.71,13,897055,"Кохма"
1,1,"Кора Еремеева","Аллея Гаврикова 972",1,21.77,11,2031529,"Кохма"
2,0,"Земфира Каминская","Аллея Лесная 2-я 813",2,27.17,10,4147638,"Холмск"
2,1,"Лолита Якушева","ул. Карельская 60",10,20.6,22,429884,"Перевоз"
5,0,"Артемий Тарковский","Аллея Кисельный М. 1296",3,81.39,7,6235134,"Чайковский"
6,1,"Андрей Афанасьев","ул. Мытищинская 398",3,67.04,6,7225291,"Чайковский"
1,0,"Федосей Зябликов","ул. Серпуховская 1228",1,11.82,1,457406,"Чайковский"
1,1,"Алеста Левонтьева","Аллея Петровские Линии 315",14,17.09,25,2380103,"Холмск"
5,0,"Рина Римская","ул. Сокольническая 1-я 847",7,77.72,12,11471019,"Чайковский"
1,1,"Лилит Туровская","ул. Ливенская 290",11,14.11,13,1481385,"Холмск"
5,0,"Теона Свиридова","ул. Адмирала Макарова 356",10,90.05,11,15908959,"Чайковский"
4,1,"Фаддей Волос","ул. Ляминская 839",15,42.01,16,2235213,"Кохма"
1,1,"Серафим Житинский","ул. Востряковское 563",1,14.94,1,1904002,"Холмск"
3,0,"Марк Басинский","ул. Яковоапостольская 222",8,28.44,9,1997122,"Холмск"
1,0,"Ася Саватеева","ул. Театральная 1091",3,22.41,4,4237476,"Чайковский"
1,1,"Азалия Белянкина","ул. Ремесленная 563",10,18.32,19,1518519,"Кохма"
1,1,"Лилиана Асафова","ул. Онежская 1126",7,17.71,15,2267814,"Чайковский"
2,0,"Агафон Кудрявцев","Аллея Дубнинская 7",4,20.72,6,1708012,"Оха"
1,1,"Демид Липовецкий","ул. Сиреневая 1243",13,14.18,15,1419494,"Перевоз"
1,0,"Марина Немчинова","Аллея Внуковская 2-я 554",2,12.78,7,1688085,"Холмск"
6,0,"Кира Лутьянова","ул. Новоостанкинская 3-я 70",4,77.56,9,12562939,"Холмск"
3,0,"Фелисити Назарова","Аллея Новодевичья 1235",4,40.71,11,2987825,"Перевоз"
2,0,"Иакинф Шаликов","Аллея Черногрязская 2-я 425",5,27.47,13,3153724,"Чайковский"
3,1,"Анжела Борисова","ул. Поклонная 828",1,28.28,3,4124704,"Холмск"
2,0,"Эвелина Листьева","Аллея Тагильская 1370",5,17.96,15,884978,"Кохма"
4,1,"Патриция Газданова","ул. Липовая 414",3,62.46,5,9504048,"Чайковский"
1,1,"Эдуард Епимахов","ул. Ялтинская 1392",5,10.91,7,334166,"Чайковский"
5,0,"Германн Скульский","ул. Прокатная 485",1,86.66,20,15502702,"Кохма"
2,1,"Леона Сумарокова","ул. Калужская 1391",5,35.97,6,5303329,"Холмск"
4,1,"Рианна Афремова","ул. Фадеева 437",7,49.04,18,8397506,"Кохма"
2,1,"Николай Дубин","ул. Довженко 46",1,27.04,13,4055524,"Оха"
2,1,"Святослав Зверев","ул. Муравская 2-я 1225",14,22.66,25,1137686,"Чайковский"
3,1,"Забава Ширяева","ул. Выборгская 1057",4,40.66,11,7359076,"Кохма"
1,0,"Агунда Мифтахутдинова","ул. Олеко Дундича 1208",10,13.98,19,946003,"Чайковский"
7,1,"Назар Сбитнев","ул. Купавенский М. 497",12,80.33,18,11160773,"Чайковский"
1,0,"Дания Ивакина","Аллея Бирюсинка 1294",7,16.8,8,2246427,"Холмск"
7,0,"Святополк Олферьев","ул. Хоромная 777",10,97.42,22,17532382,"Холмск"
3,1,"Олег Матвеев","ул. Новокузьминская 1-я 1388",7,57.88,14,7741936,"Кохма"
1,1,"Евсей Саватеев","ул. Академика Курчатова 1161",22,13.92,23,1375324,"Холмск"
1,1,"Джамиля Осипова","ул. Красноярская 562",20,13.21,25,555055,"Холмск"
7,0,"Юрий Светлов","ул. Ворошилова 303",2,90.38,3,10451850,"Перевоз"
7,1,"Алана Скворцова","ул. Комиссариатская 1320",1,134.4,8,23898928,"Чайковский"
1,0,"Иван Лукьяненко","ул. Малинская 1251",12,13.9,16,813944,"Чайковский"
1,0,"Аполлинария Философова","Аллея Искры 995",3,13.64,24,1689905,"Холмск"
2,0,"Беатрис Ананьина","ул. Костомаровская 38",2,24.59,15,3421825,"Чайковский"
8,1,"Рузалия Крапивина","Аллея Чистопольская 815",10,105.79,11,10637197,"Холмск"
1,0,"Искра Софроньева","Аллея Михайлова 215",12,14.08,19,473422,"Чайковский"
3,0,"Фома Красник","Аллея Сергия Радонежского 1042",8,55.5,16,12139156,"Холмск"
1,1,"Раифа Галактионова","ул. Цветочная 1336",12,12.9,21,895564,"Холмск"
1,0,"Люсиль Андронова","ул. Правобережная 1125",4,15.66,8,1709707,"Чайковский"
8,0,"Аяна Вепрева","ул. Штурвальная 1159",2,111.93,10,24136557,"Чайковский"
3,1,"Лидия Елагина","ул. Декабрьская Б. 939",4,29.52,6,4662910,"Кохма"
4,0,"Евдоким Живетьев","ул. Академика Сахарова 179",10,68.67,20,14112584,"Чайковский"
2,0,"Алтын Мозгова","Аллея Черкизовская М. 1154",9,37.13,17,5809127,"Холмск"
4,0,"Никодим Одинцов","ул. Бутлерова 996",6,56.62,7,5513131,"Чайковский"
5,1,"Корнилий Павлов","ул. Владимирская 3-я 888",6,70.95,12,12873779,"Холмск"
4,1,"Антон Блинов","ул. Карамышевская 643",11,45.05,14,6673732,"Холмск"
1,1,"Евграф Долгих","ул. Губкина 999",1,18.78,23,3194400,"Чайковский"
2,0,"Шакира Гатапова","ул. Покрышкина 758",1,22.63,2,1438312,"Кохма"
1,0,"Нея Овечкина","ул. Аэродромная 458",3,15.99,5,2049123,"Чайковский"
4,0,"Кондрат Крусанов","ул. Бусиновская Горка 666",3,42.76,14,6268598,"Кохма"
5,0,"Артур Кормильцев","ул. Академика Миллионщикова 1123",10,58.73,11,5092029,"Кохма"
1,1,"Иосиф Артамонов","ул. Лужники 67",17,10.0,23,282173,"Кохма"
1,1,"Самира Привалова","ул. 1 Маевки 882",1,16.13,2,1354019,"Чайковский"
1,0,"Элиза Боброва","Аллея Пилота Нестерова 610",15,16.12,16,418008,"Оха"
3,0,"Ефрем Огарев","Аллея Поморская 313",3,47.96,4,6852386,"Чайковский"
3,1,"Яков Тарн","ул. Рощинская 2-я 478",2,33.25,11,5896150,"Чайковский"
9,1,"Наоми Подушкова","Аллея Басовская 1326",4,117.42,8,18511507,"Холмск"
1,0,"Ея Андрусова","Аллея Бирюлевская 8",1,18.56,6,2998703,"Чайковский"
5,0,"Юна Алпатова","ул. Гжатская 405",2,67.81,10,14245602,"Холмск"
3,0,"Кирилл Грозный","ул. Ширяевская М. 506",17,36.11,23,5779828,"Чайковский"
6,1,"Ростислав Каренин","Аллея Рубежная 711",12,83.11,15,14149908,"Холмск"
3,1,"Герасим Измайлов","ул. Маршала Прошлякова 982",3,31.75,5,3308976,"Кохма"
1,1,"Каре Кучерская","Аллея Прядильная 3-я 347",9,12.36,22,372407,"Кохма"
1,1,"Иуда Тропин","ул. Миргородская 255",3,18.71,8,3416385,"Перевоз"
2,1,"Родослав Арановский","ул. Перервинская 233",5,34.38,6,4960670,"Кохма"
5,1,"Феликс Юровских","Аллея Оренбургская 716",4,61.66,22,5868789,"Кохма"
1,1,"Фелисити Анурьева","ул. Десантная 344",8,13.35,20,466318,"Кохма"
4,0,"Циара Цыпкина","ул. Башиловская 440",15,45.96,16,2134395,"Кохма"
4,1,"Дарина Громова","ул. Клочкова 480",11,69.04,12,8786735,"Холмск"
1,0,"Геннадий Оглоблин","Аллея Моторная 982",6,13.77,25,1689454,"Чайковский"
1,1,"Геласий Суров","ул. Ляпунова 154",5,10.0,8,467566,"Чайковский"
6,0,"Зульфия Агутина","Аллея Мелиховская 1019",11,83.3,13,14531841,"Кохма"
1,1,"Константин Епифаньев","Аллея Институтская 2-я 302",2,10.0,3,321237,"Перевоз"
11,1,"Авдей Олимпиев","ул. Лыткаринская 336",15,209.0,19,23581752,"Холмск"
1,1,"Галия Носкова","ул. Внуковская 2-я 1036",11,11.87,12,1350720,"Кохма"
1,0,"Сергей Быков","ул. Молжаниновская 886",1,10.0,1,665574,"Холмск"
6,1,"Федосей Северьянов","ул. Вертолетчиков 531",3,67.15,6,4777813,"Кохма"
5,1,"Тора Ставрогина","Аллея Огородная Слобода 290",4,94.24,8,11678536,"Чайковский"
3,0,"Августина Пантелеева","ул. Верхняя 1167",4,33.44,6,4683138,"Перевоз"
4,0,"Геласий Семенов","ул. Сосновка 86",19,43.92,24,5692195,"Кохма"
1,1,"Венедикт Борн","Аллея Дмитриевского 954",4,13.87,7,476115,"Чайковский"
1,0,"Прохор Дьяконов","Аллея Мичуринская 835",18,19.04,24,3109350,"Кохма"
6,0,"Сильвия Крутихина","ул. Рублевское 1228",7,90.73,10,10216573,"Холмск"
3,0,"Савелий Агафонов","ул. Толмачевский Ст. 971",1,44.54,2,4022314,"Холмск"
1,0,"Еремей Колесников","ул. Охотничья 468",1,19.91,3,1471337,"Холмск"
1,1,"Сания Мурманская","Аллея Героев Панфиловцев 465",3,13.82,14,911113,"Холмск"
1,1,"Аэлита Веденская","Аллея Варварка 310",4,12.6,7,314658,"Чайковский"
1,1,"Элиана Саломатова","Аллея Трикотажная 1023",4,16.95,7,3006336,"Перевоз"
1,1,"Тина Авилова","ул. Академика Люльки 1018",1,20.81,2,1889363,"Кохма"
2,0,"Гордей Скороходов","ул. Казарменная 777",1,25.26,15,1911559,"Кохма"
