"price","rooms","city","owner","address","floor","new","floors","square"
961143,1,"Южноуральск","Лия Дьячкова","ул. Лубянская 1295",4,0,6,10.46
312931,1,"Фролово","Агния Алимпиева","ул. Молодогвардейская 1343",1,0,11,14.22
3285873,2,"Электрогорск","Евангелина Иевлева","ул. Долгопрудненское 1146",9,0,21,30.78
313040,1,"Кемь","Эмилия Фандеева","Аллея Новочеркасская 769",4,0,11,12.56
325525,1,"Новотроицк","Агафья Прокопова","Аллея Рудневой 456",14,0,24,13.84
13292709,3,"Фролово","Иветта Чернышева","ул. Лесные Сторожки 342",1,0,2,57.71
1459838,1,"Шумиха","Куприян Бурмистров","ул. Ватин Б. 178",8,0,13,11.89
14422304,5,"Фролово","Арабелла Юрская","Аллея Новопресненская 373",4,0,9,95.65
348365,1,"Южноуральск","Зарина Кабакова","ул. Калмыков 937",12,0,23,13.26
17563822,5,"Ноябрьск","Зухра Владимова","ул. Николая Сироткина 473",3,0,11,95.58
19091562,6,"Шумиха","Рузанна Устьянова","Аллея Сеченовская 641",8,0,17,109.03
7690686,5,"Кемь","Фатима Ипатова","ул. Шаболовка 1049",12,1,20,63.33
747308,1,"Шумиха","Эльнара Солнцева","Аллея Соловьиная 769",1,0,19,14.18
349525,1,"Электрогорск","Влас Королюк","ул. Ясеневая 439",1,0,1,10.0
6334736,3,"Кемь","Никифор Андроников","Аллея Коровинская 1142",5,0,23,41.05
1740046,1,"Фролово","Луиза Анурова","ул. Амурская 62",3,0,5,12.89
1017440,1,"Светлоград","Октябрина Прохорова","Аллея Новорублевская 2-я 1082",13,0,21,14.46
788231,1,"Фролово","Жансая Болтышева","Аллея Марксистская 477",1,0,4,17.12
12832053,5,"Ноябрьск","Сафия Банщикова","Аллея Внуково Аэропорт 395",2,0,3,81.29
2409059,1,"Кемь","Кондрат Кудряшов","Аллея Калибровская 174",11,0,17,18.02
15238538,8,"Электрогорск","Земфира Карпеева","Аллея Пречистенские Ворота 422",2,0,7,94.3
2590781,2,"Новотроицк","Жансая Фалалеева","Аллея Княжекозловская 183",10,0,12,34.46
1411501,1,"Электрогорск","Инна Исакова","Аллея Чернышевского 436",3,1,8,17.99
636199,2,"Ноябрьск","Викентий Филипов","ул. Воздвиженка 203",7,0,9,23.17
4071772,2,"Электрогорск","Габриэлла Шестакова","Аллея Гвоздева 1028",13,0,18,23.98
21556298,11,"Электрогорск","Венедикт Доронин","ул. Стекольная 1-я 255",8,1,10,207.05
1548678,1,"Шумиха","Артур Полуектов","Аллея Нерис Саломеи 762",1,0,1,17.21
5225357,5,"Новотроицк","Назар Липовецкий","ул. Академика Вишневского 13",2,1,16,63.84
4551467,6,"Ноябрьск","Игорь Соснора","ул. Семинарская 206",7,0,22,64.37
6082447,3,"Ноябрьск","Куприян Ярин","Аллея Колымажная 104",1,0,20,44.77
4160767,3,"Ноябрьск","Эльвира Горбунова","Аллея Ивантеевская 870",5,0,11,53.02
655045,1,"Кемь","Фома Лазарев","ул. Измайловская 295",3,0,4,10.0
639251,1,"Шумиха","Добрыня Кондратов","Аллея Милицейская 1399",7,0,8,10.15
21065729,5,"Новотроицк","Сандра Константинова","ул. Сусальный Верхн. 1059",9,0,13,94.98
2042882,2,"Южноуральск","Лия Очина","Аллея Красный Казанец 149",7,0,19,24.12
1587754,1,"Электрогорск","Пахомий Тархов","Аллея Красносельская Верхн. 109",4,0,11,18.73
1053408,1,"Фролово","Дильназ Сопронова","ул. Искры 1397",15,0,23,15.0
3768520,1,"Кемь","Арина Бородина","Аллея Ярославское 221",14,0,23,20.12
23051592,6,"Фролово","Игорь Серафимович","Аллея Кузьминская 796",14,1,17,109.3
1223872,1,"Фролово","Вадим Евменов","Аллея Тобольская 321",10,0,15,18.37
9502574,3,"Кемь","Логгин Пименов","Аллея Могильцевский М. 154",8,0,24,50.04
537779,1,"Фролово","Галия Богомякова","Аллея Ярославское 647",8,0,9,13.39
342631,1,"Новотроицк","Кристина Палицина","Аллея Рублевская 914",13,0,19,10.6
19017887,9,"Ноябрьск","Мстислав Ежов","ул. Новорогожская 136",1,0,9,164.18
1979027,1,"Южноуральск","Люсиль Березовская","ул. Адмирала Ушакова 106",8,1,10,16.18
4720423,2,"Электрогорск","Бьянка Филимонихина","ул. Знаменская 1295",2,0,15,37.68
8908046,3,"Электрогорск","Василина Каминская","ул. Самокатная 889",10,0,19,58.7
973170,1,"Ноябрьск","Потап Внифатьев","Аллея Почтовая Б. 417",15,1,21,12.38
19080696,6,"Новотроицк","Октябрина Ефимьева","ул. Головачева 1370",6,0,12,89.81
1174454,1,"Южноуральск","Ярослав Кочергин","ул. Спасоглинищевский Б. 678",5,0,6,13.24
1156126,1,"Новотроицк","Алексия Сычина","ул. Алымова 1055",4,0,23,15.85
8128938,3,"Шумиха","Андрей Очин","Аллея Композиторская 1206",12,0,15,50.46
1678666,1,"Южноуральск","Гордей Зябликов","ул. Волоколамское 244",2,0,8,14.24
1187302,1,"Электрогорск","Трифон Банщиков","Аллея Мурманская 843",3,0,5,13.4
6867969,5,"Ноябрьск","Трофим Воробьёв","ул. Звенигородская 2-я 743",1,0,3,73.87
7066847,3,"Южноуральск","Тарас Живетьев","Аллея Никопольская 157",16,0,19,39.48
7011966,3,"Кемь","Рианна Глуховская","ул. Парковая 2-я 582",5,0,17,37.16
1865495,1,"Электрогорск","Зарема Ульянова","ул. Краснопресненская 472",7,0,23,14.86
2736344,1,"Шумиха","Акакий Голиков","Аллея Пивченкова 426",6,0,7,18.84
7436750,2,"Кемь","Ляйсан Радзинская","Аллея Клары Цеткин 1097",6,0,17,36.54
23898348,8,"Ноябрьск","Ефим Адамович","Аллея Сеславинская 120",18,0,20,128.21
20613707,7,"Электрогорск","Германн Полуехтов","Аллея Нижние Мневники 740",3,0,4,134.03
12201313,5,"Электрогорск","Елизавета Мозгова","ул. Алешкинская 204",1,0,2,63.64
250442,1,"Ноябрьск","Ия Заволокина","ул. Черноморская 247",10,0,12,11.25
10585527,3,"Шумиха","Жозефина Ломова","Аллея Поклонная 262",13,0,14,49.57
3301057,1,"Кемь","Чулпан Азарьева","ул. Кудринская 128",6,0,7,19.24
6846604,2,"Новотроицк","Эсмира Савельева","Аллея Семеновская 41",1,0,1,32.95
423377,1,"Электрогорск","Агунда Крапивина","Аллея Фрунзенская 2-я 663",8,0,10,10.0
399188,1,"Южноуральск","Камилла Кононова","Аллея Стройковская 1383",7,0,8,13.02
1837513,1,"Кемь","Филат Кривцов","ул. Климентовская 268",3,0,10,15.26
309918,1,"Ноябрьск","Юстин Фокин","Аллея Никитская 895",20,0,25,13.45
1443336,1,"Южноуральск","Аяна Балкова","ул. Аристарховская 692",11,0,16,11.49
587384,1,"Фролово","Тимур Юдов","ул. Абельмановская 418",9,0,10,15.9
7962740,6,"Ноябрьск","Оксана Логинова","Аллея Лефортовский Вал 367",12,0,22,66.25
3159704,1,"Шумиха","Фока Багиров","ул. Дорогомиловская Застава 513",17,0,20,19.56
331936,1,"Шумиха","Виолетта Анхимова","Аллея Самаринская 132",3,0,8,10.88
4341096,2,"Южноуральск","Домника Нехорошева","Аллея Филевская 2-я 1071",14,1,17,32.1
7842655,5,"Кемь","Бьянка Газданова","ул. Алексея Дикого 6",5,0,9,89.51
5743484,5,"Фролово","Евстафий Агутин","ул. Новые Черемушки 32а 437",15,0,19,53.27
329312,1,"Кемь","Максим Белозеров","ул. Мясниковская 2-я 10",4,0,11,10.17
2355791,1,"Фролово","Грета Каруселина","Аллея Добровольческая 1121",1,0,6,17.12
2716579,1,"Новотроицк","Алексия Флегонтова","Аллея Дворцовая Левая 1303",2,0,5,19.31
496427,1,"Кемь","Вадим Гуляев","ул. Старо-Петровско-Разумовская 106",10,0,12,10.65
407108,1,"Шумиха","Лука Бездетко","Аллея Пестеля 451",5,0,25,10.31
7508986,4,"Шумиха","Капитон Ешкилев","ул. Верхнелихоборская 1087",9,0,18,42.66
252880,1,"Шумиха","Сила Карпов","Аллея Пруд Ключики 943",11,0,14,13.26
342002,1,"Электрогорск","Рена Федотьева","Аллея Часовая 1265",2,1,8,10.31
10563499,4,"Кемь","Акакий Воронов","ул. Красносельская Нижн. 1070",1,0,2,68.55
2463696,3,"Шумиха","Флоренс Гераскина","Аллея Прядильная 2-я 608",13,1,16,30.08
1855668,1,"Ноябрьск","Лукерья Прокофьева","Аллея Боевская 1-я 242",2,0,13,16.1
331794,1,"Светлоград","Зиновий Уткин","Аллея Уваровская 964",4,0,11,10.0
2458091,1,"Кемь","Илья Павлинов","Аллея Студеная 607",4,0,14,15.99
1756244,1,"Шумиха","Жанна Зыкина","ул. Тихоновская М. 81",6,0,20,16.09
301414,1,"Электрогорск","Айнагуль Тихомирова","Аллея Курсовой 1259",1,0,3,14.28
5512873,5,"Электрогорск","Нора Апарина","ул. Бутырский Вал 809",5,0,11,50.13
2713931,1,"Фролово","Еремей Спивак","Аллея Земляной Вал 822",3,1,15,19.44
844503,1,"Электрогорск","Олег Замуткин","ул. Талдомская 1259",3,0,9,10.0
1801989,1,"Новотроицк","Клара Старикова","ул. Боровская 1082",5,0,10,14.92
13553837,6,"Электрогорск","Аникита Ануров","ул. Старонародная 1033",3,0,6,69.83
3010961,2,"Ноябрьск","Викентий Ахмедов","ул. Новобутаково 858",1,0,2,36.36
8123514,6,"Новотроицк","Доминика Останина","Аллея Шарикоподшипниковская 965",3,0,4,72.77
732273,1,"Светлоград","Кирилл Петрушевский","ул. Строгановская 15",17,0,25,16.33
15864550,4,"Кемь","Эвита Филимонихина","ул. Обручева 81",1,0,5,78.63
1718229,1,"Кемь","Номина Сахарнова","ул. Костянская 1061",6,0,16,20.87
2017426,1,"Шумиха","Лука Логинов","ул. Булатниковская 1176",1,0,3,17.56
5387640,2,"Кемь","Всеволод Куваев","ул. Трехсвятительский М. 728",4,0,6,32.72
1114677,1,"Кемь","Влас Заплетин","Аллея Елисеевская 284",1,0,3,10.95
3542283,2,"Фролово","Тимофей Ильенков","ул. Ельнинская 167",3,0,4,29.0
1737955,2,"Новотроицк","Геласий Советов","ул. Кузнецкий Мост 1036",8,0,15,21.48
642916,1,"Фролово","Симона Бродская","Аллея Маршала Федоренко 915",15,0,23,15.33
4829588,3,"Ноябрьск","Леся Гончарова","Аллея Михельсона 588",11,0,14,33.75
592054,1,"Ноябрьск","Ава Сапронова","ул. Мещерякова 918",7,0,15,10.36
1646413,1,"Фролово","Сальма Латынина","ул. Грохольская 589",5,0,8,17.8
1128545,1,"Слободской","Федосей Микитов","Аллея Ленинградская 835",1,0,21,12.37
3078001,2,"Электрогорск","Юстин Кузьмин","ул. Семеновская Б. 924",8,0,15,23.4
1423658,1,"Кемь","Ралина Купреянова","ул. Останкинская 1-я 190",9,0,22,13.59
5040723,6,"Электрогорск","Паисий Гальего","Аллея Ганнушкина 1112",2,0,10,68.09
2078888,1,"Электрогорск","Андрей Юдов","Аллея Дмитрия Донского 388",11,0,19,17.62
2877177,1,"Южноуральск","Тит Удалов","Аллея Заводская 182",6,0,10,19.81
25628719,8,"Южноуральск","Айнур Люсина","Аллея Маршала Василевского 1119",4,0,16,129.98
29058932,12,"Ноябрьск","Артемий Робски","ул. Лыковская 3-я 1161",1,1,2,216.04
35402747,14,"Кемь","Матвей Савёлов","Аллея Житомирская 753",1,0,24,251.95
14957237,6,"Кемь","Устинья Авилина","Аллея Колпачная 345",3,0,10,115.25
10422038,7,"Фролово","Родослав Зыков","Аллея Смоленская-Сенная 1171",4,0,8,74.62
9277439,3,"Кемь","Наоми Андрусова","ул. Челобитьевское 1100",2,0,3,52.24
18809732,6,"Новотроицк","Грета Евтихеева","ул. Толстопальцево 1220",1,0,1,107.95
2143192,1,"Шумиха","Гульзира Меркульева","Аллея Колокольников 1079",3,0,13,18.38
1309111,1,"Электрогорск","Венера Ковшова","Аллея Гродненская 413",16,0,22,11.38
10699242,5,"Электрогорск","Архипп Сорбатский","Аллея Зои и Александра Космодемьянских 1258",6,0,21,80.32
4026769,4,"Электрогорск","Мадлен Шаргунова","ул. Новокузнецкая 1157",2,0,5,48.16
10426125,3,"Шумиха","Аникита Анкудинов","Аллея Красносельская Нижн. 885",6,0,8,50.42
6339081,3,"Фролово","Роберта Олферьева","ул. Школьная 557",5,0,8,52.15
530379,1,"Шумиха","Магистриан Манылов","Аллея Яблоневая 223",7,0,12,15.96
1622166,1,"Южноуральск","Лиана Нарбикова","ул. Елецкая 923",5,0,6,19.46
2953505,1,"Шумиха","Нелли Амфитеатрова","Аллея Онежская 1237",4,0,11,18.57
8726564,5,"Электрогорск","Борис Трефильев","Аллея Коновалова 1140",3,0,5,96.23
8672861,4,"Кемь","Дара Фирсова","Аллея Цимлянская 260",4,0,16,68.52
2648248,1,"Электрогорск","Анисья Можаева","Аллея Будайская 391",3,0,16,15.89
6382938,3,"Фролово","Божена Офросимова","Аллея Саввинский М. 793",18,0,23,49.58
10101429,5,"Ноябрьск","Мстислав Пономарёв","ул. Мишина 471",12,0,14,59.91
434963,1,"Ноябрьск","Илья Немцов","ул. Гжельская 1355",3,0,9,15.66
1419191,2,"Кемь","Алексей Сычин","ул. Мякининская 4-я 1131",9,0,18,19.46
4868310,3,"Фролово","Ростислав Пономарев","Аллея Остафьевская 1142",10,0,23,33.91
19274492,7,"Кемь","Геласий Софонов","Аллея Авиаконструктора Миля 1178",5,0,8,104.88
775325,1,"Фролово","Вита Казакова","Аллея Богданова 410",7,0,20,10.41
22863304,7,"Фролово","Анисья Артёмова","Аллея Захарковская 3-я 1340",1,0,22,133.59
4002461,3,"Южноуральск","Логгин Хемлин","Аллея Лухмановская 999",7,0,9,30.62
2823329,2,"Электрогорск","Дарина Малярова","ул. Всеволода Вишневского 916",1,0,9,32.42
9477143,4,"Южноуральск","Аркадий Иваницкий","ул. Хлыновская 1001",2,0,14,48.71
15131711,4,"Электрогорск","Герман Дзержинский","ул. Солдатская 444",1,0,2,67.64
3680402,1,"Фролово","Никодим Порфирьев","Аллея Турчанинов 136",1,0,19,19.45
568615,1,"Ноябрьск","Олег Витковский","ул. Магистральная 3-я 61",2,0,3,16.43
3689605,2,"Кемь","Макария Ковшова","ул. Радио 142",8,0,23,22.62
3355422,3,"Южноуральск","Александр Хазанов","ул. Судостроительная 584",5,0,17,28.43
3387618,2,"Шумиха","Лука Булочников","Аллея Лазенки 7-я 420",20,0,24,29.3
926590,2,"Слободской","Иулиан Буряченко","Аллея Болотная 497",1,0,3,23.52
324119,1,"Электрогорск","Варлам Остапов","ул. Мишин 686",4,0,15,12.04
15995984,6,"Фролово","Виталия Пучкова","ул. Мусы Джалиля 449",7,0,14,92.78
4620903,4,"Шумиха","Эмма Вихрова","Аллея Чертаново Северное 65",11,0,18,61.58
10081338,4,"Электрогорск","Ермолай Огарев","ул. Внуковское 266",3,0,12,72.08
32737726,9,"Ноябрьск","Кузьма Пасечник","ул. Раменки 639",5,0,9,152.22
5560879,2,"Электрогорск","Серафим Ерофеев","ул. Шубинская 782",14,0,16,40.18
14438376,6,"Электрогорск","Роза Паршова","Аллея Курганская 1334",4,0,10,76.78
1321745,1,"Кемь","Октябрина Бутина","Аллея Еропкинская 1077",5,0,11,13.11
12798191,8,"Фролово","Динара Скороходова","Аллея Расплетина 150",5,0,13,127.63
277103,1,"Электрогорск","Евангелина Спиридонова","Аллея Симферопольская 338",4,0,18,10.67
26764423,6,"Ноябрьск","Марта Замыслова","ул. Тверская-Ямская 3-Я 1010",17,0,25,115.29
11786520,5,"Фролово","Спиридон Одинцов","ул. Николая Сироткина 736",5,0,8,76.28
19029412,5,"Фролово","Наиля Пармёнова","Аллея Чебоксарская 636",3,0,6,92.8
7405436,4,"Кемь","Снежана Богоявленская","ул. Графитная 726",6,0,12,44.64
18616464,5,"Ноябрьск","Трофим Феклисов","ул. Зеленодольская 518",2,0,3,86.82
809927,1,"Кемь","Герман Навальный","Аллея Новокрымская 106",9,1,10,18.22
345138,1,"Электрогорск","Фелиция Авксентьева","Аллея Кабельная 2-я 89",1,0,1,11.47
6295498,5,"Шумиха","Платон Визбор","Аллея Подольских Курсантов 906",7,0,14,80.04
20268170,10,"Новотроицк","Акакий Ипполитов","ул. Дыбенко 1150",4,0,5,120.49
2140477,1,"Фролово","Макария Архангельская","Аллея Врачебная 431",15,0,17,14.71
3647101,4,"Электрогорск","Варфоломей Владимов","ул. Шереметьевская 716",1,0,19,46.49
16742321,4,"Южноуральск","Владана Калашникова","ул. Стандартная 1199",4,0,9,72.59
613436,1,"Шумиха","Эльвира Достоевская","ул. Красного Маяка 408",11,0,13,10.0
2414051,1,"Фролово","Вадим Токарев","ул. Савеловского Вокзала 615",2,0,3,16.42
14584522,6,"Южноуральск","Иакинф Корецкий","ул. Колымажная 278",5,1,19,113.55
2908980,2,"Кемь","Василиса Меркульева","ул. Академическая Б. 944",8,0,11,35.64
18203069,7,"Кемь","Алёна Глуховская","Аллея Зверинецкая 431",1,0,2,105.35
847323,1,"Шумиха","Пётр Хлестаков","Аллея Маршала Прошлякова 1364",10,0,12,17.16
13591355,6,"Шумиха","Платон Феофилов","Аллея Парковая 5-я 896",4,1,12,71.91
12726945,3,"Кемь","Илья Созонтов","Аллея Ферсмана 1356",5,0,13,57.42
1008060,1,"Шумиха","Анатолий Герцен","ул. Ветошная 577",18,0,20,16.04
1590693,1,"Ноябрьск","Милица Минина","Аллея Карпатская 2-я 1026",1,0,15,16.86
6837098,2,"Фролово","Камила Козлова","Аллея Соколиной Горы 5-я 874",14,0,21,35.95
10046785,5,"Фролово","Аделаида Маркианова","Аллея Трифоновская 319",11,1,15,96.04
1186454,1,"Кемь","Ефрем Пьецух","Аллея Николопесковский Б. 1395",1,0,7,13.36
1962933,1,"Фролово","Эдуард Зайцев","ул. Юровская 284",22,0,24,20.35
340940,1,"Фролово","Фирс Павлинов","Аллея Энергетическая 35",6,0,10,11.05
4000491,4,"Шумиха","Эстер Хазанова","ул. Братская 1334",15,0,21,46.85
4348202,2,"Шумиха","Филимон Добродеев","ул. Путинковский М. 217",4,0,9,33.14
1600650,1,"Светлоград","Самира Аникеева","Аллея Северная 8-я 514",2,0,13,12.35
12829409,6,"Шумиха","Бажена Балдина","ул. Измайловская Пасека 839",8,0,13,103.1
5624206,4,"Электрогорск","Харитон Парфенчиков","ул. Спартаковская 627",7,1,13,57.05
339583,1,"Новотроицк","Хрисанф Пахмутов","ул. Краснодарская 22",1,0,4,10.19
1049876,1,"Шумиха","Ульяна Бузина","ул. Богородское 732",8,0,9,13.55
17707888,7,"Фролово","Никон Могутин","Аллея Максимова 883",3,0,10,96.51
2146614,1,"Шумиха","Созон Каминский","ул. Лухмановская 960",10,0,12,18.29
17097443,5,"Новотроицк","Семён Трифонов","Аллея Рязанская 758",14,0,19,80.6
680538,1,"Новотроицк","Фарида Привалова","ул. Лукино 1-я 200",8,0,19,15.44
14103232,4,"Шумиха","Ириней Белоусов","ул. Юрловская 733",14,0,25,72.57
9629020,7,"Кемь","Архипп Лужин","Аллея Парковая 2-я 966",4,0,19,77.15
5616235,2,"Шумиха","Айару Грина","ул. Вяземская 388",19,0,20,35.28
3279965,2,"Новотроицк","Селена Белянкина","ул. Астраханская 98",4,0,23,25.6
6631983,3,"Фролово","Онуфрий Аствацатуров","ул. Выползов 1018",8,0,18,38.28
1461736,1,"Фролово","Лукерья Распутина","Аллея Партийная 663",3,1,14,12.78
18985599,7,"Электрогорск","Исидор Поляновский","Аллея Щербинка 895",17,0,18,91.83
582290,1,"Новотроицк","Роберта Сенчина","Аллея Академика Несмеянова 1229",2,1,3,14.75
1852614,1,"Фролово","Поликарп Кирилин","ул. Макеевская 914",2,0,12,18.76
19034724,9,"Фролово","Гаянэ Харламова","Аллея Бухвостова 1-я 199",5,0,7,109.25
317110,1,"Ноябрьск","Прохор Римский","ул. Кусковская 1185",6,0,13,10.0
852370,1,"Южноуральск","Станислав Аввакум","Аллея Громова 1379",6,0,12,13.35
2744356,4,"Шумиха","Мелентий Зорин","Аллея Вишневая 421",21,0,23,41.03
4989608,2,"Светлоград","Варлам Успенский","ул. Серпуховская 582",1,0,3,29.39
996923,1,"Фролово","Лаврентий Немцов","ул. Композиторская 316",1,0,1,10.9
9496491,6,"Электрогорск","Спиридон Алпатов","Аллея Знаменский М. 421",8,1,16,66.45
11692423,8,"Шумиха","Варсонофий Жемчужников","ул. Брюсов 440",1,0,4,102.07
19097968,5,"Кемь","Регина Воротникова","ул. Хуторская 2-я 246",1,0,1,93.86
2755088,1,"Ноябрьск","Лира Багринцева","ул. Александра Солженицына 1103",1,0,2,19.58
11561324,4,"Ноябрьск","Ярослав Гаврилов","Аллея Филевская 3-я 1137",5,0,9,76.48
8984190,5,"Кемь","Люсьена Живетьева","ул. Власьевский М. 1325",6,0,14,73.55
4176695,5,"Шумиха","Павел Клепиков","Аллея Веерная 264",4,0,5,46.78
2097763,1,"Электрогорск","Илина Бирюкова","ул. Лениногорская 1118",6,0,10,15.32
7368651,3,"Ноябрьск","Капитон Трофимов","ул. Афанасьевский Б. 1374",14,0,20,45.66
788201,1,"Шумиха","Онуфрий Лукьянов","ул. Складочная 800",15,0,21,10.0
3078478,1,"Кемь","Федосей Косьмин","Аллея Татарский Б. 855",3,0,24,17.03
5463511,4,"Фролово","Наргиза Рожкова","Аллея Бирюлевская 1084",1,0,2,40.07
1125727,1,"Кемь","Эрмина Алтухова","ул. Пятницкое 815",11,0,20,17.17
3808096,2,"Кемь","Кирилл Ромазанов","ул. Ягодная 1324",17,0,18,32.55
573418,1,"Электрогорск","Аврора Замуткина","ул. Знаменский Б. 233",4,0,16,15.3
15714072,7,"Ноябрьск","Бела Парщикова","ул. Профсоюзная 1077",1,0,13,90.49
1974343,1,"Электрогорск","Иулиан Симонов","Аллея Пасечная 768",5,0,12,16.33
8553641,3,"Фролово","Константин Можаев","Аллея Самокатная 478",12,1,16,52.43
10429176,3,"Светлоград","Спиридон Власов","Аллея Веневская 1211",5,0,22,48.61
855032,1,"Фролово","Олег Леонтьев","ул. Почтовая М. 1225",7,0,13,11.89
5826572,2,"Электрогорск","Любовь Чижова","ул. Звонарская 1268",2,0,10,35.3
2534522,2,"Ноябрьск","Инга Чаплыгина","Аллея Татьяны Макаровой 511",2,0,12,30.22
25090839,6,"Электрогорск","Владимир Ганичев","Аллея Тюльпанная 693",14,0,25,113.06
9177029,5,"Шумиха","Мстислав Афанасьев","Аллея Бородинская 1-я 815",4,1,5,98.32
7947788,5,"Новотроицк","Ая Исакова","ул. Рогачевская 1169",3,0,4,63.71
6787460,4,"Электрогорск","Тимур Иженяков","ул. Физкультурная 962",10,0,11,60.81
6742818,4,"Кемь","Беатрис Сидорова","Аллея Чоботовская 7-я 1314",9,0,16,39.66
1672135,1,"Новотроицк","Устинья Рыбакова","Аллея Новинская 509",5,0,16,17.02
1996481,1,"Кемь","Тина Кирилова","ул. Нововоротниковская 1371",8,0,24,18.1
839478,1,"Кемь","Ава Домбровская","ул. Полуярославский М. 1178",5,0,8,14.93
4548508,3,"Шумиха","Владислав Сараскин","Аллея Октябрьская ж.д. Московское 646 км 889",1,0,16,49.77
3853019,6,"Кемь","Раиля Пучкова","ул. Ширшова 443",3,0,7,70.61
7963274,4,"Шумиха","Октябрина Дедова","ул. Серпов 956",9,0,11,45.03
11667355,7,"Шумиха","Яков Чистов","ул. Хорошевского Серебряного Бора 2-я 1261",3,0,15,107.91
15050994,6,"Фролово","Устинья Прохорова","ул. Кржижановского 917",15,0,23,94.32
3880978,5,"Новотроицк","Филимон Зябликов","Аллея Воронцовская 1383",4,0,17,64.75
3585316,4,"Кемь","Прокопий Милов","ул. Полесская 972",3,0,22,53.88
1489772,1,"Фролово","Савелий Зарубин","Аллея Косинская Б. 692",1,0,2,12.05
2076906,3,"Ноябрьск","Мия Булганина","ул. Радиоцентр 708",15,0,20,30.52
38654822,9,"Шумиха","Тихон Норов","ул. Пырьева 676",2,0,15,170.61
1128952,1,"Электрогорск","Илина Корабальникова","Аллея Плющева 356",3,0,11,12.28
6074713,6,"Шумиха","Мелисса Шакирова","ул. Советская 208",12,0,14,75.95
836863,1,"Новотроицк","Пелагея Меркулова","Аллея Садовая-Спасская 61",3,0,18,13.26
3697250,4,"Шумиха","Иван Аверкиев","Аллея Сторожевая 1108",13,0,17,40.27
2431249,2,"Фролово","Антон Сальников","ул. Хачатуряна 113",1,0,3,36.07
655180,1,"Новотроицк","Филипп Набоков","ул. Токмаков 629",6,0,8,16.57
1862005,1,"Фролово","Степан Востряков","ул. Николопесковский М. 585",2,0,4,13.87
311887,1,"Ноябрьск","Татьяна Геннадиева","ул. Ильинский Пос. 1075",8,0,24,10.0
7583472,6,"Кемь","Стелла Фотеева","Аллея Амурская 1049",8,0,18,96.43
11501257,4,"Шумиха","Виталий Максимишин","ул. Хорошевского Серебряного Бора 1-я 975",1,0,11,57.64
2001574,1,"Фролово","Виталия Венедиктова","Аллея Капельская 762",4,0,16,15.49
2015831,1,"Фролово","Валерий Феклисов","ул. Псковская 823",5,0,23,13.46
18657529,8,"Шумиха","Тая Щеглова","ул. Дорога Жизни 496",6,0,8,94.38
819755,1,"Кемь","Святослав Новосельцев","ул. Житная 365",3,0,13,13.84
10336701,3,"Электрогорск","Евсей Саломатов","ул. Милютинская 203",4,1,18,47.98
3381974,2,"Новотроицк","Гюзель Трудолюбова","ул. Старолучанская 1071",5,0,17,23.48
291637,1,"Шумиха","Корнелия Синявская","Аллея Академика Пилюгина 204",9,0,14,12.58
