"new","price","owner","square","floors","floor","address","city","rooms"
1,6050680,"Ириней Рубин",56.83,9,4,"Аллея Васильевский Спуск 1058","Нягань",4
1,379726,"Христофор Винтилов",13.87,9,6,"ул. Академика Скрябина 878","Озёры",1
0,963805,"Виолетта Нахапетова",15.55,24,18,"Аллея Мякининская 3-я 1088","Черноголовка",1
1,2604488,"Адиля Фадеева",49.62,5,2,"Аллея Васнецова 428","Черноголовка",5
0,1950919,"Астрид Беляева",18.04,8,5,"Аллея Смирновская 63","Озёры",1
0,3360877,"Заира Смирнова",19.85,25,10,"Аллея Сокольническая 5-я 1001","Черноголовка",1
0,2748720,"Аникита Жаринов",17.81,14,2,"ул. Милицейская 104","Тихвин",1
1,617158,"Антон Одинцов",15.28,5,4,"ул. Маршала Федоренко 679","Нягань",1
1,23484974,"Каре Ложкомоева",102.43,14,6,"Аллея Александра Невского 730","Черноголовка",6
1,1093082,"Милен Остафьева",14.59,11,7,"Аллея Вишняковская 414","Бирюч",1
1,10228198,"Фаина Добычина",66.32,6,1,"ул. Бородинская 2-я 816","Бирюч",5
1,492123,"Павлина Баскакова",12.71,10,7,"Аллея Лазенки 5-я 151","Бирюч",1
0,5585624,"Дилярам Васькина",30.34,4,2,"ул. Сыромятническая Нов. 1037","Черноголовка",2
0,22159533,"Люче Кузечкина",113.76,6,1,"Аллея Давыдковская 1269","Тихвин",7
0,18021507,"Феликс Плавильщиков",98.24,25,19,"Аллея Лазаревская 1361","Чегем",7
0,605197,"Авдотья Василева",10.0,5,4,"ул. Зацепская 1214","Черноголовка",1
1,1384854,"Руслан Гнедич",12.32,16,11,"ул. Измайловская Пасека 321","Нягань",1
0,1077965,"Кира Вихрова",10.89,22,3,"Аллея Продольная 935","Бирюч",1
1,5539972,"Ангелина Фонвизина",44.78,25,10,"Аллея Камергерская 950","Черноголовка",3
0,6048967,"Аделаида Бакунина",44.74,4,1,"Аллея Левитана 895","Черноголовка",4
0,10700984,"Божена Малкина",54.54,24,14,"Аллея Магистральная 5-я 923","Бирюч",3
0,4219931,"Валентин Смолин",49.54,22,2,"Аллея Вознесенская 304","Бирюч",3
0,4973600,"Нора Данькова",27.53,20,11,"ул. Защитников Неба 1022","Бирюч",2
1,1394687,"Геннадий Боярский",14.59,1,1,"Аллея Новомалино 1243","Бирюч",1
0,14646769,"Жозефина Долина",83.2,4,2,"Аллея Байдукова 272","Озёры",6
0,1761910,"Гульназ Шакирова",31.64,18,2,"ул. Уткина 920","Озёры",3
0,6297332,"Хрисанф Пригожин",50.58,9,4,"Аллея Чусовская 1142","Озёры",3
1,12889520,"Геннадий Беленко",71.48,11,7,"ул. Лескова 391","Нягань",6
0,2113681,"Цагана Фофанова",27.18,1,1,"Аллея Тагильская 670","Чегем",3
1,10941652,"Олег Зыков",93.18,14,6,"Аллея Родниковая 375","Озёры",5
1,6325681,"Тимофей Серенко",32.45,19,15,"Аллея Курского Вокзала 1083","Бирюч",2
0,2826866,"Семён Богомяков",33.88,12,4,"Аллея Михайловская 82","Бирюч",3
0,1192396,"Константин Ганиев",19.08,12,10,"Аллея Хлыновская 551","Тихвин",2
1,3534777,"Пафнутий Игнашев",31.97,23,19,"Аллея Новокирочная 1310","Озёры",3
1,3872618,"Онисим Фавстов",31.12,23,19,"ул. Тушинская 72","Тихвин",2
1,5381757,"Савва Неспанов",35.36,2,1,"ул. Николопесковский М. 568","Озёры",2
0,368656,"Эмма Коровина",10.52,7,4,"Аллея Березовая 1332","Нягань",1
0,3688629,"Мариям Кривцова",48.5,13,5,"Аллея Джанкойская 966","Нягань",4
0,9773858,"Феруза Порфирьева",72.45,10,9,"ул. Губкина 569","Черноголовка",6
1,1770508,"Мадина Назарова",17.09,19,16,"ул. Калитниковская Ср. 1303","Черноголовка",1
0,4504414,"Фируза Щербина",50.95,12,6,"Аллея Академика Люльки 1374","Бирюч",4
0,6076794,"Герман Коржавин",45.5,5,4,"ул. Кантемировская 601","Озёры",3
0,7083512,"Добрыня Квартальнов",34.9,10,3,"Аллея Железногорская 463","Черноголовка",2
0,18725170,"Спиридон Первушин",135.12,15,1,"ул. Прямикова 1017","Тихвин",7
0,7464296,"Ждан Лапин",44.8,1,1,"Аллея Фабричная 984","Нягань",4
1,7594063,"Валерьян Грозный",84.98,1,1,"Аллея Стромынка 1163","Бирюч",5
0,15909868,"Лукьян Бажов",85.78,1,1,"Аллея Саранская 1141","Нягань",5
1,24090433,"Сати Аверкова",129.81,2,1,"Аллея Кастанаевская 1031","Нягань",8
1,7289063,"Влас Булочников",38.53,9,3,"ул. Старокрымская 1314","Бирюч",3
0,1470957,"Полина Кузикова",35.27,17,15,"ул. Новослободская 251","Черноголовка",3
0,2695329,"Аэлита Сычина",18.56,13,12,"Аллея Купавенский Б. 658","Озёры",1
0,2270333,"Нора Черноусова",16.89,5,2,"Аллея Самотечная 1160","Чегем",1
1,304545,"Мехри Газданова",11.25,15,12,"ул. Щипок 158","Озёры",1
0,7559732,"Никанор Бычков",46.2,18,9,"Аллея Пекуновская 725","Бирюч",4
1,540620,"Мелентий Обросимов",12.46,9,5,"ул. Новодмитровская 550","Чегем",1
1,1268839,"Харитон Мурманенко",16.9,3,1,"ул. Артековская 226","Тихвин",1
1,9763163,"Альберт Щепило",49.23,15,13,"Аллея Сусоколовское 1120","Черноголовка",3
1,1072911,"Илья Амвросьев",12.05,16,4,"Аллея Внуково Аэропорт 994","Нягань",1
1,11981511,"Агафон Лепёхин",73.13,25,16,"ул. Голубинская 869","Нягань",4
1,5631940,"Риана Ермакова",58.07,25,10,"Аллея Теплый Стан 740","Нягань",3
1,339792,"Евсей Воробьев",12.04,4,2,"Аллея Академика Виноградова 916","Бирюч",1
1,1645024,"Эстер Ростова",14.66,9,3,"Аллея Черкизовская М. 100","Тихвин",1
1,8911510,"Нестор Вахтин",58.46,24,19,"Аллея Осипенко 668","Черноголовка",4
0,632133,"Федосей Касимов",10.99,1,1,"Аллея Соловецких Юнг 1184","Нягань",1
0,5329422,"Элла Табакова",57.9,13,3,"Аллея Новозаводская 251","Бирюч",4
1,318018,"Иосиф Платонов",11.39,8,7,"ул. Керченская 980","Черноголовка",1
1,2147838,"Лев Милов",26.5,10,4,"Аллея Грайвороновская 904","Черноголовка",2
0,6290649,"Эрика Рачкова",51.52,25,6,"Аллея Туркменская 39","Тихвин",4
1,3011766,"Сильвия Смородинская",17.7,6,3,"ул. Старообрядческая 610","Бирюч",1
1,9908868,"Владлен Корявин",46.99,24,8,"ул. Балакиревская 778","Озёры",3
1,6112460,"Степан Афанасов",55.59,7,1,"ул. Академика Сахарова 1288","Бирюч",3
0,980456,"Валентин Ранцов",14.93,24,5,"ул. Ленинградское 293","Бирюч",1
0,2375502,"Дорофей Ремезов",16.62,10,6,"ул. Клязьминская 579","Бирюч",1
0,1794686,"Митрофан Тесаков",27.19,16,7,"ул. Филевская 819","Бирюч",2
1,4052016,"Мара Васькина",27.65,18,13,"ул. Боровская 1168","Черноголовка",2
0,11766316,"Лукерья Овечкина",118.49,25,15,"ул. Захарковская 1-я 810","Черноголовка",7
1,1335203,"Герман Голунов",27.08,18,17,"Аллея Некрасовка 433","Бирюч",2
0,281900,"Кир Канович",10.0,1,1,"Аллея Новгородская 1028","Тихвин",1
0,819521,"Ариадна Евстратова",19.65,16,4,"Аллея Хоромная 616","Озёры",2
0,2239338,"Жансая Сотникова",41.56,5,1,"ул. Петроверигская 1069","Черноголовка",4
1,10630317,"Сауле Ломова",60.27,19,8,"ул. Довженко 423","Бирюч",4
0,16024335,"Сельма Каверина",113.02,25,21,"ул. Запорожская 1384","Бирюч",8
1,1172560,"Макар Зябликов",19.9,21,20,"ул. Ножовая 1245","Бирюч",1
1,3133590,"Борис Быков",27.13,18,17,"ул. Симоновский Б. 783","Тихвин",2
1,5971032,"Эмилия Дормедонтова",64.72,1,1,"Аллея Левитана 681","Бирюч",6
1,305856,"Аиша Торлопова",10.0,9,8,"ул. Исаковского 109","Черноголовка",1
0,2938264,"Вячеслав Тасбулатов",33.71,18,14,"Аллея Неглинная 657","Тихвин",2
0,7649713,"Владимир Севела",79.07,10,7,"Аллея Оленья М. 1119","Чегем",7
1,11562088,"Стефания Далина",84.32,18,2,"Аллея Гороховская 9","Черноголовка",6
0,4882393,"Василий Астахов",58.19,12,1,"Аллея Рогожский Б. 589","Нягань",4
0,310482,"Марфа Лугинова",14.36,19,17,"ул. Мелитопольская 1-я 850","Нягань",1
1,1525468,"Логгин Сошников",18.57,17,16,"Аллея Фрунзенская 1-я 1379","Черноголовка",1
1,496068,"Пафнутий Емельянов",15.44,9,6,"ул. Строительная 479","Чегем",1
0,6067328,"Ярослав Данилов",60.45,12,11,"Аллея Расторгуевская 914","Озёры",4
0,23593086,"Бела Углева",144.37,24,7,"ул. Петровские Линии 689","Черноголовка",8
1,6615691,"Евграф Лобков",83.93,14,13,"ул. Златоустинский Б. 739","Бирюч",7
0,1989386,"Виссарион Боборыкин",17.26,14,8,"ул. Абрамцевская 225","Озёры",1
0,10575430,"Констанция Картофельникова",53.52,2,1,"Аллея Героев Панфиловцев 468","Бирюч",3
1,4064016,"Кир Казинцев",36.11,7,3,"Аллея Чоботовская 1-я 801","Бирюч",2
1,468910,"Акакий Бабиков",15.04,15,5,"Аллея Берингов 1255","Нягань",1
0,2658369,"Марк Никаноров",19.32,11,2,"Аллея Мытищинская 67","Тихвин",1
0,393047,"Фирс Булгаков",10.36,11,1,"ул. Брянская 1350","Тихвин",1
1,13540767,"Фока Белобоцкий",92.82,16,9,"Аллея Хабаровская 88","Озёры",7
1,281955,"Хрисанф Арабов",10.92,9,8,"Аллея Зеленодольская 687","Черноголовка",1
1,1277171,"Магдалена Мосеева",19.32,10,4,"ул. Салтыковская 430","Озёры",2
0,4324463,"Аникита Косник",27.0,16,12,"Аллея Солнцевская 920","Озёры",2
1,3429204,"Элина Мифтахутдинова",24.67,1,1,"ул. Левшинский Б. 452","Нягань",2
0,2043045,"Гульнара Остратова",15.35,21,14,"Аллея Херсонская 1365","Тихвин",1
0,3054702,"Шакира Лукина",34.38,1,1,"ул. Вельяминовская 700","Черноголовка",2
1,11408937,"Михримах Фетисова",85.67,22,14,"ул. Маяковского 1325","Черноголовка",5
1,3050572,"Герасим Даль",31.49,24,12,"Аллея Павла Андреева 1147","Бирюч",2
0,5623393,"Мартын Рахматуллин",35.87,7,1,"Аллея Арбатские Ворота 744","Бирюч",2
0,16376858,"Даниил Карпенков",103.22,16,12,"ул. Илимская 554","Бирюч",6
0,9753142,"Флорентина Добычина",79.2,16,6,"ул. Каменка 235","Озёры",5
0,1184561,"Валерий Лапутин",23.8,25,3,"ул. Бобров 634","Нягань",2
0,1302985,"Федот Заволокин",15.72,2,1,"ул. Рассказовская 334","Чегем",1
1,1988274,"Дания Мягкова",31.14,2,1,"ул. Раевского 346","Черноголовка",2
0,19547530,"Александр Кедрин",95.69,4,1,"ул. Академика Павлова 113","Бирюч",5
0,264268,"Эсмеральда Мифтахутдинова",10.0,15,1,"ул. Зверинецкая 934","Бирюч",1
0,1422335,"Екатерина Власова",16.73,6,5,"Аллея Беловежская 1398","Тихвин",1
0,805223,"Галактион Дёмушкин",17.99,15,8,"Аллея Бородинская 2-я 549","Чегем",1
0,4181789,"Христофор Радугин",61.19,3,2,"ул. Лихоборская 240","Озёры",6
0,3924358,"Ивета Маяковская",55.75,12,9,"Аллея Головинская 880","Чегем",4
1,2008087,"Номина Добычина",14.7,21,9,"ул. Тропаревская 686","Черноголовка",1
1,1675561,"Елена Пономарева",15.83,9,7,"Аллея Чоботовская 2-я 26","Бирюч",1
0,2332506,"Зара Заплетина",14.46,18,8,"Аллея Уткина 1362","Бирюч",1
1,7115264,"Савелий Акбулатов",59.66,10,7,"ул. Татьяны Макаровой 1098","Нягань",4
0,11739115,"Феруза Беляева",108.9,16,14,"Аллея Радиаторская 2-я 412","Озёры",6
1,2186410,"Арсений Арцыбашев",19.77,21,2,"ул. Дмитриевского 100","Нягань",1
1,1404601,"Оливия Мелихова",13.19,22,15,"ул. Наметкина 1108","Тихвин",1
