"owner","square","city","rooms","address","new","floor","floors","price"
"Алсу Акбулатова",54.06,"Зверево",3,"ул. Парковая 11-я 1075",0,9,13,4590440
"Мелентий Мойсеев",16.8,"Уфа",1,"ул. Шверника 8",0,1,1,529787
"Алёна Степанова",28.32,"Данков",2,"Аллея Хлебозаводская 614",0,11,16,1559658
"Дарина Пригожина",76.57,"Данков",5,"ул. Академика Хохлова 506",1,3,17,11410821
"Ангелина Чехова",11.89,"Данков",1,"Аллея Лефортовская 1099",1,5,10,1397965
"Вениамин Анкидинов",56.96,"Данков",3,"Аллея Шатурская 1095",0,19,22,6649537
"Герман Монастырский",51.01,"Серов",4,"Аллея Шеногина 295",0,1,1,9923891
"Офелия Мурманова",20.53,"Зверево",1,"ул. Андроньевская Б. 1343",1,1,5,2536666
"Климент Сафронов",49.5,"Братск",3,"ул. Веневская 1229",0,3,4,10627724
"Панкратий Гоголь",14.15,"Зверево",1,"Аллея Дальная 480",0,4,15,269950
"Аникита Гатапов",82.82,"Уфа",5,"Аллея Шереметьевское 911",1,2,17,14027354
"Евгения Кандаурова",50.04,"Зверево",3,"Аллея Листопадная 998",0,11,12,10176097
"Никифор Зотеев",11.34,"Уфа",1,"Аллея Елизаветинская 65",1,1,7,960769
"Тара Соловьева",29.53,"Зверево",2,"ул. Коробейников 891",1,6,17,2259684
"Сафура Симбирская",41.58,"Зверево",3,"Аллея Радиальная 9-я 1208",1,3,18,7876215
"Фарида Уткина",35.02,"Серов",2,"Аллея Еланского 206",1,3,12,6250955
"Артур Парфёнов",18.58,"Зверево",1,"ул. Цандера 447",0,6,8,1954333
"Жанна Булатова",10.7,"Зверево",1,"Аллея Главная 1040",1,11,21,257803
"Николай Гуляев",65.53,"Серов",5,"Аллея Девятинский Б. 733",0,17,18,10553800
"Элина Маринина",44.49,"Серов",4,"ул. Приютская 431",1,5,16,2537377
"Пров Зосимов",33.45,"Данков",2,"Аллея Олимпийская 82",0,1,2,6381066
"Иллирика Цепова",32.41,"Серов",2,"Аллея Барклая 408",0,2,4,5768897
"Августа Цепова",44.47,"Серов",4,"Аллея Родниковая 130",0,1,14,2567068
"Иуда Ахмедов",47.25,"Зверево",3,"ул. Гродненская 818",0,1,1,4703484
"Стелла Удальцова",25.89,"Серов",2,"ул. Олений Вал 657",0,3,8,2896684
"Митрофан Сошников",12.33,"Зверево",1,"ул. Шувалова 329",1,2,10,1160357
"Вадим Буровский",12.46,"Братск",1,"Аллея Саперная 1090",0,11,25,1150469
"Капитон Никтитин",11.53,"Данков",1,"Аллея Маршала Неделина 867",0,9,18,275018
"Всеволод Задорнов",10.57,"Данков",1,"Аллея Паустовского 642",0,1,1,277054
"Гульнара Удальцова",16.27,"Серов",1,"Аллея Кисельная 411",0,17,19,2107443
"Константин Макин",15.16,"Данков",1,"ул. Сержантская 1258",0,17,23,2221175
"Вета Анчарова",11.48,"Серов",1,"Аллея Кетчерская 974",0,12,17,1328119
"Артемий Окулов",84.42,"Серов",7,"Аллея Дмитриевского 576",0,2,24,6313732
"Даниэла Литвинова",17.48,"Зверево",1,"Аллея Подрезковская 2-я 230",0,1,2,3163907
"Мартын Заборов",13.18,"Серов",1,"Аллея Варсонофьевская 595",1,7,12,764999
"Гюзель Данихнова",27.91,"Данков",2,"ул. Артамонова 976",0,10,12,1791242
"Виталина Боровая",52.74,"Уфа",4,"Аллея Овчинниковский Б. 500",1,5,24,5631802
"Фома Гершанов",96.74,"Уфа",7,"Аллея Набережная Б. 1361",0,3,10,9258092
"Аделина Савкина",43.58,"Уфа",4,"Аллея Вернадского 8",1,3,24,3457017
"Далида Агапеева",96.94,"Серов",9,"ул. Чистова 489",1,21,25,9806837
"Ростислав Федулеев",108.02,"Серов",7,"Аллея Погонная 650",0,1,6,8637797
"Устинья Вершинина",21.18,"Данков",2,"ул. Генерала Белобородова 1321",0,6,10,716845
"Анжелика Капитонова",12.29,"Серов",1,"ул. Заваруевская 249",0,9,18,344565
"Макар Северьянов",18.64,"Зверево",1,"ул. Текстильщиков 7-я 1079",0,22,25,1775421
"Станислав Василев",54.67,"Серов",3,"ул. Внуковская 4-я 471",1,20,24,12043221
"Игнатий Юдов",98.83,"Серов",6,"Аллея Елецкая 69",0,7,10,12415662
"Соня Ерошкина",11.73,"Зверево",1,"Аллея Качалинская 98",0,7,18,665906
"Валерьян Микушевич",68.0,"Серов",4,"ул. Ленина 614",0,1,1,8471820
"Муза Каштанова",11.42,"Братск",1,"ул. Сурикова 324",0,3,6,258840
"Зоряна Брешковская",48.15,"Серов",5,"ул. Бартеневская 990",1,2,10,5188430
"Дильнара Гущина",13.47,"Братск",1,"Аллея Петровка 1095",0,4,6,1130803
"Октябрина Булычева",11.5,"Серов",1,"ул. Онежская 66",0,4,7,860037
"Валерьян Листьев",15.55,"Данков",1,"ул. Соломенной Сторожки 140",0,1,1,1986872
"Святополк Хаустов",66.68,"Данков",4,"ул. Таганский Ниж. 536",0,8,11,11151898
"Ермолай Пермяков",75.56,"Серов",4,"ул. Неверовского 538",0,6,7,7326926
"Валерий Маханенко",17.0,"Зверево",1,"Аллея Братская 112",0,1,10,2596202
"Аврора Неспанова",10.93,"Зверево",1,"Аллея Магистральная 203",0,2,9,1151310
"Адель Мухина",15.43,"Данков",1,"ул. Маломосковская 925",0,18,22,1885565
"Данакт Востряков",78.71,"Железногорск",6,"Аллея Бебеля 1-я 760",0,4,9,13109871
"Вячеслав Романов",52.54,"Зверево",4,"ул. Маршала Василевского 1240",1,1,3,4092872
"Алия Платонова",24.42,"Данков",2,"Аллея Новые Сады 9-я 1208",1,1,6,3431474
"Руслан Елеферьев",17.61,"Данков",1,"Аллея Энтузиастов 1-я 98",0,1,3,672184
"Анастасия Лагунова",13.97,"Серов",1,"Аллея Рабочая 770",0,9,17,289859
"Грета Черноусова",16.34,"Братск",1,"Аллея Мясницкие Ворота 838",1,20,22,2265613
"Леонтий Лобанов",73.65,"Зверево",4,"Аллея Академика Глушко 1389",0,3,13,8850496
"Паула Плавильщикова",33.25,"Серов",3,"ул. Лосинская 1131",0,2,16,3507461
"Виктор Стрелков",28.63,"Уфа",3,"Аллея Волжский Бульвар 114 А 196",0,17,18,1220654
"Владлен Феофилактов",42.41,"Данков",4,"Аллея Трехсвятительский Б. 817",0,4,6,7228030
"Евдоким Лебедь",37.01,"Серов",2,"Аллея Селезневская 1380",1,6,12,4875399
"Германн Тихон",41.84,"Братск",4,"Аллея Новогиреевская 801",1,1,2,1943858
"Геласий Муромский",136.41,"Зверево",8,"ул. Шверника 740",0,5,24,14525458
"Селена Панова",13.79,"Камешково",1,"Аллея Вавилова 1056",1,3,7,253259
"Алёна Хохлова",15.82,"Зверево",1,"ул. Новоконюшенная 306",1,1,9,2090929
"Кара Шерстобитова",19.27,"Зверево",1,"Аллея Рюмин 102",0,7,12,3444577
"Акакий Поляновский",65.93,"Зверево",4,"ул. Дмитрия Донского 1070",1,7,16,6734280
"Якун Митрофаньев",14.99,"Братск",1,"Аллея Лескова 546",0,8,18,389899
"Лили Акиндинова",30.65,"Зверево",2,"Аллея Асеева 570",0,21,25,3305333
"Элеонора Терентьева",63.26,"Серов",4,"ул. Маршала Федоренко 1369",0,10,11,7631986
"Сила Горланов",10.0,"Данков",1,"Аллея Щетининская 579",0,6,16,282718
"Дилярам Екимова",19.64,"Серов",1,"Аллея Зверинецкая 922",0,15,23,2555369
"Теона Ивонина",77.19,"Серов",5,"Аллея Гражданская 4-я 1327",0,8,19,11167478
"Оливия Собакина",22.79,"Серов",2,"Аллея Чоботовская 7-я 488",1,17,23,955743
"Христофор Скидан",14.09,"Братск",1,"ул. Молдагуловой 1293",1,10,11,461794
"Герасим Арро",10.11,"Зверево",1,"ул. Знаменские Садки 1296",1,4,19,369241
"Сильвестр Мережковский",38.7,"Камешково",3,"ул. Жемчуговой 189",0,9,19,2550894
"Антонин Кудряшов",13.29,"Серов",1,"Аллея Барвихинская 259",0,9,13,551427
"Айнагуль Васькина",12.25,"Серов",1,"ул. Яузская 303",0,1,3,275338
"Самуил Перфишин",53.32,"Братск",4,"ул. Рассказовская 837",1,20,21,8934016
"Сельма Аверкиева",17.75,"Серов",2,"Аллея Борисоглебская 859",0,7,19,1477749
"Искра Афанасова",38.74,"Серов",2,"ул. Ширшова 1353",1,2,3,5990981
"Борис Ядов",18.61,"Серов",1,"Аллея Часовая 920",0,10,22,1802545
"Леонид Васечкин",82.54,"Данков",6,"Аллея Радио 916",0,12,22,6699213
"Ярослав Денежкин",21.25,"Уфа",2,"Аллея Крюковская 831",1,2,5,656894
"Наргиза Байбородина",39.55,"Зверево",3,"Аллея Краснолиманская 944",0,1,1,4391407
"Егор Полоцкий",144.33,"Зверево",9,"ул. Северная 7-я 101",0,5,20,14423971
"Всеволод Пасечник",25.93,"Камешково",2,"ул. Новодевичья 505",0,12,16,2701852
"Мара Пафнутьева",39.05,"Зверево",4,"Аллея Люсиновская 307",1,2,3,4629068
"Виолетта Дубина",124.98,"Камешково",7,"Аллея Новоясеневская 631",0,1,2,25404108
"Митрофан Крутихин",43.63,"Данков",3,"ул. Ле Зуана 378",0,6,16,7669099
"Надежда Мануйлова",49.95,"Уфа",3,"Аллея Березовой Рощи 1184",0,1,3,5925872
"Гавриил Молчанов",37.92,"Зверево",3,"Аллея Генерала Жадова 1381",1,4,8,2347069
"Айару Богомякова",19.82,"Серов",1,"Аллея Академика Миллионщикова 525",0,8,12,1903592
"Кирилл Зыков",40.82,"Зверево",3,"Аллея Разгуляй 824",1,2,5,4143106
"Якун Внифатьев",75.85,"Данков",5,"ул. Юрьевская 1306",1,6,10,15431780
"Гульнара Язова",10.81,"Зверево",1,"ул. Тихая 901",0,3,15,354167
"Леонид Минаев",72.56,"Данков",4,"Аллея Кавказская 1072",0,7,13,13273681
"Федот Беспалов",33.09,"Уфа",2,"ул. Каменка 797",1,2,3,4505961
"Герасим Давыдов",58.18,"Данков",4,"Аллея Чоботовская 2-я 1343",0,10,12,4185831
"Беатрис Рылеева",14.91,"Братск",1,"Аллея Мячковская 876",1,15,22,526252
"Ермолай Гаммер",48.68,"Камешково",4,"Аллея Доватора 582",0,10,24,3791634
"Леонтий Евгенов",39.0,"Братск",2,"Аллея Соболевская 329",0,1,1,4582996
"Влас Перхуров",78.79,"Зверево",6,"ул. Парковая 8-я 178",0,5,7,16531293
"Лука Бавильский",10.59,"Серов",1,"ул. Тарусская 1318",1,2,3,762395
"Рузанна Пигасова",14.4,"Серов",1,"ул. Поморская 701",0,3,13,446574
"Арабелла Алисова",120.11,"Зверево",7,"Аллея Ореховая 233",0,3,14,14132912
"Лера Булгарина",16.54,"Зверево",1,"Аллея Всеволожская 478",0,6,7,1141488
"Данакт Сухов",69.38,"Зверево",6,"Аллея Староорловская 582",1,10,14,5548153
"Аэлита Зверева",133.78,"Серов",7,"ул. Флотская 979",0,5,23,20522584
"Вавила Торлопов",18.27,"Данков",1,"Аллея Чечулина 1369",0,5,14,2976232
"Добрыня Евстифеев",62.45,"Зверево",6,"Аллея Девятая Рота 395",0,4,19,3917124
"Генриетта Никитина",125.71,"Серов",7,"ул. Северная 6-я 228",1,2,4,22400730
"Гоар Кузьмина",35.8,"Данков",2,"ул. Криворожская 641",0,8,9,4591119
"Георгий Акатьев",63.73,"Данков",5,"ул. Заветная 1366",0,3,18,10458835
"Марика Мануйлова",167.78,"Зверево",10,"Аллея Парковая 12-я 679",1,6,13,29284063
"Николь Нечаева",16.44,"Серов",1,"Аллея Баррикадная 1154",1,7,9,1594044
"Богдана Кобзева",51.7,"Зверево",3,"Аллея Трубная 960",1,11,20,10279785
"Алевтина Трудолюбова",59.61,"Серов",6,"Аллея Заставная 722",0,6,9,5464968
"Клара Акбулатова",36.89,"Зверево",2,"ул. Фурманная 2",0,5,22,6290747
"Антонин Савкин",37.62,"Братск",2,"Аллея Путевой 883",0,6,22,3360855
"Тамила Сальникова",14.52,"Зверево",1,"ул. Факультетская 869",1,1,9,1082258
"Цагана Бавильская",86.81,"Данков",7,"ул. Графская 1244",0,23,24,17466346
"Алевтина Евстратова",16.81,"Уфа",1,"ул. Чагинская 1330",0,10,11,2506062
"Александр Аристархов",10.0,"Зверево",1,"Аллея Васильевская 490",1,2,8,377343
"Залина Асеева",14.05,"Камешково",1,"ул. Гродненская 629",0,7,15,1705872
"Жаклин Ржевская",59.1,"Зверево",5,"ул. Вострухина 798",1,11,24,11227597
"Алла Тургенева",96.44,"Железногорск",8,"Аллея Грузинский Вал 1293",0,7,15,6837625
"Капитон Ливанов",91.94,"Серов",5,"Аллея Матросский Б. 433",0,3,4,19108633
"Станислав Марлинский",47.1,"Серов",4,"ул. Куликовская 220",1,1,2,7030950
"Евгений Тарн",90.37,"Данков",5,"ул. Басманная Стар. 585",0,12,23,18360108
"Тора Шарапова",125.37,"Зверево",7,"ул. Каргопольская 360",0,3,19,16619097
"Виктор Овдокимов",17.51,"Братск",1,"ул. Братцевская 791",0,11,15,1887198
"Родион Агапьев",40.21,"Братск",3,"Аллея Береговой 1122",1,4,17,2686571
"Злата Володарская",32.73,"Братск",3,"Аллея Степана Супруна 701",0,4,24,4401139
"Галина Онисимова",18.34,"Братск",1,"ул. Ярославская 1337",0,2,5,2823905
"Тит Олсуфьев",85.75,"Серов",5,"Аллея Трехгорный М. 1348",1,1,15,18953776
"Милица Покровская",65.02,"Данков",5,"ул. Деловая 632",1,5,20,6518159
"Мелентий Ельчин",44.92,"Уфа",3,"ул. Петра Алексеева 1292",0,5,13,6876659
"Потап Некрасов",85.83,"Зверево",6,"Аллея Балтийская 1171",1,11,18,18367448
"Айлин Сейдова",32.21,"Серов",2,"ул. Прудовой 881",0,6,7,6480208
"Хилари Лукьянова",94.31,"Уфа",8,"ул. Сурикова 983",0,1,1,18044432
"Арианда Долинская",32.06,"Серов",3,"ул. Охотничья 1041",1,1,1,3124053
"Августина Меркурьева",18.55,"Братск",1,"Аллея Базовая 895",0,4,19,1423298
"Валентин Богомолов",17.35,"Братск",1,"Аллея Кисельный Б. 518",0,7,23,990816
"Якун Гомзиков",10.26,"Данков",1,"ул. Академическая Б. 146",0,2,14,303517
"Шелли Писарева",10.0,"Данков",1,"ул. Заозерная 1073",1,3,6,775224
"Евсей Мойсеев",10.0,"Данков",1,"Аллея Старопотаповская 342",0,6,11,327289
"Роза Антонова",19.33,"Серов",1,"Аллея Екатериновка 1117",0,17,21,3712093
"Наргиза Демидова",90.37,"Данков",6,"ул. Рахмановская 891",0,3,4,15109273
"Демид Владимиров",16.46,"Серов",1,"ул. Златоустовская 1256",0,11,21,2775523
"Богдан Быков",73.66,"Уфа",5,"Аллея Звенигородское 1331",0,4,25,14656287
"Виола Удалова",10.0,"Серов",1,"Аллея Добролюбова 432",1,11,19,792404
"Мия Панкеева",12.77,"Зверево",1,"Аллея Сторожевая 1379",0,1,11,1492957
"Иуда Новодворский",16.08,"Серов",1,"ул. Хапиловская 2-я 716",0,4,9,655688
"Елизавета Купряшина",22.92,"Железногорск",2,"Аллея Багрицкого 148",1,7,12,650456
"Авксентий Скоренко",110.44,"Данков",8,"ул. Красная Пресня 401",0,23,25,12588915
"Федосей Лоскутов",18.23,"Зверево",1,"Аллея Охотничья 916",0,1,2,1303885
"Никифор Шилов",17.02,"Серов",1,"ул. Церковная Горка 1024",0,1,2,1798135
"Виталий Фетисов",10.3,"Серов",1,"Аллея Хуторская 1-я 749",0,18,24,379940
"Фазиля Куликова",31.92,"Зверево",3,"Аллея 1 Маевки 1367",1,9,15,4909766
"Анисья Милова",34.59,"Братск",2,"ул. Лужники 304",0,11,21,2915054
"Пахомий Анкидинов",13.8,"Братск",1,"ул. Ленинская 835",0,7,10,858547
"Елена Новосельцева",49.72,"Братск",4,"ул. Савельева 637",0,13,24,9737934
"Артемий Лепёхин",60.09,"Данков",5,"Аллея Карельская 257",1,4,10,8828630
"Всеволод Юровских",51.16,"Данков",3,"Аллея Кулаков 1131",0,3,5,5411339
"Лиора Горлова",54.28,"Уфа",3,"Аллея Милютинская 678",0,11,20,10647599
"Юнона Шестинская",17.98,"Уфа",1,"Аллея Коммунистическая М. 379",0,6,20,988731
"Олег Михальченко",14.39,"Серов",1,"Аллея Годовикова 746",1,2,20,825845
"Агунда Мохнаткина",65.01,"Данков",5,"ул. Лукинская 951",0,4,21,10779279
"Вавила Верзилов",88.57,"Зверево",5,"Аллея Калитниковская Б. 158",0,4,6,13040200
"Аникита Елизаров",25.43,"Данков",2,"ул. Яна Райниса 1018",1,1,3,3906673
"Ася Феофилактова",58.96,"Данков",3,"Аллея Кирпичная 539",1,5,13,5273363
"Инна Полевая",57.36,"Зверево",6,"Аллея Плющева 169",0,16,23,8008043
"Фазиля Леванидова",23.59,"Серов",2,"Аллея Толмачевский Б. 377",0,5,24,4016747
"Мария Захарьева",133.65,"Серов",7,"ул. Денежная 398",1,14,17,31461903
"Леонид Зиганшин",80.45,"Данков",8,"ул. Мясниковская 2-я 878",1,13,20,5592869
"Анаит Шакирова",101.32,"Братск",6,"ул. Корнейчука 1257",0,15,22,10273521
"Авдей Шамбаров",11.52,"Зверево",1,"ул. Мишина 1145",0,13,16,1037426
"Ерофей Гомзиков",28.75,"Братск",2,"ул. Каланчевская 1070",0,7,12,3916242
"Ираклий Германов",32.7,"Уфа",3,"ул. Бориса Галушкина 569",0,8,14,2614692
"Рикарда Жарковская",15.68,"Зверево",1,"ул. Плющева 124",0,2,3,965152
"Августина Мясникова",19.47,"Серов",1,"Аллея Приютская 712",0,14,19,3018709
"Савва Макин",16.89,"Серов",2,"Аллея Бутово 524",1,15,23,308231
"Степан Радищев",72.69,"Серов",5,"Аллея Погодинская 571",1,12,16,14693299
"Аристарх Багиров",61.61,"Железногорск",6,"Аллея Горловская 2-я 197",0,11,12,7048119
"Валерий Маслов",39.85,"Данков",3,"ул. Беленовская 895",1,23,25,6773305
"Мелентий Контровский",12.86,"Камешково",1,"ул. Велозаводская 130",0,1,2,866613
"Гюзель Епинетова",111.98,"Камешково",7,"Аллея Оршанская 309",0,1,2,23296757
"Ольга Победоносцева",12.61,"Зверево",1,"ул. Запорожская 1061",0,5,7,370766
"Эльвина Белозерова",60.88,"Уфа",6,"ул. Милашенкова 748",0,1,22,5682508
"Этель Меркулова",65.39,"Данков",5,"ул. Крылатская 534",0,2,8,10523301
"Альберт Софроньев",56.15,"Зверево",3,"Аллея Потешная 756",1,1,3,5192520
"Софрон Ростов",12.33,"Данков",1,"ул. Староспасская 732",0,1,3,1358696
"Домника Бурова",72.46,"Братск",4,"Аллея Красногвардейская 3-я 1211",0,1,4,10866626
"Паисий Янин",26.97,"Братск",2,"ул. Новодмитровская Б. 279",0,2,4,2666317
"Альвиан Пашков",124.76,"Данков",7,"ул. Лукинская 2",0,2,5,26002456
"Ая Булгарина",35.09,"Зверево",2,"Аллея Эрнста Тельмана 168",0,14,20,5087244
"Федот Войнович",37.73,"Серов",2,"ул. Зацепа 342",0,3,14,3177441
"Игорь Гурский",13.99,"Серов",1,"Аллея Колесовой Елены 1149",1,10,11,926875
"Виссарион Полиевктов",13.26,"Данков",1,"Аллея Осипенко (пос.Липки) 1180",0,1,3,1507066
"Афанасий Устьянов",55.14,"Уфа",3,"ул. Тарханская 846",1,4,13,5428920
"Ким Карпенков",68.31,"Братск",4,"ул. Ереванская 433",1,10,16,15286581
"Владислав Щеглов",35.5,"Братск",2,"Аллея Сокольническая Слободка 287",0,1,1,6078736
"Есения Горлова",18.06,"Серов",1,"Аллея Песчаная 519",1,6,25,1623035
"Айлин Фадеева",16.15,"Железногорск",1,"ул. Захарьинская 485",0,10,22,784520
"Илья Антипин",11.96,"Данков",1,"ул. Тучковская 2",0,3,18,345028
"Демид Филатьев",38.29,"Братск",2,"Аллея Ворошилова 666",0,2,4,5860660
"Ростислав Загорцев",73.39,"Зверево",5,"Аллея Маршала Тимошенко 203",0,5,17,9331097
"Виссарион Славников",39.72,"Братск",3,"Аллея Преображенский Вал 1265",0,1,1,4942779
"Ляйсан Долотина",16.15,"Серов",1,"ул. Остафьевская 1266",0,13,22,2671587
"Каролина Багирова",17.95,"Зверево",1,"Аллея Академика Вишневского 366",0,7,8,2434392
"Лилия Долинская",36.52,"Данков",3,"Аллея Староданиловский Средная 974",0,10,13,6152054
"Артемий Корецкий",44.91,"Зверево",4,"Аллея Горлов 995",0,2,7,2736584
"Милена Прошина",17.0,"Братск",1,"ул. Рощинская 2-я 750",0,11,14,738215
"Самуил Копылов",10.0,"Серов",1,"Аллея Миллионная 69",1,4,5,338745
"Тарас Кириллов",63.56,"Серов",4,"ул. Старобитцевская 879",0,11,23,10059604
"Леся Пальцева",84.9,"Серов",7,"Аллея Сосновая 1297",0,6,7,4941811
"Луиза Аммосова",46.84,"Железногорск",3,"Аллея Львова 1299",0,1,2,3923240
"Серафим Тесаков",12.74,"Данков",1,"Аллея Берзарина 446",0,1,3,825457
"Андрей Колокольцев",117.08,"Серов",9,"Аллея Челюскинская 596",0,11,12,21620032
"Фрол Прокопьев",14.09,"Данков",1,"ул. Кисловский Нижн. 562",0,5,10,2156482
"Аля Королева",70.98,"Данков",5,"ул. Охтинская 301",0,1,1,7091349
"Марина Пастухова",14.09,"Зверево",1,"ул. Расплетина 988",0,16,23,1584279
"Фрол Савостьянов",45.28,"Данков",3,"ул. Академика Янгеля 335",0,8,16,7452115
"Агата Лаврова",41.17,"Зверево",3,"Аллея Сибиряковская 702",1,9,20,5277254
"Лилит Фатьянова",66.47,"Серов",5,"ул. Сестрорецкая 1-я 1096",1,5,7,7636463
"Юлиан Пишенко",10.37,"Серов",1,"Аллея Хрустальная 1389",0,10,11,328277
"Надежда Веневитинова",22.19,"Зверево",1,"Аллея Яснополянская 474",0,9,17,2155487
"Валерьян Ардалионов",25.9,"Братск",2,"ул. Мантулинская 436",0,1,2,4519488
"Тихон Микитов",14.77,"Братск",1,"ул. Староватутинская 96",1,13,14,1053381
"Саломея Данилкина",13.28,"Серов",1,"ул. Керченская 77",0,1,1,771833
"Ай Стогова",27.05,"Серов",2,"Аллея Кузнецовская 674",0,7,24,3741342
"Григорий Захаров",36.55,"Данков",3,"Аллея Вековая 14",1,10,18,6936451
"Георгий Лесин",10.0,"Данков",1,"Аллея Теплый Стан 1023",1,3,4,427829
"Физалия Сорокина",22.06,"Данков",2,"Аллея Петропавловская 1290",0,15,16,2132219
"Кирилл Добролюбов",10.0,"Серов",1,"ул. Ставропольская 1111",0,1,8,474145
"Диля Слюнькова",16.32,"Братск",1,"Аллея Сигнальная 1001",0,9,10,1447699
"Артём Болтышев",55.1,"Железногорск",4,"Аллея Шереметьевское 505",0,2,10,5739284
"Ольга Цветанкова",13.8,"Уфа",1,"ул. Барышиха 322",0,13,18,637944
"Мила Ломоносова",20.73,"Уфа",1,"Аллея Фрезер 339",0,4,12,3501461
"Дарья Шпанова",56.16,"Серов",4,"Аллея Грузинская 237",0,3,13,8662448
"Юлиан Тюльпанов",19.29,"Серов",2,"ул. Затонная 26",1,2,24,556576
"Цецилия Зудина",13.84,"Уфа",1,"Аллея Кабельная 4-я 335",0,8,18,935953
"Ирма Ракова",11.02,"Серов",1,"ул. Северная 8-я 271",1,3,9,1127616
"Зульфия Балкова",10.0,"Зверево",1,"ул. Лялин 1180",0,6,14,926000
"Сусанна Павлинова",13.41,"Серов",1,"Аллея Кисельный Б. 693",0,2,7,1808165
"Чулпан Крусанова",35.7,"Зверево",2,"Аллея Новоселки 1-я 776",0,2,7,6562159
"Самуил Секацкий",15.87,"Серов",1,"ул. Сергия Радонежского 389",0,8,15,2048042
"Олег Парщиков",16.48,"Камешково",1,"Аллея Филипповская 415",0,12,24,792379
