"new","price","floors","square","address","rooms","owner","city","floor"
1,7268696,5,45.15,"Аллея Власьевский М. 986",4,"Фелисити Осоргина","Куртамыш",3
1,3935959,22,66.64,"Аллея Нижегородская 1106",7,"Сандра Шабалова","Куртамыш",10
1,997188,1,11.63,"Аллея Марьиной Рощи 2-я 385",1,"Святополк Субботин","Чусовой",1
1,14166986,4,71.81,"Аллея Устьинская 1093",5,"Фрида Аристархова","Куртамыш",3
1,3481082,5,34.44,"Аллея Гранатная 1227",2,"Юлианна Ситникова","Куртамыш",4
1,1002256,12,10.93,"ул. Чичерина 1203",1,"Тамара Воробьева","Куртамыш",4
1,3066015,13,23.37,"ул. Грузинская 1135",2,"Мирослава Верникова","Павловск",11
1,1415571,25,15.27,"ул. Лизы Чайкиной 1082",1,"Диана Михеева","Светлогорск",22
1,1360943,18,15.7,"Аллея Новопетровская 1367",1,"Родослав Месяц","Светлогорск",5
1,275457,11,11.86,"ул. Тихоновская М. 459",1,"Адель Картофельникова","Чусовой",3
0,346120,20,11.76,"ул. Лазо 533",1,"Вячеслав Алябьев","Павловск",10
1,3131429,13,17.37,"ул. Челябинская 1345",1,"Алевтина Табакова","Куртамыш",1
1,4068526,14,32.5,"ул. Академика Тамма 1346",2,"Лилиана Юдова","Павловск",12
1,9135107,8,87.86,"Аллея Люсиновская 1014",5,"Лариса Паушкина","Куртамыш",3
1,2024018,20,17.34,"Аллея Армянская 1382",1,"Челси Вавилова","Куртамыш",2
1,1773431,16,29.0,"Аллея Тульская М. 992",2,"Люция Топчиева","Куртамыш",12
1,971972,20,18.89,"ул. Высокая 981",1,"Антонин Савин","Куртамыш",5
1,7117358,1,96.53,"Аллея Коммунистическая М. 8",8,"Савва Туров","Павловск",1
1,13245149,2,67.58,"ул. Фомичевой 578",6,"Сати Анюкова","Куртамыш",1
0,6144054,7,32.12,"Аллея Рябиновая 844",2,"Анфиса Макарова","Чусовой",6
1,15510652,9,108.11,"ул. Чукотская 986",6,"Евдоким Левонтьев","Павловск",1
1,3063774,15,17.44,"ул. Щипок 879",1,"Мстислав Астафьев","Павловск",7
1,4264702,24,27.73,"Аллея Тамбовская 1159",3,"Корнилий Золотько","Павловск",13
1,12347260,9,115.02,"Аллея Летняя 224",6,"Корнилий Мамонтов","Куртамыш",4
1,6568127,25,50.23,"ул. Ступинская 1389",3,"Земфира Овчинникова","Павловск",17
1,17923480,17,86.75,"Аллея Будайская 671",6,"Гавриил Федулов","Павловск",16
1,6082749,18,56.49,"ул. Козловский М. 909",3,"Пахомий Лобанов","Тетюши",15
1,15507136,17,94.44,"ул. Фрунзенская 1-я 658",5,"Виктория Слаповская","Светлогорск",7
1,2040993,21,13.71,"Аллея Сокольнический Павильонная 174",1,"Родослав Бруштейн","Павловск",3
1,1734554,19,16.93,"Аллея Филевская М. 131",1,"Эльмира Изотова","Павловск",17
1,2130955,2,17.04,"ул. Прокудинская 378",1,"Руслана Черепенникова","Павловск",1
1,845233,17,16.23,"ул. Барболина 194",1,"Ая Каминова","Светлогорск",11
0,19702699,23,90.65,"Аллея Пестеля 1103",6,"Фирс Далматов","Павловск",19
1,7032216,4,40.04,"Аллея Светлая 301",3,"Забава Белоусова","Куртамыш",3
1,5345132,14,68.44,"Аллея Никопольская 1387",4,"Феликс Личутин","Тетюши",12
1,3046127,20,18.95,"Аллея Елецкая 950",1,"Савва Аристов","Павловск",16
1,21021745,5,110.61,"ул. Слепнева 574",6,"Флора Звягина","Павловск",1
1,3078946,25,18.88,"ул. Кабельная 5-я 165",1,"Дилярам Ветрова","Чусовой",24
1,2398373,8,30.89,"Аллея Краснохолмская 1273",3,"Ждан Кудинов","Павловск",6
1,3840955,8,20.09,"ул. Канатчиковская 731",1,"Диана Федотова","Павловск",1
1,5003479,22,69.66,"ул. Третьего Интернационала 1365",5,"Дорофей Сорокин","Куртамыш",1
1,43868987,5,187.1,"ул. Кировоградская 1139",11,"Офелия Лесина","Тетюши",1
1,1459941,1,15.79,"ул. Кастанаевская 502",1,"Юрий Абдуллаев","Павловск",1
1,1385972,12,17.87,"ул. Луховицкая 100",1,"Самуил Парамонов","Павловск",4
1,6612809,21,43.72,"ул. Магистральная 2-я 130",3,"Альберт Чаплин","Павловск",10
1,326534,2,10.0,"ул. Шувалова 55",1,"Владислав Микушевич","Павловск",1
1,2201291,10,14.84,"Аллея Девяткин 169",1,"Габриэлла Дубова","Павловск",1
1,6060781,7,40.31,"Аллея Гурьевская 922",3,"Люсиль Житкова","Куртамыш",4
1,4147621,16,29.86,"Аллея Кожуховская 5-я 289",3,"Илона Дашкова","Чусовой",7
1,5340237,12,78.62,"ул. Климашкина 277",7,"Нина Ситникова","Куртамыш",7
1,1412320,6,35.25,"Аллея Красная Пресня 590",3,"Корнилий Фурман","Павловск",5
1,1216812,7,14.13,"ул. Молодцова 1357",1,"Евгения Акинфиева","Павловск",2
1,2109664,18,14.23,"ул. Кусковская 861",1,"Альфия Естамонова","Тетюши",11
1,5395228,17,43.8,"Аллея Палочная 1004",3,"Ребекка Санаева","Светлогорск",2
1,690936,18,17.01,"Аллея Новомосковская 1381",1,"Иннокентий Нагорный","Куртамыш",3
1,1525161,25,29.86,"Аллея Атарбекова 97",2,"Ая Юдина","Светлогорск",16
0,544310,24,15.82,"ул. Айвазовского 1039",1,"Ия Матвеева","Тетюши",21
1,15109795,22,80.77,"Аллея Пасечная 929",7,"Макар Янин","Чусовой",20
1,6028236,21,60.87,"Аллея Строителей 234",4,"Патриция Морковина","Куртамыш",16
1,6458860,6,37.98,"ул. Жемчуговой 670",3,"Герасим Корчагин","Куртамыш",1
1,737963,18,13.84,"ул. Сумской 125",1,"Тарас Воскобойников","Павловск",8
1,1575656,17,19.12,"ул. Фрезерная 2-я 366",1,"Паисий Фофанов","Павловск",11
1,8749486,17,72.83,"Аллея Попов 616",6,"Анита Одоевская","Павловск",5
1,13091076,11,74.4,"ул. Хлебников 701",4,"Адель Снегирева","Светлогорск",1
1,1457410,16,15.81,"Аллея Одоевского 451",1,"Созон Пономарёв","Куртамыш",4
1,10619727,16,57.56,"Аллея Деловая 1338",5,"Эмили Кудрявцева","Павловск",1
1,1720466,3,14.64,"Аллея Крымский Вал 183",1,"Злата Терехова","Павловск",1
1,25201863,3,132.67,"Аллея Горбунова 101",7,"Фотий Морщаков","Куртамыш",2
1,2967160,1,32.31,"Аллея Северная 1-я 787",2,"Ира Беломлинская","Чусовой",1
1,700045,12,13.34,"ул. Погонная 1053",1,"Жасмин Терентьева","Павловск",5
1,2145074,15,15.94,"ул. Рогожский Пос. 620",1,"Ерофей Эмин","Павловск",2
1,2009724,17,14.19,"Аллея Садово-Крестьянская 139",1,"Викентий Лермонтов","Светлогорск",4
1,2648376,5,21.0,"ул. Дивизионная 568",2,"Иоанна Акиндинова","Куртамыш",1
1,7711306,4,77.45,"Аллея Косой 82",5,"Лета Аристархова","Чусовой",1
1,3020964,13,24.26,"Аллея Аристарховская 38",2,"Якун Люкин","Павловск",10
1,7487844,11,45.09,"Аллея Мценская 140",3,"Анабель Поплавская","Павловск",4
1,1934081,7,14.94,"Аллея Краснопресненская 549",1,"Федора Пашкова","Чусовой",5
1,17309089,5,131.59,"ул. Леснорядская 935",7,"Геннадий Козлов","Куртамыш",3
1,17312798,20,75.01,"Аллея Челюскинская 732",4,"Фирс Комаров","Павловск",6
1,17384874,11,95.92,"Аллея Енисейская 1363",5,"Аксинья Афросимова","Павловск",6
1,1258904,5,12.22,"ул. Мажоров 501",1,"Чеслава Кувалдина","Куртамыш",2
0,9822251,23,60.98,"Аллея Институтская 3-я 1032",3,"Сусанна Соболева","Павловск",10
1,898250,10,10.01,"Аллея Институтская 652",1,"Сила Чуприянов","Павловск",3
1,3888410,3,65.42,"ул. Текстильщиков 11-я 218",5,"Белла Минаева","Куртамыш",1
1,335761,14,11.28,"Аллея Старокирочная 1134",1,"Магистриан Астахов","Куртамыш",11
1,3302788,8,30.39,"ул. Литовская 1005",3,"Нелли Охотина","Куртамыш",4
1,8294697,14,69.59,"Аллея Братцевская 718",5,"Иулиан Дудинцев","Тетюши",7
1,340588,4,19.03,"Аллея Стройковская 1248",2,"Есения Мишкина","Павловск",2
1,2333884,4,14.56,"Аллея Юрловская 24",1,"Александра Терентьева","Павловск",1
1,2059137,8,49.92,"ул. Липецкая 725",5,"Сажида Тихомирова","Павловск",7
1,2540659,1,16.42,"ул. Ряжская 474",1,"Платон Протасов","Тетюши",1
1,462976,8,15.26,"Аллея Дьяково Городище 2-я 1177",1,"Фатима Живетьева","Павловск",4
1,9611914,22,46.01,"ул. Лаврушинская 836",3,"Фазиля Окатова","Тетюши",2
1,5938190,7,30.95,"ул. Спиридоньевская 921",2,"Мартын Заостровцев","Чусовой",4
1,6777465,18,36.67,"ул. Можайское 1345",2,"Серафим Демидов","Светлогорск",15
1,6093267,23,38.9,"Аллея Толстопальцево 79",2,"Донат Ельчин","Куртамыш",19
1,1466404,22,17.14,"ул. Левитана 994",1,"Ярослав Бабель","Павловск",16
1,1526667,17,17.63,"Аллея Красносельская М. 658",1,"Тимофей Литвинов","Чусовой",16
1,5624152,14,37.35,"ул. Локомотивная 826",2,"Оксана Полякова","Светлогорск",5
1,9807766,10,83.69,"ул. Михельсона 327",7,"Авдей Могутин","Тетюши",4
1,2432701,21,17.82,"Аллея Ворошилова 410",1,"Влас Дзержинский","Павловск",6
1,2249212,25,17.25,"ул. Чертаново Северное 1253",1,"Трофим Бондарь","Павловск",8
0,5480665,2,39.15,"Аллея Тополевая 242",3,"Ираклий Ефросинов","Павловск",1
0,5954528,11,42.69,"ул. Николая Химушина 965",3,"Ралина Никитина","Павловск",1
1,6219484,2,57.83,"Аллея Полбина 1201",5,"Ария Янковская","Светлогорск",1
1,14841261,11,109.36,"Аллея Ивовая 844",6,"Ждан Соснора","Павловск",4
1,5003445,3,27.22,"ул. Академика Миллионщикова 1090",2,"Святополк Славников","Чусовой",1
1,304389,23,10.0,"ул. Насосная 1132",1,"Лада Хлопонина","Павловск",17
1,2818626,10,16.82,"ул. Шокальского 723",1,"Милен Фандеева","Павловск",5
1,5562708,4,52.39,"Аллея Касаткина 371",3,"Лира Кобзева","Светлогорск",1
1,10318147,24,64.94,"Аллея Тверской 303",4,"Дженнифер Анастасьева","Павловск",14
1,2651397,8,17.54,"ул. Коломенское 56",1,"Зульфия Трефилова","Куртамыш",1
1,695419,12,11.14,"Аллея Нижние Поля 186",1,"Светлана Зотьева","Павловск",11
1,301478,19,10.0,"Аллея Новые Сады 5-я 454",1,"Мара Черепенникова","Куртамыш",3
0,4612945,15,52.26,"ул. Таганский Ниж. 1143",3,"Святополк Королев","Павловск",9
1,3723031,3,56.67,"Аллея Духовской 779",4,"Любовь Турова","Чусовой",2
1,292397,17,10.41,"Аллея Дунаевского 1299",1,"Герман Фандеев","Куртамыш",13
1,3010037,3,38.04,"ул. Ивана Франко 1080",4,"Гульназ Шаламова","Куртамыш",2
1,5586811,20,71.26,"Аллея Моссельмаш 14",5,"Святополк Катишонок","Тетюши",14
1,19655386,11,104.83,"Аллея Рейсовая 2-я 1029",7,"Ядвига Авакумова","Светлогорск",7
1,762379,5,11.12,"ул. Андреевка 607",1,"Валерий Рысев","Павловск",3
1,3879840,22,37.67,"ул. Соколово-Мещерская 470",2,"Беатрис Листьева","Павловск",16
1,17519753,23,112.72,"ул. Павелецкая 739",7,"Вета Первушина","Павловск",5
1,4907949,1,59.52,"ул. Яхромская 478",4,"Лина Покровская","Куртамыш",1
1,5789772,15,42.7,"Аллея Правды 1368",3,"Лия Банщикова","Тетюши",1
1,1479500,19,26.44,"Аллея Проломная Застава 1390",2,"Николай Данилкин","Павловск",2
1,415142,7,15.28,"Аллея Угрешская 32",1,"Камилла Абдуллаева","Светлогорск",6
1,3089064,16,38.61,"Аллея Городецкая 1051",4,"Федот Аристархов","Павловск",3
1,2909940,14,17.02,"Аллея Красная Пресня 927",1,"Ава Максимушкина","Куртамыш",6
1,1090258,11,20.38,"ул. Шломина 135",1,"Перизат Пальцева","Куртамыш",5
1,2017087,25,17.54,"ул. Сокольническая 1-я 738",1,"Арсений Беленький","Чусовой",15
1,16841826,16,84.23,"ул. Чичерина 635",5,"Виола Клепикова","Куртамыш",12
1,1118567,3,13.33,"Аллея Факельный Б. 427",1,"Алана Сидорова","Куртамыш",2
1,3194279,4,19.69,"Аллея Добролюбова 1365",1,"Зухра Прилепина","Павловск",1
1,1100180,16,17.55,"ул. Краснопрудный Б. 419",1,"Дана Панова","Куртамыш",13
1,12753617,16,69.25,"Аллея Зверинецкая 1316",7,"Агния Долина","Павловск",10
1,1007954,6,15.34,"ул. Сухонская 184",1,"Варлам Самсонов","Тетюши",5
1,3826484,24,40.23,"ул. Сокольническая 3-я 74",4,"Трифон Мурманин","Светлогорск",10
1,2636550,19,17.44,"Аллея Рощинская 2-я 773",1,"Виктор Могутин","Куртамыш",3
1,5542475,10,38.64,"Аллея Винтовая 283",3,"Георгий Белорусец","Тетюши",8
1,3243427,13,26.98,"ул. Шухова 1295",2,"Исидор Есин","Павловск",8
1,5144502,6,41.33,"ул. Ясеневая 909",3,"Данакт Арефьев","Куртамыш",1
1,3340583,19,21.23,"Аллея Лавочкина 158",2,"Семён Верников","Тетюши",16
1,2471472,22,31.92,"ул. Басманная 1385",2,"Фома Капитонов","Павловск",14
1,2281006,12,40.44,"Аллея Ильменская 1386",4,"Раиля Буркатовская","Павловск",8
1,13172272,13,72.3,"ул. Ляпунова 1218",4,"Влас Атаманов","Куртамыш",1
1,718978,11,21.86,"Аллея Бойня 386",2,"Равшана Куратова","Светлогорск",7
1,7308342,18,64.06,"Аллея Жуков 1102",4,"Викентий Сапрыкин","Светлогорск",3
1,1353327,22,13.19,"Аллея Римского-Корсакова 385",1,"Всеволод Арбитман","Тетюши",13
1,291266,3,11.26,"ул. Парковая 9-я 1253",1,"Дарина Маликова","Павловск",1
1,7304754,11,52.9,"ул. Наличная 464",4,"Геласий Могутин","Павловск",3
1,15103949,14,120.26,"ул. Макаренко 511",8,"Игнатий Дудинцев","Павловск",11
1,1616721,1,27.69,"ул. Приречная 1",2,"Христофор Булычев","Тетюши",1
1,10801501,18,83.23,"ул. Глазовская 189",7,"Кристина Кондратьева","Куртамыш",16
1,4088998,7,37.1,"Аллея Волоколамский Б. 1329",2,"Анатолий Ливадный","Тетюши",6
1,1163949,10,11.83,"ул. Новокузнецкая 1019",1,"Капитон Радзинский","Павловск",6
1,10802700,10,58.58,"ул. Фармацевтическая 1227",5,"Артём Охотин","Павловск",4
1,8250939,19,55.23,"ул. Михайловский Верхн. Поперечная 154",3,"Пров Арефин","Чусовой",7
1,6281821,24,62.33,"Аллея Институтская 2-я 187",6,"Филипп Залотуха","Тетюши",16
1,6755750,16,59.16,"ул. Ездаков 247",4,"Владлен Одоевский","Павловск",1
1,969447,22,11.95,"Аллея Самеда Вургуна 503",1,"Прокопий Тарусов","Куртамыш",7
1,609418,1,14.6,"ул. Маршала Голованова 262",1,"Демид Федосеев","Куртамыш",1
1,8765123,3,72.67,"ул. Митьковская 1239",4,"Габриэлла Гермогенова","Куртамыш",2
0,3236860,15,44.21,"ул. Беломорская 48",3,"Иакинф Шилов","Чусовой",7
1,2608435,23,24.59,"ул. Сивяков 288",2,"Богдана Африканова","Тетюши",14
1,1321971,2,12.97,"ул. Розанова 108",1,"Конон Дубов","Тетюши",1
1,1200295,10,16.8,"ул. Сиреневая 1097",1,"Милена Мохнаткина","Тетюши",9
1,1922202,25,17.69,"ул. Муравская 1-я 9",1,"Дания Манулкина","Куртамыш",23
1,320205,23,11.45,"Аллея Воскресенская 175",1,"Пейтон Арцыбашева","Куртамыш",15
1,4608858,5,49.0,"ул. Новодмитровская Б. 481",3,"Теона Заостровцева","Чусовой",3
1,278506,10,11.72,"ул. Спасоглинищевский Б. 640",1,"Никанор Мифтахутдинов","Павловск",8
1,2815326,14,54.87,"Аллея Академика Семенова 1280",5,"Климент Удальцов","Светлогорск",6
1,9655124,11,75.46,"Аллея Предтеченский Верхн. 1389",7,"Пантелеймон Островский","Куртамыш",3
1,8232425,18,46.13,"ул. Студеная 1164",3,"Яна Большакова","Куртамыш",10
1,2987875,12,55.06,"ул. Абрикосовская 775",5,"Христофор Осеев","Тетюши",8
1,3558269,18,51.87,"Аллея Московская 1163",4,"Эльмира Багринцева","Тетюши",16
1,452589,24,15.71,"ул. Маломосковская 768",1,"Роксана Ананьина","Павловск",4
1,1932908,10,32.5,"ул. Гоголя 384",3,"Наргиза Серебрянская","Куртамыш",5
1,8668782,2,60.32,"ул. Балакиревская 897",5,"Капитон Дубов","Павловск",1
1,357361,17,12.52,"Аллея Делегатская 348",1,"Андрей Трудолюбов","Павловск",9
1,278149,6,11.95,"ул. Чоботовская 6-я 1044",1,"Демид Парамонов","Куртамыш",3
1,6328860,20,62.95,"ул. Звенигородская 2-я 234",4,"Юлианна Евстафьева","Павловск",12
1,11208003,5,77.45,"Аллея Новодевичая 932",6,"Сусанна Федотова","Павловск",1
1,4359378,18,33.55,"Аллея Свиблово 151",2,"Айнагуль Задорова","Куртамыш",1
1,5086908,3,41.66,"Аллея Шелепихи 1-я 1085",3,"Дарья Сычина","Павловск",2
1,5015231,11,56.73,"Аллея Щипок 422",4,"Якун Каганов","Павловск",6
1,7365855,20,41.51,"Аллея Новорублевская 2-я 869",3,"Лукьян Банщиков","Павловск",12
1,4539470,6,32.37,"Аллея Мелитопольская 2-я 842",2,"Кира Язова","Куртамыш",3
1,3807129,7,56.91,"ул. Николопесковский Ср. 1074",4,"Джамиля Янина","Чусовой",2
1,4924404,25,26.65,"ул. Графская 73",2,"Хрисанф Мурманцев","Павловск",2
1,6682224,19,58.64,"ул. Взлетная 312",3,"Диана Аверкова","Куртамыш",11
1,20384351,21,118.23,"ул. Лисичанская 821",7,"Конон Адрианов","Куртамыш",12
1,2716171,12,17.0,"Аллея Жемчуговой 820",1,"Лука Вирхов","Тетюши",3
1,3047081,8,33.18,"Аллея Титова 1241",2,"Рикарда Каледина","Куртамыш",7
1,25647665,11,135.46,"Аллея Нижегородская 664",8,"Диана Вихрова","Павловск",5
1,10234054,2,77.63,"Аллея Просвещения 662",6,"Лада Сотникова","Светлогорск",1
1,5075886,13,44.38,"Аллея Саввинский М. 1320",3,"Энже Сычева","Куртамыш",2
1,3193568,15,18.8,"Аллея Филевская 3-я 773",1,"Юлиан Крылов","Светлогорск",12
1,1342237,11,11.4,"ул. Космонавта Комарова 82",1,"Митрофан Юхновский","Куртамыш",3
1,370759,11,10.21,"Аллея Ельнинская 1051",1,"Фока Валентинов","Павловск",5
1,3099752,2,18.5,"ул. Новомещерская 899",1,"Лора Боярская","Куртамыш",1
1,3165043,19,66.3,"ул. Мажоров 509",7,"Лукьян Толстых","Тетюши",3
1,8530239,14,64.41,"ул. Погорельская 46",4,"Трифон Нахапетов","Куртамыш",10
1,1536809,18,14.44,"Аллея Щетининская 1363",1,"Анна Фомина","Павловск",11
1,3236823,15,18.43,"ул. Чечулина 1094",1,"Вадим Анфимов","Куртамыш",5
1,554463,1,16.88,"Аллея Новые Черемушки 22-23 1089",1,"Прокопий Аксенов","Павловск",1
1,1499316,22,14.66,"Аллея Юрловская 190",1,"Жанна Авилина","Куртамыш",12
1,1836310,13,18.33,"Аллея Юрьевская 873",1,"Луиза Расторгуева","Павловск",9
1,16401948,2,132.93,"Аллея Первомайская Нижн. 808",8,"Арсений Зюганов","Павловск",1
1,19592100,3,113.23,"Аллея Касаткина 734",7,"Нестор Новосёлов","Куртамыш",2
1,8014994,14,87.32,"Аллея Ямского Поля 1-я 858",5,"Эльвира Данилова","Чусовой",1
1,7676666,11,57.11,"Аллея Новоселки 2-я 1032",3,"Виктор Борисов","Чусовой",2
1,822647,11,10.0,"ул. Большая 173",1,"Лидия Тропина","Куртамыш",10
1,7426138,24,49.04,"ул. Дубнинская 690",4,"Иллирика Зимина","Светлогорск",6
1,7314321,10,70.67,"Аллея Весковская 1297",7,"Демид Шолохов","Светлогорск",8
1,1467666,9,14.5,"Аллея Академика Глушко 1305",1,"Ермолай Кириков","Куртамыш",1
1,14134193,12,76.48,"ул. Покрышкина 298",4,"Алана Распутина","Куртамыш",11
1,16328724,9,81.17,"Аллея Карамышевская 262",5,"Лира Цветкова","Павловск",1
1,875434,7,10.0,"ул. Семинарская 976",1,"Онисим Никитин","Чусовой",5
