"new","city","square","rooms","price","floors","owner","floor","address"
0,"Озёрск",45.49,4,3191258,10,"Артём Чебышёв",4,"ул. Пионерская 886"
1,"Назарово",36.94,2,6404254,25,"Августина Юрская",22,"Аллея Медовая 74"
1,"Невельск",15.57,1,515789,3,"Фелисити Петелина",1,"Аллея Дмитровка М. 626"
0,"Назарово",19.64,1,3499900,22,"Лилиана Михайловская",13,"Аллея Бутиковская 264"
0,"Назарово",72.35,6,12217031,20,"Евдоким Крупин",6,"Аллея Черногрязская 2-я 658"
0,"Озёрск",53.48,3,5916864,19,"Иннокентий Мигулёв",11,"Аллея Пенягинская 565"
0,"Ардон",10.13,1,338850,7,"Дорофей Хлестаков",6,"Аллея Ясеневая 791"
1,"Озёрск",39.72,4,3522666,18,"Кирилл Катишонок",14,"ул. Васильевский Спуск 1034"
0,"Озёрск",124.58,7,11684633,6,"Емельян Буровский",2,"Аллея Рогова 1250"
1,"Назарово",31.17,3,4640550,17,"Герасим Огарев",9,"Аллея Староалексеевская 509"
1,"Озёрск",17.08,1,2038170,6,"Томирис Геннадиева",5,"Аллея Каретный М. 552"
0,"Горбатов",12.98,1,528476,15,"Лев Збруев",6,"ул. Конюшковский Б. 297"
0,"Невельск",33.16,2,4709968,8,"Арабелла Паушкина",3,"Аллея Андреевская 448"
0,"Георгиевск",64.44,4,10398607,9,"Онуфрий Колобов",4,"ул. Люблинская 142"
0,"Ардон",11.37,1,850064,25,"Демьян Жбанов",14,"ул. Подсосенская 1238"
1,"Невельск",13.79,1,1067932,13,"Хрисанф Садулаев",10,"ул. Спиридоньевская 227"
1,"Медынь",32.58,2,6373778,13,"Святополк Зотеев",8,"Аллея Булатниковская 668"
0,"Озёрск",62.15,4,7710254,24,"Виссарион Советов",4,"Аллея Банная 684"
0,"Назарово",40.62,2,3180629,7,"Мирон Палицин",2,"ул. Кутузовская 378"
1,"Назарово",16.84,1,2317556,10,"Федот Басинский",9,"Аллея Соколиной Горы 8-я 1264"
0,"Горбатов",13.68,1,1067406,10,"Онуфрий Лидский",3,"ул. Трехпрудная 673"
1,"Горбатов",70.13,7,12285207,17,"Борис Кедрин",12,"Аллея Остроумовская М. 536"
1,"Горбатов",22.61,2,1335927,21,"Лейла Савкина",2,"Аллея Юннатов 403"
1,"Невельск",16.02,1,1920444,18,"Лета Яворская",5,"ул. Лескова 1232"
0,"Ардон",40.73,4,3806316,14,"Мирон Воронов",10,"ул. Перуновская 460"
0,"Горбатов",15.67,1,1564604,23,"Милослава Шестинская",7,"Аллея Новые Сады 9-я 1125"
1,"Георгиевск",113.31,6,24467092,23,"Ираида Боброва",8,"Аллея Молчановка Б. 25"
0,"Назарово",32.88,2,3638937,3,"Божена Берёзина",2,"Аллея Зеленая 286"
0,"Ардон",85.04,7,7156160,25,"Карима Фурцева",19,"Аллея Крестовоздвиженская 586"
0,"Назарово",62.82,4,10277755,5,"Алевтина Кирилина",1,"Аллея Магистральная 1-я 764"
0,"Назарово",19.59,1,3404564,10,"Эрмина Зарубина",9,"Аллея Иркутская 119"
1,"Озёрск",34.57,3,1739756,7,"Айсун Живетьева",1,"Аллея Воровского 1360"
0,"Руза",10.0,1,514273,14,"Лукий Берсенев",12,"Аллея Прогонная 2-я 644"
1,"Озёрск",87.94,6,16593893,13,"Соня Заборова",4,"ул. Чебоксарская 15"
0,"Горбатов",67.9,4,7354833,7,"Герасим Тынянов",3,"Аллея Академика Виноградова 1295"
1,"Медынь",96.49,6,20884541,1,"Мирослав Мартытов",1,"ул. Воловья 136"
1,"Озёрск",71.67,6,9542620,20,"Василий Микитов",13,"Аллея Ягодная 436"
0,"Назарово",33.0,2,3161908,17,"Хюррем Маринина",2,"Аллея Институтская 846"
0,"Назарово",21.66,2,3358770,15,"Севастьян Липскеров",4,"Аллея Козлова 31"
0,"Георгиевск",29.3,2,1886611,2,"Дина Устьянова",1,"ул. Дубровская 2-я 556"
0,"Медынь",50.97,4,6859781,10,"Виталина Айтматова",9,"ул. Октябрьская ж.д. Московское 637 км 1274"
0,"Горбатов",52.33,5,6703474,20,"Шахина Новосёлова",9,"ул. Солнечногорская 438"
0,"Озёрск",18.1,1,3298962,23,"Иннокентий Климентов",1,"ул. Карамзина 901"
0,"Георгиевск",17.7,1,2982340,9,"Хадия Ефремова",5,"Аллея Курьяновская 3-я 356"
0,"Ардон",55.06,3,4476566,23,"Фотий Дудин",20,"Аллея Черемушкинская 837"
1,"Назарово",23.57,2,1085281,8,"Генриетта Туровская",2,"Аллея Москворецкая 121"
0,"Озёрск",15.32,1,647612,3,"Нелли Зюганова",1,"ул. Андроньевская М. 555"
1,"Георгиевск",38.53,4,1749922,13,"Геласий Ильницкий",11,"ул. Паперника 743"
1,"Невельск",42.38,3,5480606,9,"Бажена Жбанова",8,"Аллея Басманная Стар. 631"
0,"Горбатов",64.86,4,13539545,17,"Виктор Воддеников",15,"Аллея Титовская 305"
0,"Озёрск",10.0,1,799750,21,"Забава Фетисова",8,"Аллея Краснопрудный М. 1001"
1,"Назарово",100.43,8,10855651,22,"Айсылу Чарская",2,"ул. Ореховая 648"
1,"Назарово",12.57,1,767893,9,"Назар Дышев",7,"ул. Маршала Савицкого 547"
0,"Озёрск",73.02,4,9046821,1,"Анфим Синявский",1,"ул. Папанина 224"
0,"Медынь",10.0,1,326641,17,"Филипп Минаев",13,"Аллея Набережная 273"
1,"Георгиевск",12.26,1,251710,21,"Варсонофий Толстой",4,"Аллея Вокзальная 690"
0,"Ардон",84.41,5,18481694,15,"Протасий Абрамов",3,"Аллея Краснопресненская Застава 157"
0,"Медынь",82.04,5,15798745,13,"Илья Носов",1,"Аллея Юрьевская 842"
0,"Назарово",15.04,1,1830510,21,"Хюррем Аммосова",4,"Аллея Армавирская 838"
0,"Горбатов",20.31,1,2436643,5,"Юрий Филимонихин",3,"Аллея Белозерская 848"
0,"Георгиевск",34.08,4,3815167,25,"Пейтон Галактионова",21,"ул. Брянский Пост 1239"
1,"Медынь",78.22,7,10736452,12,"Федот Очин",11,"Аллея Маршала Баграмяна 158"
0,"Ардон",32.98,3,3702735,14,"Офелия Аристархова",6,"ул. Фонвизина 764"
1,"Ардон",10.37,1,737932,9,"Лукьян Топчиев",3,"ул. Казарменная 141"
0,"Медынь",10.0,1,991719,7,"Эмили Малахова",3,"Аллея Ярославская 54"
0,"Горбатов",24.34,1,2706751,4,"Алексей Марковчин",2,"Аллея Рождественская 714"
1,"Георгиевск",12.43,1,270711,2,"Демьян Сидоров",1,"ул. Миусская 1-я 597"
0,"Озёрск",146.3,9,18743926,18,"Степан Гагарин",13,"Аллея Певческая 370"
0,"Назарово",91.5,5,16390344,21,"Лара Носкова",8,"ул. Ярцевская 1266"
0,"Назарово",12.22,1,1225002,4,"Риана Кофанова",2,"ул. Хорошевская 3-я 1028"
1,"Медынь",33.44,3,1110894,17,"Анфим Маканин",10,"Аллея Певческая 760"
0,"Георгиевск",41.1,4,2168659,21,"Матвей Янковский",13,"ул. Новые Сады 7-я 643"
1,"Назарово",130.7,7,21494304,18,"Гаянэ Егорова",12,"ул. Тульская М. 1349"
1,"Назарово",30.39,2,3501355,24,"Стефания Артёмова",23,"Аллея Зоологическая 887"
1,"Озёрск",24.23,2,4059320,19,"Галактион Иванченко",17,"ул. Псковская 417"
0,"Горбатов",10.5,1,266518,13,"Люсьена Бодылева",12,"Аллея Бориса Галушкина 712"
0,"Руза",36.21,3,5960178,20,"Самуил Дежнев",6,"ул. Соколово-Мещерская 1297"
1,"Горбатов",32.94,2,4668404,9,"Андрей Белоруков",2,"Аллея Ржевский Б. 382"
0,"Ардон",83.35,6,7084111,6,"Лидия Белоусова",3,"ул. Ангелов 1285"
0,"Озёрск",26.13,2,2197810,18,"Родослав Полуектов",6,"ул. Харитоньевский Б. 699"
0,"Озёрск",13.22,1,1769522,25,"Альвиан Панфилов",18,"Аллея Гродненская 818"
0,"Назарово",10.0,1,541554,16,"Пелагея Осеева",8,"ул. Берниковская 794"
0,"Горбатов",15.69,1,2083925,10,"Леся Елеферьева",9,"Аллея Сочинская 1393"
1,"Назарово",16.86,1,2746815,3,"Егор Кононыхин",2,"ул. Никольская 537"
0,"Озёрск",80.21,5,13240692,3,"Каролина Порфирьева",2,"ул. Девяткин 625"
1,"Озёрск",10.0,1,297580,18,"Нея Лапина",1,"Аллея Маршала Неделина 1216"
1,"Невельск",96.6,5,10780937,9,"Добрыня Савченко",1,"Аллея Гродненская 643"
0,"Георгиевск",17.11,1,3111783,1,"Белла Шабалова",1,"Аллея Соймоновская 261"
1,"Ардон",61.33,5,9014402,24,"Эвита Бородина",17,"Аллея Воронцовская 360"
0,"Ардон",18.12,1,1813994,7,"Онисим Ананьев",5,"Аллея Гамсоновская 541"
1,"Медынь",17.26,1,3035048,22,"Тит Родивонов",7,"Аллея Кулаков 472"
0,"Горбатов",32.34,2,2309073,9,"Никанор Иринеев",7,"ул. Генерала Белобородова 1325"
0,"Назарово",13.15,1,1125772,1,"Протасий Венедиктов",1,"Аллея Ткацкая 1375"
0,"Ардон",17.25,1,3167786,1,"Богдана Каверина",1,"Аллея Суворовская 462"
0,"Назарово",72.09,4,12303992,1,"Наталья Ерофеева",1,"Аллея Новорублево 260"
0,"Невельск",55.67,3,9118669,12,"Афина Смольникова",4,"ул. Теплый Стан 709"
0,"Ардон",17.28,1,1041961,14,"Сила Фотьев",3,"ул. Подрезковская 1-я 1196"
0,"Медынь",42.85,3,8691890,20,"Люция Глуховская",14,"ул. Продольная 568"
1,"Медынь",18.78,1,2588709,20,"Демьян Сударушкин",7,"ул. Филаретовская 290"
1,"Назарово",13.37,1,1123833,18,"Виктор Селиверстов",1,"Аллея Никитская М. 777"
1,"Горбатов",31.7,3,4653104,12,"Филипп Ливадный",11,"Аллея Новинская 627"
0,"Руза",13.84,1,1351351,1,"Екатерина Кирова",1,"Аллея Шелапутинская 1384"
0,"Озёрск",55.59,4,6437144,14,"Валерьян Айтматов",4,"ул. Котельная 1113"
0,"Озёрск",59.05,4,3883151,16,"Кара Пигасьева",10,"ул. Мячковская 207"
1,"Горбатов",12.13,1,1165238,23,"Самуил Лукошин",10,"ул. Путинковский Б. 909"
1,"Ардон",16.06,1,503651,3,"Мадлен Савина",2,"ул. Патриарший М. 606"
0,"Горбатов",95.0,5,8273985,1,"Регина Корнилова",1,"Аллея Дачная 1252"
0,"Назарово",15.84,1,1314648,25,"Азиза Уварова",20,"Аллея Бронная М. 1041"
0,"Ардон",59.17,5,8593639,18,"Григорий Филимонов",11,"Аллея Дорогомиловская М. 559"
1,"Назарово",46.89,4,8343424,20,"Кузьма Победоносцев",17,"ул. Окская 1186"
0,"Горбатов",66.38,4,10587523,5,"Луна Астапова",2,"ул. Саввинский Б. 1329"
0,"Озёрск",65.92,5,11289199,23,"Мадина Шаргунова",20,"Аллея Асеева 1100"
1,"Георгиевск",22.87,2,1878495,7,"Марк Люкин",5,"ул. Плотинная 749"
0,"Горбатов",52.98,3,7415896,9,"Леонид Адамович",4,"ул. Кабельная 2-я 1358"
0,"Горбатов",10.81,1,813513,25,"Владислав Кетро",16,"ул. Гатчинская 593"
0,"Назарово",79.42,5,17593444,12,"Мирра Акулова",6,"Аллея Планетная 93"
0,"Ардон",79.02,5,9850218,12,"Спиридон Чумаков",5,"Аллея Звонарская 92"
0,"Горбатов",78.02,7,4436107,24,"Артём Бугрименко",11,"Аллея Бебеля 1-я 266"
1,"Невельск",34.5,2,4456061,3,"Игорь Цепов",2,"Аллея Кочновская 781"
1,"Невельск",90.94,5,14375891,3,"Пантелеймон Ефимьев",1,"Аллея Домостроительная 1150"
0,"Невельск",42.33,4,2890434,7,"Мишель Арбузова",2,"Аллея Реутовская 1061"
0,"Озёрск",84.71,6,6318232,7,"Ростислав Бочоришвили",3,"Аллея Новороссийская 488"
0,"Назарово",79.23,8,6163114,20,"Альбина Вотрина",2,"ул. Усиевича 931"
0,"Озёрск",96.37,7,20174527,9,"Карина Пригова",6,"Аллея Достоевского 160"
0,"Невельск",36.39,3,6468568,15,"Шерил Котова",5,"ул. Новощукинская 217"
0,"Озёрск",20.56,2,2996273,21,"Серафим Анюков",6,"ул. Захарьинская 153"
0,"Ардон",20.63,1,2985909,17,"Паула Карагодина",6,"ул. Народная 1259"
0,"Ардон",10.24,1,539323,23,"Архипп Власьев",14,"ул. Барболина 398"
0,"Ардон",47.03,3,5833611,24,"Николай Бестужев",2,"ул. Кооперативная 479"
0,"Горбатов",103.85,7,8636141,9,"Айсун Крутихина",4,"Аллея Чичерина 252"
1,"Руза",77.09,6,15015436,13,"Степан Ананьев",1,"ул. Дубровская 657"
0,"Назарово",14.64,1,1265987,2,"Геласий Тесаков",1,"ул. Басманная Стар. 781"
1,"Георгиевск",14.74,1,689067,12,"Вячеслав Морщаков",9,"Аллея Алтайская 136"
0,"Горбатов",15.39,1,1844494,16,"Арсений Кулаков",2,"Аллея Дегунинская 1212"
0,"Горбатов",111.17,6,14017600,16,"Люсиль Эмина",6,"ул. Николаева 950"
0,"Назарово",28.44,2,5367931,19,"Дарина Негина",5,"ул. Яблоневая 564"
1,"Невельск",13.16,1,515062,21,"Антонин Виккерс",9,"Аллея Харьковская 551"
1,"Ардон",38.16,2,4971382,3,"Аркадий Светлов",1,"ул. Старо-Петровско-Разумовская 1368"
0,"Горбатов",59.07,6,3068700,14,"Фазиля Арепьева",1,"ул. Гнездниковский Б. 1387"
1,"Назарово",50.17,3,4052541,14,"Всеволод Вавилов",1,"ул. Иосипа Броз Тито 829"
1,"Невельск",16.81,1,1330452,14,"Варфоломей Коновалов",7,"ул. Никопольская 3-я 848"
0,"Назарово",20.39,1,3282209,20,"Демьян Шабалов",5,"ул. Сеславинская 44"
0,"Медынь",15.37,1,2548122,17,"Сесилия Капитонова",4,"ул. Университетская 164"
1,"Назарово",10.0,1,323950,23,"Забава Касимова",20,"Аллея Адмирала Лазарева 540"
0,"Озёрск",32.02,3,1286400,24,"Геласий Нетёсов",10,"ул. Михалковская 480"
0,"Ардон",43.45,4,5934422,17,"Эсмеральда Сбруева",6,"ул. Тараса Шевченко 328"
1,"Назарово",17.11,1,792879,2,"Корнелия Пономарева",1,"Аллея Домостроительная 302"
1,"Назарово",10.0,1,322131,2,"Конон Амвросьев",1,"ул. Черниговская 309"
1,"Ардон",23.1,2,833046,25,"Артур Бездетко",24,"Аллея Складочная 961"
1,"Невельск",16.22,1,783180,10,"Влада Никтитина",3,"ул. Маршала Тимошенко 655"
0,"Горбатов",44.79,3,4153718,1,"Лаура Пантелеева",1,"Аллея Шлюзовая 184"
0,"Назарово",18.78,1,2415983,5,"Любава Перхурова",1,"ул. Луговая 397"
0,"Ардон",19.61,1,2375267,17,"Максим Меркуров",5,"Аллея Хохловка Нижн. 619"
1,"Ардон",95.02,8,7128041,3,"Филат Контровский",1,"ул. Сеченовская 1301"
0,"Горбатов",47.66,4,8109151,16,"Дамира Коклюшкина",9,"Аллея Чечулина 1015"
0,"Руза",78.63,6,6486228,15,"Аида Новодворская",9,"ул. Летниковская 131"
1,"Озёрск",134.75,7,15694449,19,"Олег Свинаренко",9,"Аллея Радиальная 10-я 576"
0,"Озёрск",64.46,5,5052849,17,"Артём Остальский",4,"ул. Гжельская 815"
0,"Горбатов",36.34,3,2212504,2,"Максим Тёмкин",1,"ул. Кадашевская 488"
0,"Медынь",48.58,5,7733174,8,"Донат Сорокин",5,"ул. Нелидовская 1303"
0,"Горбатов",20.34,1,2466937,17,"Андрей Ананьин",8,"Аллея Генерала Тюленева 1006"
0,"Назарово",22.54,2,1295416,13,"Исидор Никаноров",4,"ул. Дегтярная 327"
0,"Георгиевск",14.06,1,1203622,21,"Порфирий Белов",12,"ул. Останкинская 2-я 721"
0,"Озёрск",89.77,5,20917192,11,"Пафнутий Зюзюкин",2,"Аллея Академика Павлова 363"
1,"Озёрск",37.85,3,3140251,1,"Магда Медкова",1,"ул. Гражданская 3-я 846"
0,"Озёрск",19.59,2,2475107,8,"Виссарион Анискин",4,"Аллея Новоясеневская 606"
0,"Назарово",10.0,1,450704,11,"Памела Покровская",7,"ул. Мытищинская 596"
1,"Медынь",83.52,5,9411252,22,"Валерия Гатапова",1,"Аллея Новозаводская 810"
0,"Озёрск",62.64,6,9782089,20,"Эдуард Есин",13,"ул. Паперника 1280"
0,"Назарово",71.31,4,15494972,17,"Мирослав Ставецкий",4,"Аллея Шарля Де Голля 1102"
0,"Горбатов",104.69,6,12194219,2,"Фазиля Философова",1,"ул. Рощинская 2-я 356"
0,"Назарово",55.6,4,6392283,23,"Гульзира Тимофеева",10,"ул. Стартовая 45"
0,"Горбатов",14.47,1,458693,23,"Клара Янова",17,"Аллея Расплетина 1345"
0,"Медынь",11.58,1,323870,19,"Климент Конюков",6,"ул. Шломина 1346"
0,"Горбатов",70.87,5,14852076,13,"Тихон Журавлёв",4,"ул. Ордынка Б. 19"
0,"Озёрск",17.9,1,2249630,9,"Владислав Чернышевский",1,"ул. Гавриков М. 537"
0,"Георгиевск",15.25,1,1390016,12,"Лилиана Горлова",7,"Аллея Хорошевская 815"
0,"Ардон",27.91,3,3439440,6,"Филат Кожевников",1,"ул. Костякова 104"
0,"Горбатов",47.7,4,6281779,17,"Милослава Липскерова",13,"ул. Кисельный Б. 516"
0,"Озёрск",15.88,1,2271561,13,"Полина Савельева",2,"Аллея Чоботовская 5-я 1141"
0,"Назарово",10.0,1,489878,6,"Асия Рябова",1,"ул. Верземнека 418"
0,"Озёрск",95.28,6,7739983,7,"Геласий Гайдук",4,"ул. Яблочкова 58"
1,"Горбатов",36.17,3,4154660,19,"Кир Супрунов",2,"ул. Рославка 2-я 680"
0,"Руза",72.55,6,13168568,13,"Иоанна Шолохова",12,"Аллея Кооперативная 923"
0,"Озёрск",70.05,4,11746190,19,"Юнона Нехлюдова",3,"Аллея Покровская 2-я 953"
0,"Ардон",55.51,3,11266992,9,"Кир Саватьев",5,"ул. Маршала Конева 1138"
0,"Ардон",16.15,1,457111,4,"Лола Крупнова",1,"ул. Сокольническая 1-я 111"
0,"Назарово",10.93,1,801442,5,"Элла Большакова",1,"ул. Тушинская 246"
0,"Горбатов",16.8,1,2367223,12,"Дана Патрикеева",4,"ул. Устьинская 1136"
0,"Горбатов",64.3,5,11426581,16,"Эраст Юппи",1,"ул. Одоевского 1186"
1,"Горбатов",34.17,3,4723237,13,"Мина Корнилов",10,"ул. Детская 329"
1,"Ардон",40.57,4,1826649,10,"Никита Зосимов",2,"ул. Головинская 127"
0,"Назарово",16.55,1,886170,16,"Вениамин Азаров",7,"Аллея Лесные Сторожки 1260"
0,"Медынь",41.04,4,6587466,5,"Сания Калашникова",1,"ул. Академика Бакулева 1322"
1,"Горбатов",70.02,4,7744560,10,"Авдотья Уткина",2,"Аллея Палисадная 1186"
1,"Озёрск",51.86,4,9745198,13,"Алексей Журавский",1,"ул. Некрасовка 463"
0,"Невельск",13.36,1,596147,21,"Эсмира Кожевникова",4,"Аллея Энтузиастов 526"
0,"Назарово",85.54,5,17227879,19,"Константин Капнист",6,"ул. Павелецкая 1162"
0,"Горбатов",23.45,2,2292011,21,"Сауле Капустина",14,"Аллея Иловайская 857"
0,"Медынь",17.68,1,677894,23,"Аристарх Вовчок",10,"ул. Дмитрия Ульянова 994"
0,"Ардон",131.91,7,23368367,22,"Агафон Богоявленский",16,"Аллея Пантелеевская 503"
1,"Горбатов",76.4,4,11969493,15,"Сильвестр Евтифеев",2,"Аллея Никитников 308"
1,"Назарово",112.59,6,25849701,24,"Аникита Маркелов",22,"Аллея Новочеремушкинская 1137"
0,"Назарово",18.51,1,1401160,20,"Джиневра Купреянова",14,"ул. Толмачевский М. 824"
0,"Медынь",10.0,1,252109,22,"Гордей Германов",5,"Аллея Мякининская 1-я 295"
0,"Медынь",50.21,3,6965001,20,"Саломея Тютчева",14,"ул. Симоновская 1375"
0,"Ардон",58.75,5,5063767,1,"Хлоя Яковлева",1,"ул. Новомарьинская 371"
0,"Назарово",44.28,3,6913332,1,"Савелий Ковалёв",1,"ул. Ясеневая 752"
1,"Ардон",48.82,4,2883212,2,"Евдокия Куприна",1,"Аллея Кадашевская 1351"
0,"Назарово",13.97,1,258729,10,"Вилена Викентьева",4,"Аллея Летняя 221"
0,"Горбатов",17.21,1,1580213,9,"Евстафий Евлампиев",4,"ул. Волховская 1400"
0,"Ардон",17.42,1,1557910,16,"Арабелла Нестерова",9,"Аллея Политехническая 26"
1,"Невельск",32.1,2,6050572,20,"Кора Нагибина",17,"Аллея Хлыновская 1071"
0,"Горбатов",32.69,3,4561469,8,"Яна Далматова",6,"ул. Больничная 803"
1,"Озёрск",31.62,3,2981603,19,"Филат Фурманов",9,"ул. Хибинская 807"
0,"Ардон",105.9,6,14446642,14,"Фрида Вяземская",2,"ул. Рославка 2-я 899"
1,"Георгиевск",113.13,6,15231068,7,"Пелагея Богданова",3,"Аллея Уссурийская 273"
0,"Ардон",34.09,2,2494960,1,"Мариям Маяковская",1,"ул. Станционная 1092"
0,"Ардон",33.46,3,5094105,7,"Эдуард Невзоров",3,"ул. Федеративная 891"
1,"Горбатов",14.69,1,2113815,7,"Емельян Горшков",3,"Аллея Свободной России 582"
1,"Невельск",19.1,1,2472949,13,"Пахомий Анемподистов",4,"Аллея Кабельная 4-я 258"
0,"Руза",29.21,3,2516963,3,"Прокопий Гришковец",1,"Аллея Лосевская 1266"
0,"Медынь",13.37,1,307510,9,"Челси Шишкина",7,"ул. Воловья 686"
1,"Ардон",13.71,1,1109823,9,"Варлам Даниэль",2,"ул. Чистопольская 1005"
1,"Назарово",36.92,3,4511437,6,"Мия Витязева",1,"ул. Аносова 783"
0,"Горбатов",63.81,5,9637531,9,"Сельма Данькова",4,"ул. Лихоборские Бугры 158"
0,"Назарово",15.39,1,921855,9,"Святослав Модестов",7,"ул. Защитников Москвы 1140"
0,"Назарово",10.54,1,866257,9,"Наргиза Громова",8,"ул. Сколковское 1035"
1,"Ардон",12.12,1,761626,20,"Никанор Бартенев",2,"Аллея Ивана Бабушкина 365"
1,"Горбатов",51.01,3,6224221,18,"Рамина Щекина",12,"ул. Образцова 949"
0,"Медынь",16.85,1,1632436,20,"Христофор Донецкий",14,"Аллея Прокудинская 819"
1,"Невельск",12.33,1,397655,3,"Джиневра Гиляровская",1,"ул. Солянская 980"
1,"Ардон",16.41,1,1961180,7,"Пафнутий Агеев",1,"ул. Сергиевский М. 104"
1,"Медынь",18.63,1,1255421,25,"Генриетта Малафеева",13,"ул. Митьковская 745"
0,"Озёрск",44.47,3,2767076,13,"Добрыня Кашин",12,"ул. Недорубова 122"
0,"Назарово",18.85,2,1794749,2,"Ефим Арабов",1,"Аллея Головинская 1306"
0,"Назарово",11.6,1,1053443,7,"Камилла Крюкова",3,"Аллея Институтская 1-я 266"
0,"Руза",17.06,1,1712003,19,"Владимир Белоиван",13,"ул. Дворцовая Правая 508"
0,"Невельск",29.25,2,5457453,11,"Афанасий Буряченко",5,"Аллея Мантулинская 590"
0,"Назарово",75.84,5,5543638,20,"Варфоломей Залотуха",11,"Аллея Дроболитейная 1010"
0,"Горбатов",12.48,1,1063549,19,"Геннадий Безручко",11,"ул. Рождественская 973"
0,"Ардон",42.39,4,3127053,17,"Родослав Медков",1,"Аллея Ивановская 456"
0,"Ардон",30.66,3,1091020,20,"Фелиция Панюшкина",2,"ул. Матроса Железняка 1370"
0,"Горбатов",11.57,1,293050,17,"Прокопий Авдиев",14,"ул. Патриарший Б. 796"
0,"Невельск",29.55,2,3700925,24,"Ума Чаплина",7,"Аллея Планетная 295"
1,"Медынь",24.0,2,976019,14,"Альвиан Шатыренок",9,"Аллея Суворовская 243"
0,"Руза",107.19,6,16363249,22,"Гюзель Боголюбская",13,"Аллея Подрезковская 2-я 295"
1,"Ардон",13.35,1,314890,18,"Айгуль Нефедьева",15,"Аллея Веткин 109"
1,"Озёрск",36.28,2,4062411,22,"Трифон Алферьев",6,"Аллея Измайловский Вал 929"
1,"Ардон",16.69,1,2115901,25,"Фаддей Жук",13,"ул. Дружинниковская 489"
0,"Горбатов",16.69,1,2434432,23,"Лаура Курилова",1,"ул. Солнечная 109"
1,"Горбатов",37.44,2,7226754,14,"Дина Несмеянова",4,"ул. Просвещения 58"
0,"Озёрск",44.69,3,5341015,19,"Глафира Иовлева",4,"ул. Библиотечная 1202"
1,"Ардон",77.37,6,11619393,14,"Виталий Кац",5,"Аллея Садовая-Сухаревская 914"
0,"Невельск",10.0,1,337613,10,"Альберт Гальего",7,"ул. Егорьевская 1212"
0,"Медынь",12.07,1,1165920,4,"Ефим Гнедич",1,"Аллея Леваневского 952"
1,"Невельск",14.08,1,1977536,8,"Лариса Монастырская",5,"ул. Факультетская 454"
