"rooms","square","address","new","owner","floors","city","price","floor"
3,42.32,"ул. Новомосковская 1297",0,"Авксентий Ржевский",12,"Балашиха",5566736,9
1,11.9,"Аллея Мартыновская 836",1,"Михаил Свободных",8,"Черемхово",1186646,6
1,10.81,"ул. Варсонофьевская 799",0,"Мирон Кононыхин",4,"Барабинск",376684,2
1,16.22,"ул. Молодежная 195",0,"Капитон Буторин",6,"Барабинск",2758182,1
1,16.6,"ул. Туристская 467",1,"Августина Пригова",9,"Черемхово",2921560,8
3,48.44,"Аллея Полбина 52",1,"Дана Авилова",18,"Анива",9418624,15
5,83.79,"Аллея Байдукова 511",1,"Мадлен Звягина",6,"Псков",14450380,4
4,75.76,"ул. Кожуховская 7-я 547",1,"Тереза Каневская",25,"Черемхово",8976520,4
4,71.7,"ул. Орджоникидзе 397",0,"Герасим Варнавин",19,"Черногорск",11809396,6
5,75.41,"Аллея Сергиевский Б. 639",0,"Ксения Новосёлова",6,"Псков",14864101,1
2,34.49,"ул. Парковая 5-я 710",0,"Пелагея Родченкова",8,"Барабинск",3390374,6
3,29.43,"Аллея Научная 702",0,"Марк Савёлов",10,"Бугуруслан",3554539,6
1,12.52,"Аллея Гоголя 138",0,"Мирослав Бездетко",16,"Баксан",1260175,2
1,16.27,"Аллея Лазенки 4-я 444",0,"Варлам Вакулов",23,"Черемхово",1774613,3
1,13.29,"ул. Красногвардейская 29",0,"Гавриил Поплавский",15,"Барабинск",1671195,3
4,38.55,"Аллея Молодцова 471",1,"Игнатий Косник",19,"Калязин",4919043,1
2,37.88,"ул. Воронцовская 396",1,"Мирон Ремезов",3,"Калязин",7727210,1
2,31.46,"Аллея Изюмская 861",1,"Индира Сахновская",1,"Бугуруслан",3312099,1
1,10.65,"Аллея Переведеновская Нов. 550",0,"Малика Лукьянова",20,"Псков",935464,16
5,95.17,"Аллея Мурманская 94",0,"Ванесса Денисьева",13,"Калязин",10323143,6
1,11.9,"ул. Днепропетровская 251",1,"Шейла Бурмистрова",10,"Барабинск",1203751,8
3,36.08,"Аллея Бестужевых 726",0,"Физалия Фирсова",15,"Барабинск",5940796,10
2,25.18,"Аллея Вишневая 618",0,"Всеволод Ипатов",16,"Черногорск",3100535,10
1,16.44,"ул. Новые Сады 9-я 955",0,"Онуфрий Воскобойников",4,"Калязин",909429,1
1,10.0,"Аллея Измайловская 1270",0,"Патриция Егорова",20,"Псков",750352,16
3,36.43,"Аллея Рождественка 1334",1,"Генриетта Лескова",6,"Черемхово",1585132,4
3,49.4,"ул. Новомосковская 342",1,"Филимон Мурмановский",21,"Черемхово",8120563,8
1,15.0,"ул. Хитровская 535",0,"Артём Акинфов",22,"Барабинск",879149,17
1,17.73,"Аллея Радиальная 9-я 764",1,"Демид Куликов",13,"Черногорск",1450424,6
1,11.51,"Аллея Андроньевская М. 235",0,"Лев Шапошников",23,"Анива",1012281,12
1,17.84,"ул. Лихоборская 713",0,"Григорий Свитнев",12,"Балашиха",3149149,3
8,103.66,"Аллея Каменка 501",0,"Мирослав Рыльников",13,"Псков",10744627,3
5,74.94,"Аллея Политехническая 460",0,"Пелагея Епинетова",22,"Анива",13004573,11
1,14.31,"Аллея Хлебная 649",0,"Валерьян Лужин",2,"Черемхово",1607829,1
1,17.86,"Аллея Олений М. 876",1,"Номина Парменьева",23,"Черногорск",1692971,17
5,67.12,"ул. Крюковская 601",0,"Фаина Харлампиева",9,"Черемхово",10373209,4
1,19.45,"Аллея Кисловский Нижн. 730",0,"Агафон Мышкин",20,"Баксан",3712425,1
6,76.18,"Аллея Советской Армии 821",0,"Гавриил Гурский",17,"Черногорск",11646507,10
5,62.89,"ул. Очаковская Б. 1397",0,"Ираклий Цыганов",14,"Балашиха",11195231,5
2,19.62,"Аллея Красные Ворота 912",0,"Зинаида Болотова",25,"Калязин",2486601,8
3,47.67,"Аллея Генерала Глаголева 802",0,"Гульназ Работникова",24,"Балашиха",5616289,4
1,13.39,"ул. Гамсоновская 761",0,"Эрмина Боровая",6,"Калязин",1518210,1
6,107.47,"ул. Чоботовская 1-я 785",0,"Мадина Григорова",18,"Барабинск",9827354,3
9,99.06,"ул. Шверника 79",0,"Светлана Лебедева",11,"Барабинск",11728404,5
5,61.0,"Аллея Внуковская 2-я 1105",0,"Никанор Никаноров",25,"Барабинск",7925835,9
1,15.08,"Аллея Новоселки 3-я 538",0,"Ефрем Гиваргизов",8,"Черемхово",2415901,3
1,20.15,"ул. Малахитовая 1259",0,"Степан Зализняк",10,"Черемхово",1388860,5
1,15.2,"Аллея Брестская 2-я 707",0,"Прохор Гальего",7,"Анива",2203912,4
3,55.35,"Аллея Генерала Тюленева 314",0,"Кондрат Шпанов",24,"Калязин",8344005,21
1,15.1,"Аллея Академика Петровского 169",0,"Евсей Плотников",7,"Псков",2522946,5
2,26.99,"ул. Нижние Поля 380",0,"Мила Ковшова",3,"Черемхово",3773748,2
6,109.46,"ул. Волховская 922",0,"Олег Авдиев",7,"Бугуруслан",15550933,6
4,70.64,"Аллея Подрезковская 3-я 907",1,"Сельма Астахова",15,"Бугуруслан",10061792,2
1,14.37,"Аллея Подъемная 440",0,"Вадим Евсеев",23,"Псков",1354021,4
3,53.48,"Аллея Комдива Орлова 84",0,"Фазиля Бабикова",19,"Псков",11099264,17
5,50.89,"ул. Причальная 722",0,"Иулиан Осокин",13,"Псков",5686917,2
2,41.12,"Аллея Европы 884",1,"Валентин Ромазанов",7,"Балашиха",6856220,3
2,26.96,"ул. Феодосийская 1214",1,"Челси Согрина",20,"Черемхово",4700040,3
1,11.57,"ул. Вертолетчиков 755",0,"Агапия Гордеева",24,"Барабинск",1301031,13
3,40.1,"Аллея Казарменная 1005",0,"Офелия Квартальнова",14,"Черемхово",2881558,10
3,47.75,"ул. Новокирочная 810",0,"Сабина Рачкова",13,"Черемхово",10004910,2
1,11.51,"Аллея Черкасский Б. 1225",0,"Александр Авакумов",12,"Черемхово",396713,4
3,33.98,"Аллея Балканский Б. 1249",0,"Фотий Горланов",11,"Барабинск",6182550,5
5,93.98,"Аллея Кирпичные Выемки 1267",1,"Валерьян Парамонов",19,"Калязин",18863803,18
4,56.78,"Аллея Лестева 1350",0,"Платон Кашин",1,"Псков",10411492,1
7,111.98,"ул. Страстной 896",0,"Виссарион Христофоров",19,"Черемхово",25056808,17
2,30.05,"Аллея Горловская 1-я 383",0,"Иван Григорович",20,"Черемхово",5568370,10
4,62.78,"ул. Полевой 787",1,"Айару Земскова",24,"Черемхово",9632544,1
3,47.65,"Аллея Шокальского 1188",0,"Эраст Лавров",22,"Черногорск",4887558,6
2,31.94,"Аллея Краснопролетарская 1368",0,"Римма Остафьева",13,"Черемхово",5528123,5
1,20.08,"ул. Южнопортовая 787",0,"Амаль Семёнова",21,"Черемхово",1234980,17
2,20.75,"Аллея Солдатская 1029",1,"Тит Алексин",5,"Калязин",1141356,4
1,10.84,"Аллея Академика Янгеля 1242",1,"Людмила Тетерина",4,"Псков",323748,1
1,13.9,"ул. Молжаниновская 1043",1,"Селена Веневитинова",21,"Псков",1303931,1
1,13.15,"ул. Днепропетровская 201",0,"Леона Габышева",15,"Черемхово",1217423,9
1,17.29,"ул. Пехорская 408",0,"Акакий Серебрянский",4,"Псков",2163249,1
1,11.99,"Аллея Федосьино 823",1,"Эмилия Гедеонова",9,"Черногорск",1399750,5
1,13.41,"Аллея Старокирочная 378",1,"Мирослав Гумилёв",25,"Черемхово",1830120,8
1,12.63,"Аллея Медынская 872",1,"Сафия Агапова",5,"Псков",589984,1
5,63.77,"Аллея Филевская Б. 927",0,"Саида Басинская",16,"Барабинск",7156811,15
1,17.54,"ул. Воробьевское 214",0,"Каре Пушкина",6,"Черемхово",1108174,1
5,76.74,"ул. Клочкова 729",0,"Арианда Очина",22,"Псков",11167248,6
3,45.95,"ул. Новорогожская 578",1,"Святополк Полуяхтов",8,"Черногорск",5360417,2
1,17.6,"ул. Новокузьминская 4-я 581",1,"Наоми Никанорова",3,"Псков",1074583,1
2,36.35,"Аллея Соколиной Горы 3-я 302",0,"Геласий Пророков",9,"Калязин",5659878,6
6,113.27,"Аллея Новоселки 4-я 456",1,"Виталий Заборов",13,"Барабинск",24318991,7
1,17.44,"ул. Путилковское 345",0,"Созон Дашков",25,"Псков",1372522,10
1,11.29,"Аллея Шухова 541",1,"Даяна Естамонова",6,"Калязин",784338,1
3,47.65,"Аллея Семеновская М. 886",0,"Тит Шестков",21,"Барабинск",5078878,19
1,11.9,"Аллея Пехотная 919",0,"Мира Дмитриева",1,"Черемхово",366050,1
2,21.29,"Аллея Каширская 577",1,"Парфений Панюшкин",20,"Бугуруслан",3362157,17
5,68.89,"ул. Денежная 920",1,"Беатрис Паршова",24,"Барабинск",7534802,23
1,19.93,"Аллея Донецкая 675",0,"Никифор Фионин",5,"Бугуруслан",1771265,4
1,15.76,"ул. Черского 808",0,"Альбина Фокина",5,"Балашиха",654304,1
1,18.43,"ул. Перовская 629",1,"Филипп Белозеров",10,"Барабинск",928573,2
1,13.14,"ул. Сыромятническая Нов. 633",0,"Милослава Нагибина",25,"Барабинск",434293,1
1,17.9,"ул. Зеленодольская 1372",0,"Сандра Ильина",20,"Черногорск",1163701,19
4,42.53,"Аллея Боженинский М. 1357",1,"Потап Белоусов",2,"Бугуруслан",4178398,1
1,16.91,"Аллея Солнцевская 559",0,"Лилит Михайлова",22,"Черемхово",1106296,15
4,44.05,"ул. Союзная 735",1,"Порфирий Панов",21,"Барабинск",8124948,4
1,17.23,"Аллея Тверская-Ямская 1-я 1256",0,"Евстафий Габышев",4,"Балашиха",1335351,1
1,18.13,"Аллея Кожевнический Вражек 192",0,"Сандра Самылова",23,"Балашиха",3104816,6
1,17.57,"Аллея Малахитовая 374",0,"Назар Хлумов",14,"Черногорск",2212562,1
2,35.73,"ул. Савелкинская 641",1,"Клара Фонвизина",10,"Калязин",5150292,8
4,76.59,"ул. Сумская 271",0,"Инна Мягкова",6,"Анива",12621688,1
1,17.32,"Аллея Покровка 1151",0,"Зара Анкудинова",24,"Барабинск",2022160,11
6,91.24,"Аллея Северная 4-я 1289",0,"Савелий Новосельцев",21,"Калязин",19053987,1
1,13.83,"ул. Кастанаевская 616",0,"Анастасия Колядина",7,"Барабинск",1783783,1
2,20.22,"ул. Старомонетная 805",1,"Мехри Абдуллаева",1,"Барабинск",731860,1
4,66.14,"Аллея Поперечная 968",0,"Максим Аристархов",4,"Бугуруслан",6820039,1
5,83.13,"ул. Северная 2-я 73",1,"Домна Тынянова",10,"Баксан",15930725,2
1,11.16,"Аллея Лазенки 2-я 63",1,"Искра Чудинова",1,"Черногорск",264498,1
1,10.95,"Аллея Арбатская 405",0,"Паула Хрисогонова",2,"Черногорск",598339,1
1,16.32,"ул. Михневская 828",0,"Прокопий Архипов",12,"Псков",982091,6
5,95.94,"ул. Ферсмана 234",0,"Лира Каренина",20,"Барабинск",17643977,14
4,47.4,"Аллея Сухаревский Б. 761",0,"Галия Колобова",5,"Черемхово",7561629,2
3,39.72,"ул. Измайловский Вал 380",1,"Галактион Набоков",23,"Барабинск",2299126,2
1,13.36,"Аллея Часовая 175",0,"Генриетта Лобанова",21,"Калязин",725715,3
3,45.96,"Аллея Ананьевская 1194",0,"Логгин Иовлев",17,"Баксан",8883655,5
1,11.68,"Аллея Курьяновская 612",0,"Агафья Пудова",20,"Балашиха",1074465,10
1,12.48,"ул. Парковая 5-я 1104",0,"Степан Старченко",17,"Черемхово",681300,13
4,59.13,"ул. Глинистая 821",1,"Потап Вайнеры",13,"Черемхово",4986926,12
1,10.24,"ул. Новобратцевская 535",0,"Милада Филатова",11,"Барабинск",882847,1
1,19.92,"ул. Красного Маяка 198",0,"Ростислав Крюков",6,"Балашиха",3130250,1
1,16.9,"Аллея Свободная 858",1,"Лукий Пияшев",10,"Псков",2340522,4
6,106.89,"ул. Дроболитейная 588",1,"Лиана Кузьмина",9,"Барабинск",9189812,3
1,17.52,"ул. Стромынка 791",0,"Ляля Малярова",3,"Черногорск",3052424,2
1,10.0,"Аллея Пожарская 497",1,"Добрыня Серебренников",3,"Псков",340190,1
1,17.08,"Аллея Красная Пресня 1020",1,"Роза Шуртакова",3,"Черемхово",790608,2
4,38.43,"ул. Барашевская 1270",0,"Мирон Надсон",2,"Барабинск",1525426,1
1,13.63,"ул. Лавров 917",0,"Тарас Айзман",10,"Черемхово",1430422,9
2,22.88,"Аллея Твардовского 793",0,"Тарас Тесаков",4,"Балашиха",1188338,1
2,36.21,"ул. Ряжская 428",1,"Шахина Белякова",16,"Балашиха",3812108,13
1,11.15,"ул. Екатерининская Б. 1360",1,"Наргиза Лорченкова",13,"Анива",267329,5
4,50.61,"Аллея Мастеркова 1242",0,"Варсонофий Козлачков",6,"Калязин",6730891,1
1,12.85,"Аллея Овчинниковская 210",0,"Демьян Федулин",13,"Барабинск",767015,10
4,47.76,"ул. Кабельная 2-я 983",0,"Люче Федорова",20,"Черемхово",7030113,1
1,10.36,"ул. Рубцовская 1246",1,"Анатолий Селин",23,"Анива",437158,20
1,10.38,"Аллея Коцюбинского 211",0,"Иулиан Сид",16,"Балашиха",850428,4
1,10.49,"Аллея Большого Круга 29",0,"Михаил Балков",19,"Калязин",258302,4
2,24.37,"ул. Новая Дорога 327",0,"Герман Бортников",8,"Черемхово",2391851,3
4,51.96,"Аллея Базовская 160",0,"Рианна Милова",5,"Барабинск",7939722,4
7,108.04,"Аллея Бурцевская 56",0,"Нинель Кисина",25,"Баксан",11476900,3
2,40.08,"Аллея Орлово-Давыдовская 1116",1,"Паисий Левонтьев",6,"Псков",4739013,4
6,103.25,"Аллея Левая 1076",0,"Лиана Мойсеева",10,"Баксан",22297472,3
5,49.87,"Аллея Фомичевой 183",0,"Мелания Семенова",24,"Калязин",5103245,1
1,11.91,"ул. Еготьевская 845",0,"Симона Елисеева",21,"Баксан",1376151,6
5,84.78,"Аллея Международное 1152",1,"Влас Пепперштейн",13,"Черногорск",14681405,11
7,111.44,"ул. Белореченская 568",0,"Анабель Щекочихина",19,"Бугуруслан",25182767,13
8,88.54,"Аллея Тетеринская 1291",0,"Жансая Парфеньева",21,"Барабинск",7250331,3
7,119.12,"Аллея Октябрьская ж.д. Московское 611 км 9",0,"Платон Шахмагонов",23,"Анива",11849242,3
2,37.19,"ул. Октябрьская ж.д. Московское 646 км 727",0,"Божена Мелихова",23,"Калязин",7371686,14
3,28.02,"ул. Водников 594",0,"Арианда Зюганова",14,"Псков",1705005,2
1,14.89,"ул. Татарская Б. 873",0,"Зарина Остальская",1,"Барабинск",1780850,1
1,17.85,"Аллея Уткина 952",0,"Фома Андронов",19,"Псков",2343002,15
1,19.07,"ул. Филипповская 379",1,"Оксана Василева",16,"Баксан",2347943,13
3,51.8,"ул. Ипатовка Новая 1125",1,"Пелагея Левитина",19,"Псков",5778435,17
6,94.25,"Аллея Куркинское 239",0,"Тимофей Витушев",4,"Псков",19976887,1
1,10.0,"ул. Никитская 4",0,"Мстислав Грунин",14,"Псков",455113,8
1,17.0,"Аллея Пехорская 1066",0,"Роберта Селина",6,"Черемхово",1741718,4
2,28.74,"ул. Штурманская 882",1,"Жозефина Соболева",23,"Барабинск",4919064,18
5,85.47,"Аллея Ясеневая 807",0,"Томирис Чернышевская",17,"Калязин",11385701,5
1,13.72,"ул. Родионовская 164",0,"Тит Даньков",11,"Барабинск",1823724,2
9,159.53,"Аллея Курсовой 997",1,"Лера Ершова",4,"Псков",24641894,1
4,49.55,"Аллея Съезжинская 728",0,"Евдоким Андропов",2,"Калязин",8892580,1
2,29.13,"Аллея Югорская 1060",0,"Викентий Данилкин",6,"Баксан",5676501,2
1,14.15,"Аллея Марьинская 290",0,"Макария Просвирнина",24,"Баксан",2165265,18
2,26.45,"Аллея Дорога Жизни 970",0,"Анжелика Далматова",23,"Баксан",3666471,8
3,32.23,"Аллея Парковая 5-я 1005",0,"Милада Бавильская",1,"Черемхово",2531996,1
6,82.26,"ул. Старофилинская 1387",0,"Каролина Полукарпова",11,"Черемхово",13245420,1
3,36.98,"Аллея Родниковая 855",0,"Нана Маятникова",11,"Калязин",1666465,5
1,12.38,"ул. Слепнева 149",0,"Сельма Распутина",9,"Черемхово",255903,4
1,18.32,"Аллея Пекуновская 393",0,"Герасим Пьянов",17,"Псков",1070030,16
6,113.91,"ул. Косинская 835",0,"Цецилия Витязева",18,"Бугуруслан",15234888,7
5,88.17,"ул. Академика Варги 421",0,"Гордей Кетро",9,"Калязин",17189228,7
1,20.1,"Аллея Головин Б. 1038",0,"Рузанна Калашникова",18,"Бугуруслан",3119325,1
5,56.56,"Аллея Воротынская 1166",0,"Ева Тованичева",21,"Балашиха",4847341,4
1,14.81,"Аллея Генерала Тюленева 521",0,"Хлоя Арсеньева",18,"Черемхово",2276040,5
2,31.76,"ул. Земляной Вал 1243",0,"Заира Латынина",7,"Черногорск",5219145,2
3,31.49,"ул. Рейсовая 2-я 1220",0,"Гаяна Углева",6,"Псков",3573688,1
1,16.1,"Аллея Громова 14",0,"Бажена Феклисова",8,"Черемхово",1060154,7
1,19.56,"ул. Габричевского 1383",0,"Цветана Филимонихина",8,"Черемхово",2916287,1
1,14.56,"Аллея Политехническая 865",1,"Дмитрий Смоленский",18,"Барабинск",1252838,5
1,10.69,"ул. Медиков 84",1,"Пров Брежнев",13,"Барабинск",544011,8
3,47.9,"Аллея Рубцовская 9",0,"Айару Фалалеева",24,"Барабинск",6673658,2
1,14.01,"ул. Текстильщиков 7-я 481",1,"Филимон Дормедонтов",10,"Баксан",1567858,6
6,85.59,"ул. Старопетровская 315",1,"Полина Слепнева",20,"Черемхово",10305022,5
1,15.67,"ул. Курьяновская 1-я 1034",0,"Авксентий Веденский",16,"Калязин",876679,6
1,12.54,"ул. Партизанская 306",1,"Ефрем Мосеев",11,"Балашиха",635545,2
1,17.82,"Аллея Шушенская 1397",0,"Созон Киктенко",11,"Черемхово",1580212,1
1,11.79,"Аллея Васильцовский Стан 352",0,"Асия Лиханова",7,"Черемхово",297481,1
5,49.95,"ул. Николая Сироткина 1136",0,"Кондрат Евтушенко",17,"Барабинск",7336739,15
3,34.15,"ул. Жулебинская 293",0,"Ираклий Кабанов",18,"Черемхово",1992198,10
3,35.35,"Аллея Гражданская 1-я 1170",0,"Аполлинария Орлова",24,"Черногорск",6289961,4
3,57.92,"Аллея Колокольников 254",0,"Лили Канаева",23,"Балашиха",13263341,14
2,35.85,"Аллея Богатырский Мост 436",0,"Лада Панюшкина",23,"Калязин",5021846,22
1,13.66,"ул. Соколиной Горы 9-я 66",0,"Анита Яхина",24,"Калязин",1487248,20
3,33.65,"ул. Грайвороново 90а 440",0,"Эльмира Трефильева",7,"Барабинск",4731709,1
1,22.11,"Аллея Рыбинская 3-я 475",1,"Пафнутий Авксентьев",14,"Анива",2989399,10
1,13.43,"ул. Мирской 457",0,"Аркадий Чернышев",3,"Барабинск",261155,1
1,15.47,"ул. Молокова 797",0,"Якун Сошников",10,"Бугуруслан",1065400,8
3,37.03,"ул. Походная 1028",0,"Самуил Довлатов",14,"Бугуруслан",3495580,6
6,77.36,"ул. Сурская 1124",1,"Фёдор Чебышёв",13,"Псков",5970558,1
1,11.87,"Аллея Глухарев 557",0,"Антонин Попугаев",13,"Барабинск",797029,9
4,53.13,"ул. Афанасьевский Б. 1308",0,"Мирослав Березин",1,"Псков",3317726,1
4,65.93,"Аллея Живарев 59",1,"Владлен Мартынов",12,"Бугуруслан",8658087,7
5,88.66,"ул. Сиреневая 1041",1,"Айнур Меркушева",15,"Псков",9115668,14
4,68.64,"ул. Гамалеи 697",1,"Пётр Никифоров",5,"Калязин",12158257,3
1,10.26,"Аллея Барышиха 1169",0,"Тимофей Лаврин",4,"Черемхово",313413,3
1,17.59,"Аллея Шелепихи 1-я 1150",0,"Люсьена Писарева",24,"Барабинск",2389498,6
1,17.77,"ул. Белы Куна 65",1,"Рогнеда Булатова",15,"Балашиха",1487478,7
4,41.19,"Аллея Ростовская 831",0,"Авдей Радивонов",22,"Анива",5099333,19
1,17.85,"Аллея Рыбинская 3-я 261",0,"Прокопий Контровский",23,"Анива",1061991,3
1,12.18,"Аллея Нарышкинская 696",0,"Акакий Гаммер",11,"Анива",600661,5
1,21.5,"ул. Сухаревская М. 1339",1,"Ванесса Димитриева",20,"Бугуруслан",3045833,3
1,10.31,"ул. Тюменская 128",1,"Мирослава Богомолова",22,"Баксан",314506,6
1,18.21,"Аллея Давыдовская 304",0,"Одетта Авилина",11,"Баксан",3418035,7
1,11.87,"Аллея Дальная 1356",1,"Назар Донецкий",6,"Баксан",365374,1
5,49.1,"ул. Киевская 687",0,"Ким Анчаров",7,"Псков",6604730,4
2,37.06,"ул. Дмитрия Донского 390",1,"Фотий Елфимов",17,"Черемхово",3603453,2
1,16.92,"Аллея Лонгиновская 1308",0,"Юна Маликова",3,"Баксан",2247797,1
3,41.49,"Аллея Соболевская 1071",1,"Артём Николаевич",21,"Черемхово",3105837,6
1,12.56,"ул. Казанская 750",1,"Анатолий Аникеев",17,"Черемхово",411396,11
4,69.38,"Аллея Лихоборская 1228",0,"Карина Кудрявцева",5,"Барабинск",10223598,1
1,14.91,"ул. Автозаводская 833",0,"Лукерья Дубина",2,"Черемхово",1868633,1
1,10.59,"ул. Флотская 870",0,"Варфоломей Титовых",2,"Барабинск",366850,1
4,45.88,"ул. Железнодорожная 701",0,"Сафура Хаустова",19,"Псков",8211366,2
1,17.18,"ул. Знаменские Садки 1050",0,"Саида Осоргина",4,"Черногорск",2397147,1
3,35.4,"ул. Потылиха 201",1,"Эвита Нехорошева",10,"Барабинск",1815611,9
1,18.84,"ул. Ивана Бабушкина 520",1,"Люсьена Философова",6,"Бугуруслан",1549910,4
3,44.94,"Аллея Петровско-Разумовский Стар. 465",0,"Валерьян Полуянов",9,"Черногорск",4478769,6
1,17.79,"ул. Никитников 1050",1,"Элла Заволокина",6,"Барабинск",1324329,2
5,55.76,"ул. Чоботовская 221",1,"Никита Чуковский",2,"Балашиха",3053059,1
5,55.17,"ул. Сигнальная 484",0,"Иакинф Лиханов",19,"Баксан",8336668,5
6,80.42,"ул. Бродников 840",1,"Ириней Сергеев",8,"Бугуруслан",14871135,7
3,41.7,"ул. Николоямской 266",0,"Ираида Крупина",12,"Балашиха",5373044,11
2,29.82,"ул. Попутная 1124",0,"Антонин Антоньев",1,"Черемхово",5285852,1
9,133.72,"Аллея Северная 2-я 1251",0,"Михаил Ливадный",22,"Баксан",24322324,11
3,46.62,"ул. Хованская 1224",0,"Ярослав Елизарьев",20,"Балашиха",3269727,7
3,51.95,"Аллея Конюшковский М. 1272",1,"Фока Казимиров",9,"Барабинск",4586767,7
3,48.46,"ул. Смоленская 694",1,"Долорес Воронцова",24,"Калязин",10447278,2
1,16.41,"Аллея Широкая 860",0,"Айгерим Андронова",10,"Псков",2166404,3
3,43.73,"Аллея Мамоновская 1228",0,"Ай Ипполитова",25,"Барабинск",3810762,15
4,66.86,"Аллея Ворошиловский Парк 1339",0,"Асель Манылина",20,"Балашиха",7686964,5
3,56.61,"ул. Церковная Горка 542",0,"Камилла Ермошина",11,"Черногорск",12250055,3
2,36.22,"Аллея Коктебельская 980",0,"Денис Венедиктов",15,"Баксан",4139197,3
3,47.8,"Аллея Краснокурсантская 56",0,"Егор Дёмушкин",11,"Анива",9025448,1
1,19.69,"ул. Фалеевская 492",0,"Айсун Дашкова",15,"Псков",2782043,2
4,79.38,"Аллея Стройкомбината 146",0,"Арсений Ильницкий",10,"Баксан",10651602,3
4,45.29,"Аллея Дальная 99",0,"Илюза Ловчикова",20,"Черногорск",2273325,6
3,41.69,"ул. Лавров 989",0,"Эраст Андрусов",22,"Псков",3643853,3
1,14.29,"ул. Академика Павлова 991",1,"Ерофей Аркадьев",2,"Черемхово",507736,1
3,32.66,"ул. Боярская 996",0,"Наталья Радищева",11,"Псков",2797671,2
5,50.43,"Аллея Сельскохозяйственная 1084",1,"Николай Воддеников",14,"Черногорск",8166864,2
2,17.95,"Аллея Академика Тамма 1291",0,"Лукерья Ремизова",2,"Псков",2136802,1
1,11.6,"Аллея Глебовская 1174",0,"Софрон Токарь",20,"Баксан",340281,8
1,19.33,"ул. Ставропольская 605",0,"Теона Родионова",13,"Баксан",2827502,6
3,29.5,"ул. Войкова 321",0,"Артемий Ерёмин",20,"Псков",2958734,9
1,20.66,"ул. Черногрязская 2-я 1026",0,"Самира Нефедьева",3,"Балашиха",1677968,1
4,57.32,"Аллея Парковая 15-я 425",0,"Эмма Сахарнова",18,"Балашиха",5812610,17
3,35.17,"Аллея Савеловская 1336",0,"Кондрат Крупин",7,"Черногорск",3282105,6
4,40.83,"ул. Терешково 41",0,"Адель Каштанова",12,"Черемхово",5564583,1
1,18.43,"Аллея Ватутина 1399",0,"Ярослав Мамантов",10,"Псков",930494,4
