"new","floor","owner","city","square","floors","price","rooms","address"
1,1,"Дарья Беломлинская","Новодвинск",45.62,2,3511237,3,"Аллея Мытищинская 181"
0,9,"Симона Филатова","Кулебаки",15.68,10,1182797,1,"Аллея Красная Пресня 411"
1,1,"Карина Осеева","Морозовск",16.19,1,2347152,1,"Аллея Стасовой 589"
0,17,"Айгуль Колядина","Морозовск",15.53,23,1502269,1,"ул. Прянишникова 929"
0,5,"Инесса Петухова","Морозовск",14.48,11,2156592,1,"Аллея Коренная 660"
1,15,"Леона Садофьева","Новодвинск",53.5,18,11405517,3,"ул. Алексеевский Пост 1013"
0,2,"Артур Островский","Бакал",52.73,3,7763494,3,"Аллея Новохорошевская 405"
0,4,"Федот Курочкин","Новодвинск",12.93,8,288034,1,"ул. Лазоревая 1259"
0,10,"Айсун Незнанская","Лысково",69.3,14,5462158,5,"ул. Сыромятническая 247"
0,18,"Линда Бабурова","Новый Оскол",32.47,20,6549196,2,"Аллея Татарский Б. 913"
0,2,"Лука Юзефович","Чусовой",51.72,7,3637833,4,"Аллея Европы 276"
0,4,"Михаил Распутин","Озёрск",87.94,7,10193214,6,"ул. Дальная 402"
0,8,"Лев Саватьев","Новодвинск",13.31,14,316882,1,"ул. Кисельный Нижн. 1025"
0,15,"Иулиан Бояндин","Кулебаки",110.95,21,16733271,8,"ул. Парковая 3-я 164"
0,17,"Глеб Вишняков","Новодвинск",93.17,20,12364635,5,"Аллея Чоботовская 2-я 441"
1,15,"Луна Чернышевская","Чусовой",45.68,22,2856668,4,"ул. Плющева 472"
0,6,"Эмма Филипова","Юхнов",89.2,13,7550728,6,"Аллея Якиманская 578"
0,1,"Варлам Фёдоров","Лысково",40.42,2,4420031,3,"Аллея Скотопрогонная 343"
1,2,"Данакт Клюев","Бакал",15.35,7,2581259,1,"ул. Константина Царева 1026"
1,2,"Фаина Ефремова","Лысково",33.21,9,5235228,3,"ул. Ремесленная 1229"
0,3,"Софья Балкова","Лысково",51.23,12,7158475,3,"Аллея Луховицкая 829"
0,5,"Джессика Анастасова","Кулебаки",75.96,10,12678250,4,"ул. Мневники Нижн. 811"
1,3,"Нестор Федосьев","Новый Оскол",31.99,19,3982362,2,"Аллея Карпатская 2-я 185"
0,2,"Домника Хемлина","Новодвинск",34.79,8,4285139,2,"ул. Цандера 1346"
0,4,"Добрыня Берёзин","Лысково",132.52,22,15840822,7,"ул. Строгинская 818"
0,5,"Климент Кирсанов","Новый Оскол",55.01,8,8528254,3,"ул. Староконюшенная 891"
1,18,"Вячеслав Пашков","Морозовск",18.58,22,1906338,1,"Аллея Маршала Бирюзова 201"
1,13,"Ия Корчагина","Лысково",88.82,23,8029208,5,"ул. Скарятинская 1077"
0,12,"Пахомий Мартемьянов","Лысково",42.55,15,5513339,4,"Аллея Генерала Алексеева 269"
0,12,"Климент Чулаки","Чусовой",99.99,15,14318009,7,"Аллея Варварка 631"
0,3,"Иуда Гладышев","Новодвинск",60.64,4,8066520,5,"Аллея Сигнальная 165"
1,8,"Анжела Ларионова","Бакал",12.21,25,773075,1,"Аллея Заозерная 617"
1,1,"Жанна Кофанова","Кулебаки",27.9,7,556897,3,"ул. Тульская М. 1175"
0,12,"Наоми Иовлева","Морозовск",25.72,24,1288512,2,"ул. Пивченкова 78"
1,21,"Соня Володарская","Новый Оскол",38.1,22,7278979,3,"Аллея Алексеевский Пост 16"
1,16,"Антонин Лукошин","Лысково",21.79,18,1550682,2,"ул. Мароновская 449"
0,3,"Лада Николаева","Озёрск",19.37,21,2572914,2,"ул. Дмитровка Б. 259"
1,14,"Леонид Конторович","Кулебаки",11.0,21,261460,1,"ул. Генерала Ермолова 720"
0,8,"Бэлла Мелихова","Бакал",104.75,17,21060758,7,"ул. Шепелюгинская 955"
0,2,"Марика Ратникова","Чусовой",14.44,16,1974900,1,"ул. Зеленая 967"
1,7,"Гавриил Анцыферов","Озёрск",12.06,11,1349239,1,"ул. Юровская 1089"
0,13,"Влада Каруселина","Лысково",35.26,16,5260159,2,"ул. Мытищинская 1-я 577"
0,1,"Фока Абрамов","Лысково",78.7,3,8435054,6,"ул. Инженерная 324"
0,10,"Лилиана Лиханова","Юхнов",18.16,24,1882198,1,"ул. Снежная 676"
0,7,"Назар Галковский","Юхнов",17.45,19,2361027,1,"ул. Горбунова 736"
0,14,"Викторина Мозгова","Морозовск",46.49,16,8366484,3,"Аллея Верхнелихоборская 396"
1,13,"Геннадий Крылов","Морозовск",22.46,15,1798928,2,"ул. Лобачика 792"
0,10,"Ария Абросимова","Чусовой",38.78,11,3945960,2,"ул. Парковая 6-я 978"
0,1,"Евграф Грунин","Бакал",41.79,1,3851718,4,"Аллея Староволынская 1"
0,2,"Алия Алпатова","Юхнов",55.07,3,8835331,3,"ул. Эрнста Тельмана 356"
0,8,"Ростислав Кузечкин","Морозовск",71.72,22,8111118,6,"ул. Ермолаевская 285"
0,2,"Родион Вонифатьев","Новодвинск",16.37,22,2527878,1,"Аллея Стахановская 1387"
1,6,"Богдан Алешковский","Чусовой",76.09,11,11703298,5,"Аллея Наташи Ковшовой 453"
1,8,"Евсей Балдин","Новый Оскол",18.24,10,2295478,1,"Аллея Заводское 545"
1,2,"Назар Стельмах","Новодвинск",15.08,9,2043705,1,"ул. Стройковская 278"
0,11,"Наоми Балдина","Юхнов",33.36,20,5672026,2,"Аллея Калошин 490"
1,8,"Яков Сенчин","Бакал",38.41,11,7520631,3,"Аллея Старокачаловская 1208"
1,3,"Владимир Платонов","Новодвинск",14.49,16,292829,1,"ул. Лобненская 469"
0,13,"Архипп Петрушевский","Юхнов",38.59,25,3666964,2,"Аллея Лестева 806"
1,6,"Анфим Иванкин","Новый Оскол",56.34,14,10471811,4,"Аллея Производственная 388"
0,5,"Пахомий Маяковский","Юхнов",16.05,15,1634750,1,"ул. Серегина 567"
0,9,"Онуфрий Помяловский","Морозовск",18.19,15,3106509,1,"ул. Маршала Бирюзова 352"
0,8,"Гаяна Филкова","Лысково",27.27,12,1319782,2,"Аллея Ярцевская 95"
0,13,"Артемий Старков","Озёрск",10.91,19,257406,1,"Аллея Сталеваров 992"
0,16,"Рианна Полуехтова","Бакал",88.2,23,8814387,8,"ул. Радиаторская 3-я 440"
0,3,"Филимон Киселёв","Кулебаки",46.51,15,8393662,3,"ул. Дровяной Б. 831"
0,14,"Мия Арефова","Лысково",16.82,15,1748835,1,"ул. Пилотская 434"
0,1,"Надежда Ильенкова","Морозовск",13.62,9,696476,1,"Аллея Кадырова 704"
0,8,"Зульфия Кирилова","Лысково",89.73,24,14836721,6,"ул. Масловка Верхн. 1262"
0,1,"Люсиль Нехорошева","Кулебаки",12.01,5,267637,1,"Аллея Останкинская 685"
1,10,"Юлиан Боярский","Юхнов",15.17,13,1957550,1,"Аллея Чистая 860"
1,4,"Протасий Сухов","Юхнов",51.51,6,9424169,3,"Аллея Обводное 1236"
1,1,"Мирослав Бондарев","Кулебаки",12.97,7,1498715,1,"Аллея Воровского 1382"
1,7,"Серафим Луппов","Лысково",37.44,13,6359382,2,"Аллея Сергея Эйзенштейна 809"
0,8,"Мадина Протоклитова","Лысково",18.06,11,3333290,1,"ул. Саратовская 424"
1,7,"Вячеслав Карамзин","Морозовск",14.14,10,1639728,1,"ул. Котельническая 1292"
0,4,"Павел Даньков","Лысково",10.0,23,276175,1,"ул. Соловьиная Роща 1310"
0,5,"Леонид Сенчин","Юхнов",39.39,17,4851692,4,"ул. Пречистенка 154"
0,2,"Анфим Гайдар","Лысково",18.24,3,3329140,1,"Аллея Спиридоновка 787"
0,7,"Изабелла Берёзина","Лысково",89.29,14,6256429,7,"Аллея Николая Злобина 285"
1,20,"Кузьма Крупнов","Бакал",17.15,25,1665837,1,"ул. Окружная 232"
0,8,"Алеста Евсеева","Юхнов",95.03,11,8907806,6,"ул. Щипок 790"
0,15,"Аристарх Витязев","Морозовск",14.15,25,2021104,1,"ул. Короленко 825"
0,1,"Мирослава Додолева","Чусовой",11.47,20,1195447,1,"ул. Подмосковная 46"
0,10,"Протасий Солодников","Кулебаки",20.72,25,2668353,1,"Аллея Мякининская 5-я 254"
1,8,"Геннадий Мордовцев","Новодвинск",14.05,21,327284,1,"ул. Чоботовская 2-я 1263"
0,3,"Фрида Арцыбашева","Бакал",61.06,4,11540022,4,"Аллея Старосадская 651"
0,3,"Ирада Табатчикова","Новодвинск",13.38,4,318420,1,"ул. Крестовоздвиженская 140"
1,5,"Станислав Байбородин","Юхнов",10.17,20,306701,1,"Аллея Липчанского 445"
0,8,"Спиридон Свиридов","Озёрск",127.55,14,17724249,9,"ул. Тимирязевская 851"
1,6,"Спиридон Гладков","Новодвинск",86.03,10,14386329,5,"Аллея Зацепа 498"
1,20,"Домна Агапеева","Лысково",12.9,22,1000325,1,"ул. Лобачика 643"
1,8,"Олег Робски","Кулебаки",14.79,24,285721,1,"ул. Спасская Б. 306"
0,6,"Викторина Христофорова","Морозовск",21.35,16,1841544,2,"ул. Столешников 788"
0,7,"Этери Анхимова","Морозовск",18.07,17,1099624,1,"Аллея Сенежская 6"
0,4,"Софрон Полуектов","Новый Оскол",14.59,6,1034023,1,"Аллея Леснорядская 868"
0,18,"Денис Белозеров","Морозовск",13.19,21,602143,1,"ул. Сокольнический Вал 326"
0,14,"Индира Долинская","Новый Оскол",16.95,16,646927,1,"Аллея Логвиненко 679"
0,2,"Геласий Федоров","Новодвинск",17.57,7,1617344,1,"Аллея Прогонная 1-я 1377"
0,1,"Пафнутий Зиновьев","Озёрск",22.54,4,2960971,2,"Аллея Переяславская М. 212"
1,17,"Моника Дементьева","Бакал",15.31,24,914059,1,"Аллея Витебская 632"
1,1,"Севара Тропина","Кулебаки",76.45,12,8079537,4,"Аллея Мароновская 84"
1,1,"Роксана Зотьева","Бакал",64.58,5,12966417,5,"ул. Благуша 60"
0,6,"Митрофан Хлестаков","Лысково",75.47,13,10508489,4,"Аллея Крапивенская 1126"
0,1,"Аэлита Курчаткина","Новодвинск",36.94,18,4945968,2,"Аллея Настасьинская 630"
0,1,"Аля Ларионова","Морозовск",54.31,3,10722484,3,"Аллея Солянка 496"
0,2,"Викентий Удачин","Новодвинск",33.9,4,2876338,2,"ул. Маршала Баграмяна 569"
0,14,"Тиффани Кленикова","Морозовск",47.53,21,5787467,3,"Аллея Одоевского 342"
1,13,"Прохор Рекемчук","Новый Оскол",10.0,16,817014,1,"ул. Измайловского Зверинца 1256"
0,8,"Варсонофий Щекин","Новодвинск",39.76,14,7795972,2,"Аллея Дворцовая 266"
1,1,"Ада Никандрова","Юхнов",24.08,10,4071183,2,"ул. Международный Нижн. 1170"
1,2,"Роман Борисенко","Юхнов",13.69,23,1370749,1,"Аллея Серебряническая 1325"
1,4,"Трофим Доримедонтов","Кулебаки",69.91,20,5320593,6,"ул. Внуковская 2-я 646"
0,9,"Лилит Фетисова","Морозовск",18.69,10,1068331,1,"Аллея Реутовская 1180"
1,9,"Ника Николаева","Морозовск",14.63,17,1693148,1,"ул. Вернадского 371"
0,3,"Тэмми Антипова","Новый Оскол",12.46,18,289590,1,"ул. Колокольников 838"
0,11,"Спиридон Перцев","Юхнов",10.0,14,698476,1,"Аллея Олеко Дундича 1316"
1,5,"Анабель Поликарпова","Морозовск",82.22,21,10125786,6,"Аллея Гастелло 1396"
0,5,"Мирон Лайдон","Озёрск",36.97,14,6335711,2,"Аллея Радарная 359"
0,1,"Фёдор Берсенёв","Озёрск",90.24,2,9964126,6,"ул. Академика Анохина 1108"
0,8,"Демьян Бугрименко","Новодвинск",45.38,21,7917912,4,"Аллея Генерала Алексеева 339"
0,12,"Оливия Щукина","Бакал",15.15,24,2282657,1,"ул. Демидовский М. 1058"
1,14,"Евсей Воробьёв","Бакал",32.55,20,3899443,2,"Аллея Верейская 145"
1,1,"Филат Пигасьев","Новодвинск",15.1,20,2132780,1,"ул. Филевская Б. 495"
1,1,"Тимур Вонифатьев","Юхнов",12.24,8,1299317,1,"Аллея Тверская-Ямская 3-Я 775"
0,1,"Нестор Певзнер","Новодвинск",82.99,14,9175252,7,"Аллея Логвиненко 1393"
0,1,"Симона Леванидова","Юхнов",17.28,12,2986042,1,"ул. Новогиреевская 1239"
0,7,"Фариза Корнилова","Новодвинск",48.0,14,5087142,4,"ул. Орехово-Зуевская 228"
0,1,"Ярослав Панаев","Новодвинск",16.24,8,2849209,1,"Аллея Россолимо 1345"
0,2,"Анфим Тендряков","Юхнов",13.11,17,343018,1,"ул. Холодильная 47"
0,11,"Иветта Филкова","Новый Оскол",40.8,18,7357902,3,"Аллея Оренбургская 1315"
0,6,"Марика Шуртакова","Чусовой",13.99,16,266096,1,"ул. Сосновая 1246"
0,9,"Святополк Серебрянский","Бакал",14.5,12,714193,1,"ул. Воздвиженка 968"
1,1,"Руслана Евдокимова","Чусовой",19.76,1,2512555,1,"Аллея Черепановых 125"
1,7,"Максим Липскеров","Лысково",58.23,21,10695843,3,"ул. Химкинская 111"
0,10,"Татьяна Кобзева","Новый Оскол",19.06,22,829703,2,"Аллея Новолужнецкая 1359"
0,18,"Клавдия Николаева","Новодвинск",15.33,21,2504973,1,"Аллея Космонавта Комарова 1277"
1,10,"Тора Гришина","Кулебаки",17.76,14,2148201,1,"Аллея Дьяково Городище 2-я 1309"
0,6,"Леона Савёлова","Чусовой",38.85,10,4074379,3,"Аллея Жуковского 1088"
1,1,"Платонида Подушкова","Морозовск",79.39,5,4867166,8,"Аллея Пестовская 682"
1,7,"Савва Белых","Юхнов",41.24,10,4458458,3,"ул. Преображенский Вал 1395"
0,5,"Герасим Пересторин","Бакал",115.42,12,25341323,8,"ул. Карелин 240"
0,5,"Илина Свитнева","Лысково",36.25,6,5122409,2,"Аллея Бебеля 1-я 602"
1,15,"Леонид Христофоров","Озёрск",55.93,18,8564959,3,"Аллея Алтайская 370"
1,6,"Якун Левонов","Новый Оскол",17.89,17,3350907,1,"ул. Окская 389"
1,4,"Джиневра Чиркова","Кулебаки",11.49,24,841009,1,"Аллея Пржевальского 1264"
0,2,"Лука Репников","Озёрск",102.86,4,11753290,8,"ул. Ружейная 971"
1,14,"Сила Богомяков","Юхнов",91.61,23,15865849,5,"ул. Мясницкие Ворота 1288"
1,3,"Викентий Воробьёв","Юхнов",43.61,4,1770635,4,"Аллея Кржижановского 1118"
1,1,"Федора Красильникова","Морозовск",47.45,1,8798005,4,"Аллея Хлебная 54"
0,5,"Томирис Пришвина","Озёрск",11.44,12,1061479,1,"Аллея Волочаевская 124"
0,12,"Магдалена Евтихеева","Чусовой",10.76,19,272186,1,"Аллея Борисовские Пруды 468"
1,1,"Астрид Чипчикова","Лысково",112.84,5,14177189,7,"ул. Рогожский Вал 976"
0,7,"Фотий Дорофеев","Лысково",15.5,25,1965632,1,"Аллея Новоостаповская 420"
0,6,"Ребекка Большакова","Кулебаки",69.05,13,12596534,5,"Аллея Вольская 2-я 482"
1,8,"Мадлен Азольская","Лысково",17.87,9,1268109,1,"ул. Власьевский М. 1071"
1,12,"Василина Ананьина","Лысково",51.53,19,8787517,3,"ул. Монтажная 387"
1,7,"Дина Клеопова","Озёрск",18.95,11,2166284,1,"ул. Новомалино 684"
0,16,"Лилиана Шаргунова","Лысково",163.59,24,38132483,9,"Аллея Строителей 1197"
1,1,"Виссарион Палей","Озёрск",10.04,4,697092,1,"ул. Очаковская 1321"
0,2,"Григорий Ларионов","Морозовск",56.34,13,7623336,4,"Аллея Молдавская 250"
0,4,"Циара Пивоварова","Лысково",22.21,24,3607356,2,"ул. Достижения 659"
0,1,"Виссарион Смехов","Юхнов",21.25,2,3542122,1,"Аллея Маршала Конева 463"
1,1,"Феруза Мамедова","Озёрск",70.31,1,9413803,7,"Аллея Монтажная 1281"
0,1,"Герман Ромазанов","Лысково",73.42,3,14538302,5,"ул. Федора Полетаева 32"
0,7,"Арсений Лавров","Бакал",133.38,19,18465643,9,"Аллея Бронная Б. 639"
0,6,"Фома Скворцов","Чусовой",52.27,7,10190306,3,"ул. Ильинские Ворота 453"
1,8,"Устинья Кобрина","Лысково",16.49,19,2777469,1,"Аллея Ильменская 1388"
0,8,"Рианна Юдина","Морозовск",59.68,19,5306319,5,"ул. Кисельная 1309"
1,6,"Кондрат Позгалёв","Чусовой",58.52,11,5180387,3,"Аллея Калитниковская Ср. 1279"
0,9,"Александра Пияшева","Кулебаки",10.85,20,775703,1,"ул. Трехсвятительский М. 1158"
1,12,"Рита Астапова","Новодвинск",112.93,13,13421982,7,"Аллея Пресненская 130"
1,9,"Ростислав Гладилин","Морозовск",19.8,17,1336683,1,"Аллея Известковая 919"
0,2,"Леонтий Померанцев","Кулебаки",10.98,12,926859,1,"Аллея Серафимовича 1142"
0,3,"Викентий Болмат","Новый Оскол",51.04,22,9236599,4,"Аллея Уральская 101"
1,4,"Артём Максимушкин","Бакал",119.36,6,10353538,10,"ул. Полевая 137"
1,1,"Василина Филипьева","Лысково",22.52,3,467494,2,"Аллея Стремянная 77"
1,10,"Мина Афлатуни","Новодвинск",71.38,15,10102704,5,"Аллея Тверской 353"
0,5,"Трофим Бакунин","Бакал",83.41,13,10827170,6,"ул. Узкая 1187"
0,3,"Богдан Губерман","Новый Оскол",37.08,12,6741117,2,"Аллея Сергея Эйзенштейна 135"
1,2,"Иосиф Володарский","Бакал",23.27,10,518686,2,"ул. Кибальчича 132"
0,15,"Флоренция Кожевникова","Юхнов",11.64,20,258051,1,"Аллея Чудов Б. 194"
1,10,"Сергей Гаммер","Морозовск",10.0,24,342757,1,"Аллея Красной Сосны 12-я 1237"
0,12,"Влас Вавилин","Новый Оскол",32.84,13,4541023,2,"ул. Толмачевский М. 1166"
1,7,"Евдокия Гершанова","Юхнов",17.58,21,3208184,1,"Аллея Широкая 1346"
0,7,"Акакий Купряшин","Новый Оскол",10.38,24,493205,1,"Аллея Факультетская 838"
1,12,"Никон Галкин","Лысково",53.23,22,6041030,5,"ул. Железногорская 3-я 974"
0,6,"Богдана Арбатова","Новый Оскол",18.08,21,1522108,1,"Аллея Ховрино 49"
1,2,"Леонтий Паушкин","Морозовск",45.24,11,5100368,3,"Аллея Барабанная 797"
1,12,"Луиза Чехова","Лысково",23.33,15,2513942,2,"ул. Тишинский Ср. 129"
0,10,"Айсылу Жеребцова","Лысково",18.23,20,2016862,1,"Аллея Осенная 602"
0,20,"Пров Карив","Морозовск",16.74,22,776649,1,"Аллея Измайловская 1045"
0,1,"Руслана Макина","Бакал",16.06,2,1957173,1,"ул. Панкратьевская 492"
0,17,"Ярина Памфилова","Морозовск",26.85,23,2822949,2,"Аллея Лубянка М. 160"
1,9,"Куприян Первушин","Юхнов",44.08,12,3710598,4,"Аллея Северная 1-я 1042"
0,2,"Станислав Никитин","Новодвинск",54.36,4,9065644,5,"Аллея Трехгорный Б. 1129"
1,6,"Августина Всеволожская","Юхнов",10.25,9,266011,1,"Аллея Кульнева 419"
1,13,"Платон Астафьев","Новодвинск",15.09,19,1300455,1,"Аллея Жигулевская 23"
0,1,"Зухра Померанцева","Новый Оскол",104.98,1,20250475,8,"Аллея Новорублево 909"
0,1,"Вячеслав Бундур","Бакал",14.09,24,305253,1,"Аллея Болотная 115"
1,4,"Марианна Артемьева","Бакал",22.8,22,3709190,2,"ул. Шубинская 439"
1,1,"Зарема Софонова","Морозовск",14.99,9,1433758,1,"Аллея Говорова 589"
0,4,"Артур Далматов","Юхнов",31.58,6,1773152,2,"ул. Радарная 465"
0,1,"Федора Шалыганова","Бакал",12.87,16,1803253,1,"ул. Петровско-Разумовская 1100"
0,15,"Галия Снегирева","Новодвинск",21.32,17,3234876,2,"ул. Старофилинская 555"
0,3,"Федосей Белобровко","Новодвинск",43.35,6,5028976,3,"ул. Ипатовка Новая 966"
0,5,"Еремей Дашков","Юхнов",23.42,18,1533543,2,"Аллея Донбасская 727"
0,10,"Юстин Михаилов","Бакал",16.61,12,531154,1,"ул. Нагатинская Пойма 390"
0,1,"Августа Фенева","Бакал",28.64,1,2802051,2,"Аллея Юрьевская 625"
0,11,"Асель Дмитриева","Юхнов",51.15,16,2601665,5,"Аллея Кавказская 108"
1,1,"Цветана Карпеева","Юхнов",15.83,8,514254,1,"Аллея Новые Сады 6-я 98"
0,3,"Архипп Берестов","Лысково",71.2,4,6620419,4,"Аллея Новокрымская 303"
0,10,"Моника Беспутина","Юхнов",163.26,15,16794505,9,"Аллея Колокольников 1143"
1,1,"Иветта Селина","Юхнов",114.11,6,21602548,6,"Аллея Барыковская 126"
1,4,"Лилит Ельчина","Лысково",51.94,6,8030627,4,"ул. Старолучанская 176"
0,16,"Цветана Латынина","Озёрск",105.73,20,7260674,8,"Аллея Красковская 180"
1,1,"Милослава Якимова","Лысково",51.48,7,2013946,5,"Аллея Шитова 83"
1,2,"Марфа Советова","Лысково",10.69,15,325204,1,"ул. Курьяновская 201"
0,5,"Лидия Вакулина","Озёрск",76.1,21,7892115,5,"Аллея Родионовская 952"
0,3,"Феруза Дегтева","Юхнов",58.23,15,6003403,3,"Аллея Верейская 977"
0,7,"Гульмира Углева","Юхнов",17.47,16,2811788,1,"Аллея Ямская 2-я 224"
0,2,"Лаура Боборыкина","Озёрск",16.2,16,619479,1,"ул. Лобачевского 306"
0,14,"Домна Мануйлова","Бакал",103.46,21,21168396,8,"Аллея Жемчуговой 848"
0,1,"Лейла Харламова","Кулебаки",74.59,4,13799319,4,"ул. Луговой 997"
0,7,"Шахина Калинина","Юхнов",10.0,8,280839,1,"Аллея Новопресненская 476"
0,9,"Тамила Левина","Новый Оскол",13.32,11,853117,1,"Аллея Кучин 1079"
0,8,"Климент Варавва","Новодвинск",16.32,12,806415,1,"Аллея Кожуховская 5-я 222"
1,9,"Джамиля Панюшкина","Новодвинск",12.08,11,281786,1,"Аллея Садовая 521"
1,2,"Филимон Лагунов","Лысково",48.14,3,5512303,4,"ул. Третьяковская 864"
1,11,"Протасий Рысев","Кулебаки",14.8,15,493028,1,"ул. Чебоксарская 1391"
1,3,"Виктор Бушин","Морозовск",24.43,6,925544,2,"Аллея Вильгельма Пика 798"
0,2,"Забава Маврова","Юхнов",30.65,12,3382259,3,"ул. Синичкина 2-я 515"
0,3,"Аксинья Елеазарова","Новодвинск",10.0,6,282542,1,"ул. Ореховая 875"
0,5,"Михаил Залотуха","Новодвинск",47.99,13,3064224,5,"ул. Проходчиков 21"
1,6,"Клавдия Парфёнова","Кулебаки",53.37,16,4785247,5,"Аллея Новокузьминская 1-я 933"
0,7,"Владлен Чуприянов","Озёрск",17.67,14,2459004,1,"ул. Щипок 1338"
1,7,"Кирилл Попов","Лысково",19.33,10,2838974,1,"Аллея Рожки 1105"
0,1,"Владана Каледина","Озёрск",10.72,16,326958,1,"Аллея Звездная 1013"
1,4,"Гоар Поляновская","Новый Оскол",48.27,14,8122113,4,"ул. Разгуляй 1255"
0,6,"Аэлита Вострякова","Юхнов",60.5,15,5845047,5,"Аллея Коровинская 350"
0,9,"Владимир Адрианов","Юхнов",32.84,21,4075350,2,"ул. Воскресенская 314"
0,3,"Раиса Чудинова","Бакал",51.73,5,5642258,3,"ул. Конюшковская 101"
0,10,"Филат Головачёв","Новодвинск",29.67,11,2168583,3,"Аллея Выборгская 1200"
0,3,"Вячеслав Вяземский","Кулебаки",72.09,22,8238330,6,"Аллея Плетешковская 277"
1,8,"Василий Крупнов","Чусовой",92.05,19,15771266,5,"ул. Старокирочная 910"
1,11,"Иакинф Кривомазов","Кулебаки",17.03,14,795546,1,"ул. Новоцарицынское 304"
0,19,"Демьян Ковшов","Юхнов",19.16,24,1876470,1,"Аллея Академика Комарова 704"
1,10,"Клавдия Приставкина","Новодвинск",52.31,18,11086383,3,"Аллея Рейсовая 2-я 1138"
1,18,"Аза Привалова","Бакал",17.59,21,797362,1,"ул. Молочная 148"
0,3,"Тит Корнильев","Морозовск",10.29,13,759655,1,"Аллея Шарля Де Голля 203"
