"square","address","new","price","floor","floors","rooms","city","owner"
13.48,"Аллея Лазенки 6-я 970",1,1528547,6,16,1,"Советск","Сати Беспутина"
37.53,"Аллея Крупской 294",0,3773240,4,16,3,"Калуга","Мариям Юхновская"
57.72,"ул. Мантулинская 704",0,9918775,8,10,6,"Камызяк","Цецилия Геннадиева"
110.76,"Аллея Чоботовская 6-я 1139",1,7995043,14,23,10,"Каменногорск","Илина Доронина"
31.59,"ул. Нансена 293",1,4506776,3,4,2,"Калуга","Иакинф Чипчиков"
121.42,"ул. Извилистая 517",0,15328854,11,23,10,"Саров","Дженнифер Олейникова"
30.51,"ул. Усиевича 2-я 279",0,1889762,19,22,2,"Советск","Тина Котова"
38.18,"Аллея Выборгская 993",0,8290219,15,18,2,"Камызяк","Шарлотта Леванидова"
15.09,"ул. Донецкая 249",1,1019331,3,5,1,"Калуга","Прокопий Манулкин"
13.44,"ул. Коломенское 962",1,415793,1,9,1,"Нефтекумск","Герман Платухин"
140.56,"ул. Лубочная 787",0,26960825,4,7,9,"Суоярви","Божена Данилова"
32.33,"Аллея Челобитьевское 680",1,3107401,14,16,2,"Каменногорск","Паисий Балков"
89.17,"ул. Школьная 1137",0,14943018,1,4,6,"Калуга","Эраст Всеволожский"
85.24,"Аллея Крымский Вал 812",1,10857524,6,7,6,"Камызяк","Ксения Дроздова"
16.37,"Аллея Гнездниковский М. 1345",0,827494,8,18,1,"Суоярви","Маргарита Фенева"
15.77,"ул. Маршала Неделина 937",0,1307814,5,6,1,"Саров","Альбина Жданова"
41.5,"Аллея Алабяна 1221",1,5896891,2,3,3,"Калуга","Виталий Платонов"
33.99,"ул. Лосиноостровская 1220",1,3075794,20,21,3,"Калуга","Оливия Боченкова"
70.94,"Аллея им Баумана 477",1,9490969,6,13,5,"Советск","Илина Меркурова"
20.43,"Аллея Зыковский Стар. 871",0,1910409,2,9,1,"Саров","Парфений Артёмов"
60.23,"ул. Гоголя 1281",1,8895820,5,6,6,"Калуга","Пров Деревенский"
15.87,"ул. Полуярославская 321",0,2293574,6,11,1,"Нефтекумск","Павлина Свечина"
14.83,"Аллея Крымская 1026",1,1530386,3,4,1,"Нефтекумск","Олеся Колпакова"
28.35,"ул. Бригадирская 1160",1,3367497,1,4,2,"Суоярви","Тея Семенова"
13.34,"ул. Ворошилова 1302",1,820103,12,15,1,"Саров","Сальма Снегирева"
36.83,"ул. Новопресненская 1045",1,2642504,5,12,2,"Нефтекумск","Фёдор Минин"
36.68,"ул. Северянин 302",1,3696464,9,23,3,"Советск","Жанна Вепрева"
19.6,"Аллея Новые Сады 2-я 1240",1,3029537,1,4,1,"Саров","Саида Удальцова"
33.84,"Аллея Магистральная 5-я 503",1,1098383,17,19,3,"Советск","Дмитрий Денисьев"
11.12,"Аллея Истринская 264",0,1218778,6,18,1,"Нефтекумск","Спиридон Дубинянский"
41.03,"ул. Солнцевская 679",0,6185323,13,24,3,"Каменногорск","Бэлла Рахматуллина"
14.65,"Аллея Лосевская 516",1,1695599,19,23,1,"Суоярви","Никон Романов"
13.04,"ул. Минусинская 689",0,1839620,2,3,1,"Саров","Зиновий Рубанов"
38.24,"Аллея Беломорская 26",1,4577875,4,23,3,"Нефтекумск","Тимур Бочков"
20.21,"Аллея Краснопрудная 1361",1,3239703,10,15,1,"Суоярви","Долорес Лукошина"
11.53,"ул. Парковая 7-я 1397",1,806024,1,1,1,"Каменногорск","Милослава Белякова"
26.58,"Аллея Николоворобинский Б. 665",0,4257376,3,11,2,"Нефтекумск","Сергей Беспутин"
43.64,"ул. Магнитогорская 58",0,5064009,3,14,3,"Каменногорск","Флориана Лагунова"
33.81,"Аллея Нерис Саломеи 483",0,2094552,5,8,2,"Суоярви","Каролина Памфилова"
41.17,"ул. Лесные Сторожки 323",0,3318201,6,9,4,"Саров","Егор Борисенко"
12.49,"Аллея Сретенка 286",1,452348,3,8,1,"Камызяк","Хадия Кудинова"
36.16,"Аллея Каменщики М. 986",0,1884819,1,6,3,"Нефтекумск","Лилит Зюзюкина"
51.14,"ул. Мякининская 335",0,6941715,3,17,3,"Нефтекумск","Русалина Каминова"
104.74,"ул. Школьная 1383",1,20508464,9,13,8,"Саров","Юстин Фефилов"
65.93,"ул. Еропкинская 1334",1,11197052,5,6,4,"Каменногорск","Дина Галковская"
82.31,"ул. Новые Черемушки 24а 1056",0,5706157,4,12,6,"Нефтекумск","Исидор Григорович"
107.87,"Аллея Крутицкий Вал 915",1,14775836,2,13,6,"Суоярви","Агния Мясникова"
41.05,"Аллея Руновская 115",0,2267211,5,6,4,"Калуга","Христофор Венедиктов"
53.95,"ул. Сестрорецкая 3-я 1100",0,5968682,18,23,3,"Саров","Роман Ардалионов"
69.48,"ул. Шолохова 1050",1,14051235,8,15,4,"Саров","Демид Кузиков"
72.42,"ул. Шувалова 966",1,13692495,18,21,6,"Нефтекумск","Ангелина Слаповская"
50.54,"ул. Исаковского 854",1,9010208,11,12,3,"Суоярви","Игнатий Скоренко"
17.35,"Аллея Квесисская 2-я 140",1,827165,12,17,1,"Нефтекумск","Афанасий Чертанов"
11.59,"Аллея Маршала Рокоссовского 506",0,506249,2,10,1,"Нефтекумск","Ермолай Позгалёв"
54.21,"ул. Мрузовская 1016",1,2759235,17,23,5,"Суоярви","Иуда Протоклитов"
12.82,"ул. Расторгуевская 215",1,678371,3,11,1,"Каменногорск","Пахомий Вакуленко"
15.41,"ул. Рудневка 392",1,2583907,5,14,1,"Советск","Руфь Солопова"
10.86,"ул. Чистая 988",1,813504,6,22,1,"Советск","Митрофан Кирилин"
167.7,"ул. Железногорская 5-я 166",1,25559909,2,4,9,"Суоярви","Зинаида Муромская"
101.14,"ул. Назарьево 1016",1,19428569,11,24,6,"Каменногорск","Станислав Тургенев"
57.29,"ул. Сыромятническая 316",1,11819282,1,2,3,"Каменногорск","Юлиан Звоницкий"
31.73,"Аллея Линии Октябрьской Железной Дороги 426",1,5072413,8,13,2,"Нефтекумск","Онуфрий Тиханин"
27.49,"ул. Рейсовая 3-я 929",1,2267049,1,11,3,"Нефтекумск","Илюза Козлова"
56.25,"Аллея Почтовая Б. 475",0,7289180,6,9,4,"Калуга","Тимофей Казимиров"
78.51,"ул. Цариков 124",1,5893651,12,16,7,"Советск","Феоктист Китов"
37.05,"Аллея Авиаторов 1380",0,5514902,5,6,3,"Каменногорск","Ванда Софронова"
10.5,"Аллея Полимерная 468",1,274535,16,23,1,"Калуга","Никон Даль"
10.0,"Аллея Нагатинская Пойма 147",1,612937,15,21,1,"Нефтекумск","Донат Сафонов"
14.52,"Аллея Садовая-Кудринская 1262",1,2280904,7,10,1,"Саров","Лара Чудинова"
19.06,"ул. Рубцов 602",1,3282659,1,20,1,"Каменногорск","Викентий Ланьков"
18.17,"Аллея Благуша 537",0,3110938,4,23,1,"Нефтекумск","Серафим Аверченко"
109.8,"Аллея Зоологическая 895",0,16996855,6,7,6,"Суоярви","Леся Воронцова"
26.11,"ул. Дохтуровская 799",1,1456413,11,23,2,"Нефтекумск","Тина Евсеева"
19.49,"Аллея Фруктовая 606",0,1841146,12,14,1,"Нефтекумск","Созон Боголюбский"
55.5,"Аллея Богатырская 3-я 587",0,11352004,1,1,3,"Суоярви","Эльвина Бартенева"
10.0,"Аллея Погонная 776",0,274536,5,7,1,"Суоярви","Фаддей Богомяков"
15.49,"ул. Журавлев Верхн. 238",1,846574,13,25,1,"Калуга","Денис Софонов"
41.9,"Аллея Новорязанское 778",0,3865853,10,12,3,"Калуга","Мирослав Маргелов"
27.03,"ул. Дубровская 1236",0,3380746,5,10,2,"Суоярви","Янина Данькова"
11.03,"ул. Назарьево 887",0,280258,13,25,1,"Калуга","Зоя Щеглова"
12.0,"ул. Самаркандский Квартал 134а 1171",0,540603,2,15,1,"Саров","Дарья Чичваркина"
79.67,"ул. Якиманка Б. 433",0,7381844,6,9,5,"Калуга","Диля Астафьева"
70.97,"ул. Энергетическая 908",1,9631979,8,9,4,"Каменногорск","Луиза Гиваргизова"
66.3,"ул. Ейская 737",1,5740415,6,19,4,"Калуга","Наима Чуковская"
90.49,"ул. Штурвальная 515",0,18450841,1,2,7,"Нефтекумск","Хрисанф Агеев"
52.06,"ул. Пречистенская 462",0,3334034,18,24,5,"Нефтекумск","Вячеслав Саблин"
144.66,"Аллея Барышиха 727",1,30125132,8,19,8,"Саров","Евдоким Топчиев"
109.9,"Аллея Василия Ботылева 798",0,19158758,1,3,8,"Суоярви","Михримах Пришвина"
40.97,"ул. Сайкина 64",1,4977502,2,23,4,"Нефтекумск","Конон Богословский"
10.0,"ул. Зеленоградская 349",0,519440,2,11,1,"Нефтекумск","Капитон Саватьев"
57.59,"ул. Прасковьина 468",0,11088745,1,11,4,"Каменногорск","Клавдия Казакова"
49.72,"Аллея Красностуденческая 878",1,6467702,3,7,3,"Каменногорск","Михаил Дудинцев"
71.04,"ул. Карманицкая 483",1,5762350,19,21,6,"Суоярви","Паисий Контровский"
78.65,"Аллея Введенского 1321",1,13012528,6,16,6,"Каменногорск","Леся Боголюбская"
49.5,"ул. Медведева 373",1,1480753,1,18,5,"Нефтекумск","Афанасий Стариков"
109.36,"ул. Конюшковская 666",1,17290077,12,13,6,"Калуга","Тимур Олисов"
17.19,"ул. Нагатинская 845",0,1577105,2,5,1,"Камызяк","Лилия Рысева"
44.97,"ул. Набережная Б. 29",0,3420247,15,16,4,"Саров","Фока Труфанов"
13.44,"ул. Юшуньская М. 528",1,327523,1,16,1,"Суоярви","Корнилий Иванов"
93.82,"ул. Космонавта Волкова 1317",1,22046174,1,1,5,"Нефтекумск","Сильвестр Виккерс"
12.1,"ул. Судакова 1097",0,1066054,11,15,1,"Суоярви","Федот Смородинский"
16.58,"Аллея Хорошевского Серебряного Бора 4-я 1045",1,2344223,13,18,1,"Калуга","Маргарита Савинова"
19.31,"ул. Байкальская 471",1,908080,8,24,1,"Калуга","Лука Чернев"
23.37,"ул. Марьинский Парк 845",1,3513132,2,4,2,"Камызяк","Фирс Довлатов"
79.43,"Аллея Обручева 1205",1,16384511,14,22,5,"Каменногорск","Людмила Лескова"
40.68,"ул. Третьяковская 1132",0,5147047,1,2,4,"Камызяк","Кир Сотников"
112.84,"ул. Зельев 320",1,14718475,12,23,7,"Калуга","Антонин Богданович"
12.72,"ул. Крымская 528",1,250847,3,5,1,"Калуга","Егор Никодимов"
10.0,"Аллея Старокачаловская 226",1,268241,7,13,1,"Суоярви","Августа Солодникова"
11.53,"ул. Алабушево 1031",1,1419670,8,12,1,"Калуга","Мина Камша"
16.24,"Аллея Селигерская 375",1,2310166,11,25,1,"Камызяк","Илина Малкина"
16.06,"ул. Ивановский М. 968",1,2416016,5,6,1,"Калуга","Богдан Сбруев"
39.86,"ул. Переяславская М. 342",1,6561799,4,6,4,"Камызяк","Гульнара Ерастова"
100.98,"Аллея Несвижская 993",1,11604322,5,17,9,"Нефтекумск","Иннокентий Привалов"
15.19,"ул. Вельяминовская 604",1,1879403,1,2,1,"Суоярви","Валентин Ахадов"
26.69,"Аллея Лукинская 164",0,2953867,1,1,2,"Каменногорск","Амалия Федулова"
19.69,"ул. Академика Миллионщикова 94",0,2556242,8,25,2,"Нефтекумск","Евстафий Вайнеры"
14.38,"ул. Даниловский Вал 842",0,1400020,5,10,1,"Нефтекумск","Иуда Самойлов"
33.8,"Аллея Кривоколенная 24",1,4019504,20,25,2,"Калуга","Луиза Малинина"
28.89,"ул. Посланников 1225",1,2947514,15,20,2,"Каменногорск","Милослава Сидоркина"
10.93,"ул. Крылатские Холмы 648",1,1026325,1,6,1,"Саров","Сельма Збруева"
65.34,"ул. Энтузиастов 1-я 497",0,7724470,1,18,5,"Калуга","Ярослав Акулин"
56.65,"Аллея Певческая 1166",1,5921228,2,18,4,"Суоярви","Кора Семёнова"
15.02,"ул. Землянская 767",1,1456989,2,8,1,"Камызяк","Егор Сычёв"
17.91,"ул. Сытинская 977",0,1490773,1,2,1,"Камызяк","Милица Плакидина"
10.84,"Аллея Ремизова 1133",1,295002,8,13,1,"Нефтекумск","Юния Сиднина"
63.29,"Аллея Рейсовая 2-я 397",1,9921669,16,22,4,"Советск","Панкратий Агутин"
12.25,"ул. Сенежская 328",0,578057,1,1,1,"Калуга","Еремей Кандель"
18.24,"Аллея Абельмановская Застава 111",1,1188209,1,3,1,"Коркино","Капитон Монастырский"
19.92,"Аллея Бартеневская 712",1,3467966,6,8,1,"Нефтекумск","Лукий Киров"
14.92,"ул. Ширяево Поле 44",1,361067,13,15,1,"Камызяк","Юрий Коржавин"
24.12,"Аллея Шеногина 1139",0,2159160,4,10,2,"Суоярви","Варлам Филипов"
50.6,"Аллея Учебная 870",1,5378576,20,25,5,"Суоярви","Кондрат Доримедонтов"
37.81,"ул. Новгородская 1389",1,6006991,9,23,2,"Саров","Агунда Аммосова"
18.2,"Аллея Маленковская 756",0,1628846,3,5,2,"Калуга","Челси Тарковская"
74.87,"Аллея Рузская 204",0,6448232,1,2,5,"Калуга","Севастьян Собакин"
24.72,"ул. Молодежная 1400",1,4334488,1,1,2,"Суоярви","Сесилия Кириллова"
18.74,"ул. Гвардейская 516",0,1708352,5,6,1,"Каменногорск","Гульшат Николаева"
54.86,"ул. Кубинка 485",1,6831571,1,2,4,"Суоярви","Анфиса Донцова"
12.04,"Аллея Кочновская 491",0,284330,3,4,1,"Каменногорск","Онуфрий Березовский"
11.19,"Аллея Бирюсинка 444",1,1297865,16,20,1,"Нефтекумск","Эмили Мозговая"
94.56,"ул. Карамзина 1123",1,17344043,10,21,5,"Калуга","Ляйсан Лапутина"
59.55,"ул. Мусы Джалиля 1348",0,4936549,2,3,3,"Нефтекумск","Иулиан Королев"
10.46,"ул. Сосновая 238",0,256563,2,9,1,"Калуга","Перизат Абросимова"
18.65,"ул. Кравченко 1347",1,1999896,2,13,1,"Советск","Мстислав Борцов"
51.84,"ул. Княжеская 41",1,9400252,7,15,3,"Нефтекумск","Спиридон Светлов"
50.68,"Аллея Водопроводная 125",0,5082886,8,18,5,"Саров","Тимофей Зудин"
34.83,"ул. Староконюшенная 1025",0,5984260,1,4,2,"Каменногорск","Лада Стрелкова"
16.07,"ул. Старопетровская 927",1,1005896,2,3,1,"Каменногорск","Сергей Лыжин"
51.18,"ул. Тверская 792",0,6756124,9,15,3,"Нефтекумск","Варсонофий Авакумов"
13.32,"Аллея Маевок 1031",0,258668,1,3,1,"Каменногорск","Ярослава Владимова"
17.06,"Аллея Четырехдомная 665",0,2592674,6,19,1,"Советск","Лика Епенетова"
14.38,"Аллея Рогожский Вал 913",1,335495,1,3,1,"Суоярви","Иуда Грозный"
78.87,"ул. Вешних Вод 219",1,13119288,3,6,4,"Калуга","Федосей Сальников"
18.55,"ул. Спасоглинищевский М. 988",0,3199995,1,6,1,"Калуга","Спиридон Алпатов"
73.34,"Аллея Садовая-Черногрязская 1278",0,8826429,6,10,4,"Нефтекумск","Ума Дегтева"
18.86,"ул. Красных Зорь 414",1,2622428,9,13,1,"Нефтекумск","Авдей Проханов"
14.0,"ул. Миклухо-Маклая 114",0,920645,5,9,1,"Каменногорск","Кара Кирилина"
71.02,"ул. Бутовская 556",1,11501372,1,15,4,"Каменногорск","Назар Звягин"
17.28,"ул. Савелкинская 571",1,934215,7,23,1,"Камызяк","Святополк Белошапко"
55.26,"ул. Парковая 9-я 176",0,4309619,5,11,4,"Нефтекумск","Еремей Чуров"
19.11,"Аллея Даниловский Вал 876",0,1647102,3,18,1,"Суоярви","Аиша Котляревская"
28.21,"Аллея Машкинское 448",1,2667805,3,15,2,"Суоярви","Валерьян Созонтов"
10.28,"ул. Воскресенские Ворота 366",1,594393,24,25,1,"Калуга","Хрисанф Жулин"
10.0,"Аллея Серебряническая 636",0,313454,2,21,1,"Калуга","Рената Аникеева"
34.99,"ул. Радиаторская 3-я 665",0,4713166,13,15,3,"Суоярви","Иуда Земсков"
15.38,"ул. Каланчевская 734",0,478353,2,3,1,"Суоярви","Павел Загорцев"
15.15,"Аллея Глазовская 1261",0,596880,1,6,1,"Калуга","Яков Булочников"
15.58,"ул. Михайловский Верхн. Поперечная 910",0,2426894,11,25,1,"Нефтекумск","Лариса Болучевская"
10.0,"Аллея Авиаконструктора Сухого 16",1,250085,11,21,1,"Советск","Элла Обросимова"
17.66,"Аллея Трехсвятительский М. 555",1,841266,6,10,1,"Суоярви","Лика Попугаева"
15.9,"Аллея Ярославское 344",1,2717800,3,6,1,"Нефтекумск","Никита Ануров"
49.9,"Аллея Тишинский М. 738",1,9431926,4,9,4,"Суоярви","Кузьма Кетро"
21.17,"ул. Таллинская 952",1,1980296,1,1,1,"Каменногорск","Эльвина Маслова"
105.51,"Аллея Тихомирова 1243",1,10192522,2,3,6,"Суоярви","Гульзира Советова"
49.43,"Аллея Еланского 403",0,2503622,4,6,5,"Саров","Магдалена Грибанова"
43.36,"Аллея Академика Петровского 1268",1,3346309,6,17,3,"Нефтекумск","Фотий Бортников"
22.0,"ул. Маршала Голованова 1351",0,783334,3,4,2,"Саров","Иулиан Михаленко"
10.0,"ул. Новолесная 1102",1,354866,1,3,1,"Калуга","Фелисити Попугаева"
13.48,"ул. Дурова 284",0,1311295,5,21,1,"Нефтекумск","Тимур Левитин"
11.14,"ул. Домостроительная 765",1,345546,17,21,1,"Советск","Серафим Старков"
39.06,"Аллея Кронштадтская 440",1,4903637,7,10,3,"Каменногорск","Парфений Виноградов"
79.57,"ул. Наташи Ковшовой 936",1,8099040,1,2,5,"Каменногорск","Ариадна Мартемьянова"
12.3,"Аллея Пруд Ключики 459",0,286323,2,20,1,"Саров","Кондрат Евтихеев"
11.53,"ул. Загорье 645",1,1427835,1,6,1,"Суоярви","Фарида Жуликова"
48.02,"Аллея Тихоновская М. 377",1,3659045,19,20,5,"Камызяк","Илюза Филиппьева"
19.44,"ул. Фабрициуса 218",0,2671127,2,6,2,"Нефтекумск","Илья Старков"
19.99,"Аллея Запорожская 1357",0,2897370,2,23,1,"Нефтекумск","Викторина Щепкина"
63.0,"Аллея Энтузиастов 1-я 827",1,7970290,1,6,6,"Советск","Валерьян Шмелев"
20.7,"ул. Уссурийская 1148",1,4089894,1,2,1,"Саров","Патриция Тасбулатова"
75.42,"ул. Липовая 247",1,6838814,12,25,4,"Калуга","Лика Жерихова"
19.78,"Аллея Братская 1127",1,2107331,1,6,2,"Саров","Сиара Веркина"
16.08,"ул. Мытищинская 2-я 455",1,1055737,1,1,1,"Нефтекумск","Евдокия Ковалева"
17.91,"Аллея Сестрорецкая 3-я 874",0,687578,10,20,1,"Нефтекумск","Карима Гущина"
11.66,"ул. Скатертная 653",1,381617,15,19,1,"Нефтекумск","Филипп Калинин"
77.25,"Аллея Дорожная 499",0,7900872,1,8,5,"Суоярви","Наргиза Варламова"
47.62,"Аллея Лыткаринская 1130",0,6429639,2,12,3,"Советск","Вероника Емельянова"
16.13,"Аллея Походная 633",0,2347251,5,9,1,"Нефтекумск","Эраст Щеглов"
29.51,"ул. Весенняя 319",0,853709,2,13,3,"Каменногорск","Иакинф Кошелев"
44.66,"ул. Ивановская 170",1,8914927,1,17,3,"Нефтекумск","Парфений Сахновский"
91.17,"Аллея Калужский М. 131",1,15546794,23,24,5,"Суоярви","Элина Евстигнеева"
37.17,"ул. Таганский Ниж. 11",1,2936818,6,7,3,"Коркино","Эвелина Писемская"
57.95,"Аллея Андреевская 968",0,11062493,13,16,4,"Каменногорск","Роза Помяловская"
56.09,"Аллея Южнобутовская 625",1,4923121,18,21,5,"Саров","Демьян Тендряков"
13.19,"ул. Левитана 870",0,256958,2,4,1,"Саров","Иакинф Никаноров"
15.74,"Аллея Самаркандская 193",0,2176663,6,25,1,"Суоярви","Семён Антипин"
59.6,"Аллея Ильменская 654",1,10762462,5,23,4,"Саров","Ай Копелева"
18.36,"ул. Матвеевское 1044",0,1966039,17,21,1,"Калуга","Сильвестр Вепрев"
35.62,"Аллея Кисловский М. 412",1,2611877,7,9,3,"Советск","Никанор Волос"
17.21,"Аллея Медвежая 847",1,2741646,14,24,1,"Нефтекумск","Флоренс Памфилова"
65.16,"Аллея Авиаторов 958",1,3129432,5,8,6,"Саров","Руслан Шукшин"
69.5,"Аллея Троицкая 236",1,11298769,2,13,4,"Суоярви","Юнона Войнова"
18.91,"ул. Новоконюшенная 949",0,1753256,1,8,1,"Калуга","Вавила Аксенов"
58.23,"ул. Щелковская 1234",1,6147131,2,3,4,"Нефтекумск","Афина Родионова"
25.36,"Аллея Лестева 766",0,1035776,2,15,2,"Суоярви","Флора Кожевникова"
43.74,"ул. Таганский Верхн. 753",1,5069566,20,24,4,"Нефтекумск","Ай Фатьянова"
22.54,"Аллея Красносельская М. 1378",1,672379,1,2,2,"Нефтекумск","Софрон Басыров"
51.56,"Аллея Циолковского 474",1,11074742,11,18,3,"Суоярви","Конон Катаев"
58.52,"ул. Политехническая 116",1,3179189,8,10,5,"Суоярви","Виктор Палицин"
14.71,"Аллея Миллионная 295",0,1720101,17,20,1,"Нефтекумск","Марк Гиваргизов"
62.96,"Аллея Типографская 972",1,4572908,6,7,4,"Нефтекумск","Евдокия Фотиева"
48.2,"ул. Серпов 406",1,9029266,4,13,3,"Каменногорск","Варсонофий Сбитнев"
12.99,"Аллея Стромынка 902",0,1277936,1,2,1,"Саров","Мадина Ставрогина"
107.82,"ул. Авиамоторная 295",1,11574762,10,24,9,"Каменногорск","Иллирика Давыдова"
26.64,"Аллея Старолучанская 334",1,343272,5,13,3,"Нефтекумск","Аля Басырова"
95.17,"ул. Масловка Нижн. 908",0,20435757,4,7,5,"Каменногорск","Тая Тарасьева"
40.38,"ул. Пивченкова 1148",1,4461400,3,5,4,"Суоярви","Эльмира Феклисова"
58.14,"ул. Шелепихи 1-я 1127",0,8565571,1,18,4,"Суоярви","Одетта Ивлева"
17.29,"ул. Гражданская 3-я 628",1,1503548,10,24,1,"Калуга","Пахомий Мамонтов"
52.99,"Аллея Текстильщиков 11-я 717",1,9836655,8,19,4,"Нефтекумск","Ростислав Букша"
38.51,"ул. Южнопортовая 738",0,2893997,10,25,4,"Каменногорск","Фока Зуев"
17.0,"ул. Машкова 538",0,878726,18,20,1,"Камызяк","Кузьма Володихин"
36.0,"ул. Узкое 1335",0,6317616,10,19,2,"Каменногорск","Раифа Смородинская"
10.86,"Аллея Бойня 219",1,1045389,2,4,1,"Нефтекумск","Ирина Крупина"
10.0,"Аллея Скаковая 516",0,696069,1,3,1,"Саров","Ярослава Полуектова"
16.46,"Аллея Гостиничная 658",0,623496,4,18,1,"Советск","Гавриил Черепанов"
32.51,"Аллея Академическая Б. 564",0,3391041,1,4,2,"Каменногорск","Тара Нарбикова"
62.74,"ул. Правобережная 546",1,9188125,5,15,4,"Суоярви","Лаура Иовлева"
16.47,"Аллея Волгоградская 729",0,1770368,5,14,1,"Нефтекумск","Ираида Лагина"
10.0,"Аллея Мценская 694",1,342989,10,14,1,"Калуга","Лукий Неспанов"
20.04,"Аллея Новозаводская 490",0,1793943,16,18,2,"Каменногорск","Тит Пантелеев"
112.12,"ул. Ямского Поля 5-я 51",1,19306792,8,16,7,"Каменногорск","Люсьена Цепова"
75.82,"ул. Солдатская 1076",1,12279232,1,6,4,"Советск","Руфина Кобрина"
16.46,"Аллея Красковская 670",1,2372573,2,20,1,"Камызяк","Рианна Бирюкова"
91.38,"ул. Барашевская 1132",1,8522892,8,17,5,"Нефтекумск","Сабина Агутина"
33.46,"ул. Гнездниковский Б. 181",1,6867519,2,17,2,"Советск","Ванесса Слаповская"
34.92,"ул. Новомосковская 1304",1,1359211,9,21,3,"Калуга","Михримах Вирхова"
